round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,36,64,0.6941035389900208,0.5920000076293945,0.49297499656677246,0.59375,0.59375,0.5888888835906982,0.48537498712539673,0.5,33.05197048187256
1,100,100,100,0,23,77,0.6887490749359131,0.625,0.49584999680519104,0.6285714507102966,0.6285714507102966,0.613043487071991,0.4803912937641144,0.5,30.998943567276
2,100,100,100,0,19,81,0.6889604330062866,0.6449999809265137,0.5020400285720825,0.6370370388031006,0.6370370388031006,0.6789473295211792,0.4938947260379791,0.5,31.260847330093384
3,100,100,100,0,32,68,0.6869660019874573,0.628000020980835,0.5076950192451477,0.6382352709770203,0.6382352709770203,0.606249988079071,0.4923750162124634,0.5,30.95293688774109
4,100,100,100,0,34,66,0.6878095865249634,0.6299999952316284,0.5146700143814087,0.6545454859733582,0.6545454859733582,0.5823529958724976,0.5014558434486389,0.5,29.992510557174683
5,100,100,100,0,31,69,0.6836978793144226,0.6559999585151672,0.5232499837875366,0.6898550391197205,0.6898550391197205,0.5806452035903931,0.5115806460380554,0.5,30.391517639160156
6,100,100,100,0,32,68,0.6839370727539062,0.6530000567436218,0.5235000252723694,0.6573529243469238,0.6573529243469238,0.643750011920929,0.5203906297683716,0.502,28.474345445632935
7,100,100,100,0,27,73,0.6789917945861816,0.6829999685287476,0.5359899997711182,0.7027397155761719,0.7027397155761719,0.6296296119689941,0.5092407464981079,0.517,30.358457803726196
8,100,100,100,0,30,70,0.6775251626968384,0.6710000038146973,0.5271650552749634,0.690000057220459,0.690000057220459,0.6266667246818542,0.5183833241462708,0.525,26.76778221130371
9,100,100,100,0,29,71,0.6786474585533142,0.671999990940094,0.544064998626709,0.7042253613471985,0.7042253613471985,0.5931034088134766,0.5217241644859314,0.552,26.174328804016113
10,100,100,100,0,32,68,0.6778489947319031,0.6859999895095825,0.5455400347709656,0.7102941274642944,0.7102941274642944,0.6343750357627869,0.5254687070846558,0.557,26.1796612739563
11,100,100,100,0,29,71,0.6756236553192139,0.6860000491142273,0.5407800078392029,0.7126760482788086,0.7126760482788086,0.6206897497177124,0.5377930402755737,0.645,25.908198356628418
12,100,100,100,0,27,73,0.6698964834213257,0.6740000247955322,0.5479549765586853,0.6999999284744263,0.6999999284744263,0.6037036776542664,0.513796329498291,0.616,25.125083208084106
13,100,100,100,0,25,75,0.6679461598396301,0.6959999799728394,0.5415599942207336,0.7080000042915344,0.7080000042915344,0.6600000262260437,0.5346200466156006,0.571,25.96917986869812
14,100,100,100,0,32,68,0.674193799495697,0.6970000267028809,0.5494949817657471,0.7308824062347412,0.7308824062347412,0.625,0.5336718559265137,0.5395,25.466511249542236
15,100,100,100,0,30,70,0.6640036106109619,0.7149999737739563,0.5861600041389465,0.7799999117851257,0.7799999117851257,0.5633333325386047,0.5458333492279053,0.5515,25.304067134857178
16,100,100,100,0,24,76,0.6569465398788452,0.7099999785423279,0.5937650203704834,0.7565789222717285,0.7565789222717285,0.5625,0.5803958773612976,0.6855,25.571284294128418
