round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,78,"tensor([0.6940, 0.6910, 0.6960, 0.6958, 0.6955, 0.6902, 0.6965, 0.6937, 0.6931,
        0.6957, 0.6909, 0.6911, 0.6936, 0.6923, 0.6927, 0.6915, 0.6961, 0.6923,
        0.6904, 0.6932, 0.6916, 0.6913, 0.6915, 0.6945, 0.6936, 0.6957, 0.6971,
        0.6929, 0.6963, 0.6895, 0.6940, 0.6970, 0.6948, 0.6914, 0.6924, 0.6929,
        0.6938, 0.6912, 0.6942, 0.6957, 0.6939, 0.6896, 0.6924, 0.6917, 0.6917,
        0.6930, 0.6942, 0.6917, 0.6958, 0.6944, 0.6921, 0.6909, 0.6960, 0.6941,
        0.6903, 0.6924, 0.6959, 0.6877, 0.6920, 0.6917, 0.6916, 0.6904, 0.6923,
        0.6927, 0.6925, 0.6915, 0.6944, 0.6947, 0.6950, 0.6896, 0.6919, 0.6909,
        0.6933, 0.6907, 0.6920, 0.6924, 0.6874, 0.6917])",22,"tensor([0.5833, 0.7500, 0.5000, 0.6667, 0.5833, 0.8333, 0.5833, 0.6667, 0.6667,
        0.5833, 0.8333, 0.8333, 0.7500, 0.8333, 0.5833, 0.5833, 0.5000, 0.6667,
        0.8333, 0.6667, 0.6667, 0.7500, 0.7500, 0.5000, 0.5833, 0.5833, 0.3333,
        0.8333, 0.5833, 0.8333, 0.6667, 0.5000, 0.7500, 0.6667, 0.7500, 0.8333,
        0.5833, 0.7500, 0.6667, 0.5000, 0.6667, 0.7500, 0.6667, 0.6667, 0.8333,
        0.6667, 0.5833, 0.8333, 0.6667, 0.5833, 0.6667, 0.8333, 0.4167, 0.4167,
        0.8333, 0.6667, 0.5000, 0.9167, 0.5833, 0.7500, 0.7500, 0.7500, 0.6667,
        0.6667, 0.6667, 0.8333, 0.5833, 0.6667, 0.5833, 0.9167, 0.7500, 0.9167,
        0.5000, 0.7500, 0.7500, 0.5833, 0.8333, 0.7500])","tensor([0.5849, 0.5712, 0.6180, 0.6151, 0.6104, 0.5768, 0.6024, 0.5825, 0.6208,
        0.6076, 0.6019, 0.6047, 0.6227, 0.6142, 0.6180, 0.5920, 0.6203, 0.6175,
        0.6161, 0.5825, 0.6246, 0.6019, 0.6014, 0.5915, 0.6019, 0.5905, 0.6024,
        0.6151, 0.5693, 0.6028, 0.5882, 0.6175, 0.5910, 0.6066, 0.5901, 0.5816,
        0.5839, 0.5707, 0.5853, 0.6076, 0.5901, 0.6151, 0.5896, 0.6199, 0.6028,
        0.5882, 0.5863, 0.6147, 0.5920, 0.6170, 0.5721, 0.5891, 0.6123, 0.6043,
        0.6213, 0.5924, 0.5792, 0.6099, 0.6009, 0.5953, 0.5778, 0.6080, 0.6113,
        0.5986, 0.6014, 0.5981, 0.6142, 0.6057, 0.6222, 0.6137, 0.6151, 0.6113,
        0.5939, 0.5853, 0.6043, 0.6024, 0.5830, 0.5839])",0.6794871687889099,0.6003333926200867,0.6794871687889099,0.6794871687889099,0,0,0.6033096926713948,13.260675430297852
1,97,97,"tensor([0.6919, 0.6917, 0.6942, 0.6892, 0.6900, 0.6913, 0.6905, 0.6912, 0.6885,
        0.6904, 0.6893, 0.6925, 0.6889, 0.6921, 0.6905, 0.6887, 0.6880, 0.6923,
        0.6929, 0.6896, 0.6916, 0.6854, 0.6884, 0.6900, 0.6903, 0.6882, 0.6877,
        0.6861, 0.6936, 0.6891, 0.6879, 0.6891, 0.6908, 0.6907, 0.6910, 0.6914,
        0.6905, 0.6936, 0.6890, 0.6863, 0.6879, 0.6885, 0.6918, 0.6873, 0.6908,
        0.6900, 0.6878, 0.6905, 0.6907, 0.6915, 0.6873, 0.6894, 0.6929, 0.6901,
        0.6882, 0.6913, 0.6930, 0.6875, 0.6907, 0.6944, 0.6880, 0.6915, 0.6905,
        0.6892, 0.6896, 0.6858, 0.6915, 0.6897, 0.6898, 0.6916, 0.6902, 0.6893,
        0.6895, 0.6885, 0.6885, 0.6867, 0.6908, 0.6931, 0.6901, 0.6893, 0.6906,
        0.6926, 0.6922, 0.6833, 0.6859, 0.6894, 0.6912, 0.6888, 0.6944, 0.6926,
        0.6940, 0.6904, 0.6853, 0.6878, 0.6914, 0.6902, 0.6922])",22,"tensor([0.6667, 0.8333, 0.5833, 0.7500, 0.7500, 0.5833, 0.7500, 0.7500, 0.9167,
        0.7500, 0.9167, 0.6667, 0.9167, 0.6667, 0.9167, 0.7500, 0.8333, 0.5833,
        0.5833, 0.6667, 0.7500, 0.9167, 0.9167, 0.6667, 0.5833, 0.7500, 0.7500,
        0.9167, 0.6667, 0.8333, 0.8333, 0.7500, 0.6667, 0.8333, 0.8333, 0.5833,
        0.5833, 0.4167, 0.7500, 0.8333, 0.8333, 0.6667, 0.6667, 0.9167, 0.9167,
        0.8333, 0.9167, 0.7500, 0.6667, 0.7500, 0.7500, 0.8333, 0.5833, 0.8333,
        0.8333, 0.5000, 0.5833, 0.8333, 0.8333, 0.6667, 0.9167, 0.6667, 0.6667,
        0.6667, 0.8333, 1.0000, 0.8333, 0.7500, 0.5833, 0.6667, 0.6667, 0.7500,
        0.7500, 0.7500, 0.8333, 0.9167, 0.6667, 0.6667, 0.7500, 0.9167, 0.6667,
        0.7500, 0.5833, 1.0000, 0.8333, 0.7500, 0.6667, 0.7500, 0.5833, 0.6667,
        0.5833, 0.8333, 0.9167, 0.8333, 0.5833, 0.7500, 0.6667])","tensor([0.5991, 0.6151, 0.5981, 0.7262, 0.7144, 0.7343, 0.7291, 0.7400, 0.7286,
        0.7267, 0.7277, 0.7116, 0.7310, 0.7069, 0.7239, 0.7338, 0.6473, 0.7196,
        0.7362, 0.7012, 0.7220, 0.6761, 0.7267, 0.6747, 0.7201, 0.7002, 0.6700,
        0.7163, 0.7130, 0.6681, 0.7149, 0.7187, 0.7286, 0.7196, 0.7073, 0.7234,
        0.7149, 0.7348, 0.6927, 0.6577, 0.6842, 0.6969, 0.7300, 0.7064, 0.6719,
        0.7177, 0.7239, 0.7173, 0.6884, 0.7324, 0.7054, 0.7390, 0.6846, 0.7210,
        0.7239, 0.6676, 0.7154, 0.6889, 0.6931, 0.7310, 0.7163, 0.7300, 0.7305,
        0.6955, 0.7258, 0.6066, 0.7291, 0.7281, 0.6643, 0.7300, 0.7324, 0.7281,
        0.6998, 0.6728, 0.7296, 0.6586, 0.7206, 0.7428, 0.6993, 0.6695, 0.7168,
        0.7466, 0.7234, 0.6898, 0.6955, 0.6979, 0.7314, 0.6908, 0.7310, 0.7348,
        0.7092, 0.7253, 0.6686, 0.7234, 0.7121, 0.7310, 0.7083])",0.7474226951599121,0.7065438628196716,0.7474226951599121,0.7474226951599121,0,0,0.7092198581560284,13.261489629745483
2,97,38,"tensor([0.6925, 0.6950, 0.6879, 0.6851, 0.6832, 0.6872, 0.6836, 0.6898, 0.6828,
        0.6844, 0.6879, 0.6828, 0.6855, 0.6830, 0.6902, 0.6869, 0.6878, 0.6917,
        0.6885, 0.6850, 0.6889, 0.6890, 0.6848, 0.6894, 0.6864, 0.6890, 0.6890,
        0.6886, 0.6891, 0.6876, 0.6866, 0.6895, 0.6814, 0.6855, 0.6812, 0.6877,
        0.6875, 0.6898])",81,"tensor([0.6667, 0.6667, 0.7500, 0.8333, 0.9167, 0.9167, 1.0000, 0.6667, 0.9167,
        1.0000, 0.8333, 0.7500, 0.7500, 1.0000, 0.5833, 0.9167, 0.7500, 0.6667,
        0.9167, 0.8333, 0.5833, 0.8333, 0.8333, 0.7500, 0.8333, 0.9167, 0.6667,
        0.6667, 0.7500, 0.7500, 0.9167, 0.8333, 0.8333, 0.9167, 0.9167, 0.8333,
        0.6667, 0.6667])","tensor([0.6165, 0.6236, 0.7645, 0.7565, 0.7078, 0.7494, 0.7693, 0.7972, 0.7560,
        0.7749, 0.7608, 0.7324, 0.7608, 0.7541, 0.7764, 0.7905, 0.8057, 0.7593,
        0.8047, 0.7556, 0.7896, 0.7957, 0.7853, 0.8071, 0.7887, 0.8123, 0.8080,
        0.7896, 0.8014, 0.8033, 0.7896, 0.7825, 0.7191, 0.7858, 0.7201, 0.8043,
        0.7489, 0.7924])",0.8026315569877625,0.7668408155441284,0.8026315569877625,0.8026315569877625,0,0,0.7678486997635934,9.662949800491333
3,90,39,"tensor([0.6855, 0.6884, 0.6852, 0.6819, 0.6856, 0.6843, 0.6835, 0.6830, 0.6884,
        0.6869, 0.6830, 0.6873, 0.6825, 0.6815, 0.6854, 0.6849, 0.6829, 0.6844,
        0.6787, 0.6873, 0.6828, 0.6844, 0.6850, 0.6870, 0.6822, 0.6850, 0.6903,
        0.6811, 0.6876, 0.6873, 0.6872, 0.6867, 0.6845, 0.6786, 0.6848, 0.6871,
        0.6882, 0.6821, 0.6882])",132,"tensor([0.9167, 0.7500, 0.7500, 0.9167, 0.7500, 0.8333, 0.8333, 1.0000, 0.8333,
        0.9167, 0.9167, 0.7500, 0.8333, 0.8333, 0.8333, 1.0000, 0.7500, 0.9167,
        0.8333, 0.9167, 0.8333, 0.9167, 0.8333, 0.7500, 0.9167, 0.9167, 0.5833,
        0.9167, 0.8333, 0.7500, 1.0000, 0.8333, 0.7500, 1.0000, 0.7500, 0.6667,
        0.7500, 0.9167, 0.8333])","tensor([0.7206, 0.8080, 0.7461, 0.8057, 0.8350, 0.8251, 0.8232, 0.8184, 0.8279,
        0.8430, 0.8142, 0.8151, 0.7877, 0.8161, 0.8184, 0.8350, 0.7891, 0.8123,
        0.8043, 0.8061, 0.8047, 0.8189, 0.8099, 0.8307, 0.8383, 0.7740, 0.8501,
        0.7905, 0.8336, 0.8411, 0.8539, 0.8430, 0.8199, 0.7385, 0.8033, 0.8189,
        0.8430, 0.7830, 0.8392])",0.8418803811073303,0.8124628067016602,0.8418803811073303,0.8418803811073303,0,0,0.8151300236406619,14.330948829650879
4,86,26,"tensor([0.6905, 0.6855, 0.6876, 0.6840, 0.6848, 0.6875, 0.6853, 0.6813, 0.6744,
        0.6850, 0.6844, 0.6801, 0.6838, 0.6817, 0.6778, 0.6832, 0.6786, 0.6815,
        0.6854, 0.6770, 0.6869, 0.6774, 0.6827, 0.6815, 0.6880, 0.6833])",192,"tensor([0.6667, 0.8333, 0.6667, 0.8333, 0.8333, 0.7500, 0.7500, 0.6667, 0.9167,
        0.8333, 0.9167, 0.9167, 0.7500, 0.9167, 0.9167, 0.7500, 1.0000, 0.9167,
        0.9167, 1.0000, 0.6667, 1.0000, 0.7500, 0.8333, 0.7500, 1.0000])","tensor([0.7858, 0.7967, 0.8217, 0.8180, 0.8165, 0.8170, 0.8544, 0.8515, 0.7924,
        0.8870, 0.8865, 0.8270, 0.8298, 0.8686, 0.8005, 0.8539, 0.8355, 0.8610,
        0.8454, 0.8128, 0.8884, 0.8165, 0.8657, 0.8459, 0.8889, 0.8775])",0.8365384340286255,0.8401890397071838,0.8365384340286255,0.8365384340286255,0,0,0.8401891252955083,13.512741327285767
5,77,51,"tensor([0.6886, 0.6821, 0.6888, 0.6798, 0.6842, 0.6814, 0.6852, 0.6849, 0.6747,
        0.6797, 0.6784, 0.6789, 0.6840, 0.6788, 0.6781, 0.6812, 0.6867, 0.6841,
        0.6832, 0.6804, 0.6838, 0.6829, 0.6831, 0.6806, 0.6715, 0.6803, 0.6849,
        0.6808, 0.6755, 0.6768, 0.6849, 0.6833, 0.6790, 0.6802, 0.6781, 0.6831,
        0.6825, 0.6782, 0.6862, 0.6777, 0.6747, 0.6802, 0.6789, 0.6787, 0.6815,
        0.6784, 0.6766, 0.6833, 0.6811, 0.6825, 0.6812])",218,"tensor([0.9167, 0.9167, 0.7500, 1.0000, 0.6667, 0.9167, 0.8333, 0.9167, 1.0000,
        0.9167, 0.8333, 0.9167, 0.8333, 0.9167, 0.9167, 1.0000, 0.9167, 0.8333,
        0.7500, 0.8333, 0.9167, 0.9167, 0.9167, 0.9167, 1.0000, 0.9167, 0.6667,
        0.9167, 0.9167, 0.9167, 0.9167, 0.9167, 1.0000, 0.8333, 0.7500, 1.0000,
        0.8333, 1.0000, 0.9167, 1.0000, 1.0000, 0.9167, 0.8333, 0.8333, 1.0000,
        0.9167, 0.9167, 0.9167, 0.8333, 0.8333, 1.0000])","tensor([0.8061, 0.7130, 0.8293, 0.7579, 0.8236, 0.8104, 0.8813, 0.8681, 0.8288,
        0.8738, 0.8842, 0.8392, 0.9026, 0.8723, 0.8506, 0.8960, 0.9300, 0.9191,
        0.8983, 0.8842, 0.8993, 0.9045, 0.9045, 0.9035, 0.8270, 0.8340, 0.8898,
        0.9064, 0.8303, 0.8468, 0.9087, 0.8742, 0.8761, 0.8686, 0.8487, 0.9239,
        0.8875, 0.8652, 0.8941, 0.8596, 0.8652, 0.9007, 0.8913, 0.8369, 0.8979,
        0.8652, 0.8809, 0.9083, 0.8742, 0.8879, 0.9243])",0.89705890417099,0.8696982264518738,0.89705890417099,0.89705890417099,0,0,0.8690307328605201,11.251059770584106
6,75,22,"tensor([0.6855, 0.6863, 0.6863, 0.6846, 0.6851, 0.6854, 0.6814, 0.6798, 0.6833,
        0.6819, 0.6814, 0.6817, 0.6762, 0.6836, 0.6793, 0.6768, 0.6812, 0.6810,
        0.6712, 0.6775, 0.6735, 0.6828])",271,"tensor([0.8333, 0.8333, 0.8333, 0.8333, 0.9167, 0.8333, 0.9167, 0.9167, 0.9167,
        0.9167, 1.0000, 1.0000, 1.0000, 0.8333, 0.9167, 1.0000, 0.9167, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000])","tensor([0.7404, 0.7437, 0.8080, 0.8142, 0.8156, 0.8284, 0.7787, 0.8501, 0.8284,
        0.8511, 0.9087, 0.9106, 0.9012, 0.9343, 0.9277, 0.9021, 0.9343, 0.9206,
        0.8823, 0.8709, 0.8638, 0.9409])",0.928030252456665,0.8616376519203186,0.928030252456665,0.928030252456665,0,0,0.8633569739952719,14.093917846679688
7,77,35,"tensor([0.6941, 0.6919, 0.6932, 0.6909, 0.6844, 0.6865, 0.6791, 0.6756, 0.6824,
        0.6853, 0.6828, 0.6881, 0.6788, 0.6719, 0.6774, 0.6789, 0.6772, 0.6813,
        0.6840, 0.6787, 0.6838, 0.6736, 0.6806, 0.6691, 0.6825, 0.6772, 0.6793,
        0.6728, 0.6779, 0.6737, 0.6777, 0.6769, 0.6764, 0.6801, 0.6751])",313,"tensor([0.6667, 0.6667, 0.7500, 0.7500, 0.9167, 0.6667, 0.7500, 0.9167, 0.9167,
        0.7500, 0.9167, 0.7500, 1.0000, 0.9167, 0.9167, 0.9167, 0.9167, 0.9167,
        0.8333, 0.9167, 0.8333, 1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000,
        1.0000, 0.9167, 0.8333, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000])","tensor([0.5995, 0.6118, 0.6095, 0.8005, 0.7730, 0.7972, 0.7811, 0.8165, 0.8440,
        0.8785, 0.8875, 0.8998, 0.9220, 0.8723, 0.8927, 0.8865, 0.9026, 0.9248,
        0.9314, 0.8913, 0.9277, 0.8988, 0.9054, 0.8482, 0.9348, 0.8884, 0.9168,
        0.8648, 0.8794, 0.8515, 0.8993, 0.9253, 0.8728, 0.9191, 0.8927])",0.8857142925262451,0.8556433320045471,0.8857142925262451,0.8857142925262451,0,0,0.866193853427896,13.088024854660034
8,63,10,"tensor([0.6953, 0.6937, 0.6864, 0.6800, 0.6805, 0.6809, 0.6715, 0.6803, 0.6726,
        0.6805])",366,"tensor([0.5833, 0.6667, 0.7500, 0.8333, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000,
        0.9167])","tensor([0.6203, 0.6142, 0.8151, 0.8142, 0.8913, 0.9139, 0.8785, 0.9031, 0.8690,
        0.9201])",0.8583332896232605,0.8239716291427612,0.8583332896232605,0.8583332896232605,0,0,0.8439716312056738,9.786014556884766
9,70,64,"tensor([0.6877, 0.6900, 0.6825, 0.6857, 0.6905, 0.6838, 0.6819, 0.6801, 0.6834,
        0.6767, 0.6841, 0.6764, 0.6751, 0.6784, 0.6750, 0.6815, 0.6750, 0.6784,
        0.6778, 0.6733, 0.6788, 0.6709, 0.6781, 0.6799, 0.6814, 0.6785, 0.6758,
        0.6786, 0.6847, 0.6812, 0.6814, 0.6807, 0.6817, 0.6807, 0.6706, 0.6757,
        0.6827, 0.6800, 0.6796, 0.6760, 0.6806, 0.6833, 0.6797, 0.6824, 0.6807,
        0.6703, 0.6799, 0.6777, 0.6812, 0.6791, 0.6776, 0.6779, 0.6793, 0.6735,
        0.6844, 0.6813, 0.6783, 0.6808, 0.6792, 0.6802, 0.6800, 0.6752, 0.6792,
        0.6841])",372,"tensor([0.6667, 0.7500, 0.9167, 0.8333, 0.7500, 0.8333, 0.8333, 0.9167, 0.7500,
        1.0000, 0.8333, 1.0000, 1.0000, 0.9167, 1.0000, 0.9167, 1.0000, 0.9167,
        0.8333, 0.9167, 0.8333, 0.9167, 0.9167, 1.0000, 0.8333, 0.9167, 1.0000,
        1.0000, 0.8333, 0.9167, 1.0000, 0.9167, 0.8333, 0.9167, 0.9167, 1.0000,
        1.0000, 0.9167, 1.0000, 0.9167, 0.9167, 0.9167, 0.6667, 0.7500, 0.8333,
        1.0000, 0.9167, 0.7500, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 0.9167,
        0.8333, 0.8333, 0.9167, 0.8333, 0.9167, 0.9167, 0.8333, 0.8333, 0.8333,
        0.9167])","tensor([0.8014, 0.8000, 0.7683, 0.7858, 0.7617, 0.8213, 0.8322, 0.8487, 0.8851,
        0.9229, 0.9220, 0.8969, 0.8865, 0.8983, 0.8482, 0.9111, 0.8695, 0.8936,
        0.8832, 0.8577, 0.8837, 0.8388, 0.8979, 0.8823, 0.8931, 0.8771, 0.8563,
        0.8846, 0.9139, 0.9012, 0.9116, 0.8908, 0.9017, 0.8813, 0.8246, 0.8686,
        0.9059, 0.8610, 0.8775, 0.8657, 0.8884, 0.9225, 0.8700, 0.8879, 0.8704,
        0.8326, 0.8747, 0.8643, 0.9083, 0.9002, 0.8794, 0.8652, 0.8931, 0.8165,
        0.9017, 0.8851, 0.9073, 0.8875, 0.8374, 0.8922, 0.9012, 0.8355, 0.8629,
        0.9187])",0.8958333134651184,0.8721113801002502,0.8958333134651184,0.8958333134651184,0,0,0.8713947990543736,12.011256694793701
