round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.691129207611084,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,15.412254571914673
1,93,32,26,6,0,32,0.6891753673553467,0.4817708134651184,0.46335697174072266,0.4817708134651184,0.4817708134651184,0,0,0.46335697399527187,12.087788581848145
2,87,51,49,2,0,51,0.6896923780441284,0.454248309135437,0.46335700154304504,0.454248309135437,0.454248309135437,0,0,0.46335697399527187,13.319380044937134
3,87,53,48,5,0,53,0.6869634389877319,0.47484275698661804,0.46335700154304504,0.47484275698661804,0.47484275698661804,0,0,0.46335697399527187,12.087112426757812
4,73,45,36,9,0,45,0.6877769231796265,0.4444444477558136,0.46335694193840027,0.4444444477558136,0.4444444477558136,0,0,0.46335697399527187,11.519643783569336
5,78,28,24,4,0,28,0.6888876557350159,0.4136904776096344,0.46335697174072266,0.4136904776096344,0.4136904776096344,0,0,0.46335697399527187,11.2343590259552
6,73,45,36,9,0,45,0.6820473670959473,0.4833333194255829,0.46335694193840027,0.4833333194255829,0.4833333194255829,0,0,0.46335697399527187,11.30006718635559
7,65,7,0,7,0,7,0.6848549246788025,0.535714328289032,0.46335697174072266,0.535714328289032,0.535714328289032,0,0,0.46335697399527187,0.0008726119995117188
8,63,28,14,14,0,28,0.6799798607826233,0.5208333134651184,0.46335697174072266,0.5208333134651184,0.5208333134651184,0,0,0.46335697399527187,11.213421821594238
9,62,29,19,10,0,29,0.6840154528617859,0.43390804529190063,0.46335697174072266,0.43390804529190063,0.43390804529190063,0,0,0.46335697399527187,10.698994398117065
10,53,20,6,14,0,20,0.6851257085800171,0.42500001192092896,0.46335697174072266,0.42500001192092896,0.42500001192092896,0,0,0.46335697399527187,1.9341707229614258
11,47,19,0,19,0,19,0.6891065835952759,0.4254385828971863,0.46335697174072266,0.4254385828971863,0.4254385828971863,0,0,0.46335697399527187,0.00046515464782714844
12,53,26,1,25,0,26,0.680047869682312,0.5160256624221802,0.46335697174072266,0.5160256624221802,0.5160256624221802,0,0,0.46335697399527187,0.15504217147827148
13,55,29,0,29,0,29,0.6856468915939331,0.4367816150188446,0.46335697174072266,0.4367816150188446,0.4367816150188446,0,0,0.46335697399527187,0.0015490055084228516
14,48,29,0,29,0,29,0.6842049360275269,0.44252875447273254,0.46335697174072266,0.44252875447273254,0.44252875447273254,0,0,0.46335697399527187,0.0010104179382324219
15,48,37,14,23,0,37,0.6772468090057373,0.4797297418117523,0.46335694193840027,0.4797297418117523,0.4797297418117523,0,0,0.46335697399527187,10.95918869972229
16,43,25,0,25,0,25,0.6823142766952515,0.47333332896232605,0.46335697174072266,0.47333332896232605,0.47333332896232605,0,0,0.46335697399527187,0.0009784698486328125
17,35,24,0,24,0,24,0.6795909404754639,0.4930555522441864,0.46335697174072266,0.4930555522441864,0.4930555522441864,0,0,0.46335697399527187,0.0004355907440185547
18,34,27,0,27,0,27,0.6819024085998535,0.4506172835826874,0.46335697174072266,0.4506172835826874,0.4506172835826874,0,0,0.46335697399527187,0.000431060791015625
19,39,31,0,31,0,31,0.6756831407546997,0.5053763389587402,0.46335697174072266,0.5053763389587402,0.5053763389587402,0,0,0.46335697399527187,0.0010523796081542969
20,42,36,0,36,0,36,0.6847495436668396,0.4444444477558136,0.46335697174072266,0.4444444477558136,0.4444444477558136,0,0,0.46335697399527187,0.0011038780212402344
21,36,43,0,43,0,43,0.6786038875579834,0.4651162922382355,0.46335700154304504,0.4651162922382355,0.4651162922382355,0,0,0.46335697399527187,0.0006330013275146484
22,27,31,0,31,0,31,0.6770341396331787,0.526881754398346,0.46335697174072266,0.526881754398346,0.526881754398346,0,0,0.46335697399527187,0.0009944438934326172
23,45,34,0,34,0,34,0.6807165741920471,0.42892155051231384,0.46335697174072266,0.42892155051231384,0.42892155051231384,0,0,0.46335697399527187,0.0012700557708740234
24,41,38,0,38,0,38,0.6794498562812805,0.4934210479259491,0.46335697174072266,0.4934210479259491,0.4934210479259491,0,0,0.46335697399527187,0.0027091503143310547
25,39,39,0,39,0,39,0.6770659685134888,0.5106837749481201,0.46335700154304504,0.5106837749481201,0.5106837749481201,0,0,0.46335697399527187,0.001522064208984375
26,41,42,0,42,0,42,0.675286591053009,0.4960317015647888,0.4633569121360779,0.4960317015647888,0.4960317015647888,0,0,0.46335697399527187,0.0006086826324462891
27,37,43,5,38,0,43,0.6768025755882263,0.45348837971687317,0.46335700154304504,0.45348837971687317,0.45348837971687317,0,0,0.46335697399527187,1.7695202827453613
28,41,33,0,33,0,33,0.6787505745887756,0.4545454680919647,0.46335697174072266,0.4545454680919647,0.4545454680919647,0,0,0.46335697399527187,0.0022630691528320312
29,31,47,0,47,0,47,0.6785317063331604,0.4521276652812958,0.4633569121360779,0.4521276652812958,0.4521276652812958,0,0,0.46335697399527187,0.001035451889038086
30,43,44,0,44,0,44,0.6745737195014954,0.488636314868927,0.46335697174072266,0.488636314868927,0.488636314868927,0,0,0.46335697399527187,0.0008499622344970703
31,46,64,11,53,0,64,0.67325758934021,0.4830729067325592,0.4633791446685791,0.4830729067325592,0.4830729067325592,0,0,0.46335697399527187,10.708757162094116
32,41,36,1,35,0,36,0.6740352511405945,0.4722221791744232,0.46337011456489563,0.4722221791744232,0.4722221791744232,0,0,0.46382978723404256,0.15439224243164062
33,29,51,8,43,0,51,0.6747247576713562,0.45588231086730957,0.46372777223587036,0.45588231086730957,0.45588231086730957,0,0,0.4657210401891253,10.296623229980469
34,36,48,0,48,0,48,0.6727020144462585,0.4930555820465088,0.46338653564453125,0.4930555820465088,0.4930555820465088,0,0,0.4657210401891253,0.0017282962799072266
35,52,42,5,37,0,42,0.6704577207565308,0.494047611951828,0.46398741006851196,0.494047611951828,0.494047611951828,0,0,0.4666666666666667,1.1618304252624512
36,54,28,1,27,0,28,0.6689815521240234,0.4999999701976776,0.4638635814189911,0.4999999701976776,0.4999999701976776,0,0,0.46713947990543736,0.2658078670501709
37,50,33,0,33,0,33,0.6698672771453857,0.47727274894714355,0.4645318388938904,0.47727274894714355,0.47727274894714355,0,0,0.46713947990543736,0.0024557113647460938
38,33,47,0,47,0,47,0.6726657152175903,0.4432624578475952,0.46525833010673523,0.4432624578475952,0.4432624578475952,0,0,0.46713947990543736,0.0005521774291992188
39,39,56,15,41,0,56,0.6668172478675842,0.4895833432674408,0.4663796126842499,0.4895833432674408,0.4895833432674408,0,0,0.4723404255319149,11.785947322845459
40,46,35,1,34,0,35,0.6704668998718262,0.46190473437309265,0.4662749171257019,0.46190473437309265,0.46190473437309265,0,0,0.49314420803782505,0.2371828556060791
41,40,34,0,34,0,34,0.6715007424354553,0.4387255012989044,0.4659574329853058,0.4387255012989044,0.4387255012989044,0,0,0.49314420803782505,0.0012426376342773438
42,38,41,0,41,0,41,0.6670719385147095,0.48373985290527344,0.4669434726238251,0.48373985290527344,0.48373985290527344,0,0,0.49314420803782505,0.0009522438049316406
43,49,51,0,51,0,51,0.6672213673591614,0.47875815629959106,0.47037503123283386,0.47875815629959106,0.47875815629959106,0,0,0.49314420803782505,0.0011022090911865234
44,48,58,28,30,0,58,0.6644191145896912,0.4856322109699249,0.49092692136764526,0.4856322109699249,0.4856322109699249,0,0,0.5111111111111111,11.977987051010132
45,46,38,0,38,0,38,0.6672974824905396,0.47587719559669495,0.47342294454574585,0.47587719559669495,0.47587719559669495,0,0,0.5111111111111111,0.0012574195861816406
46,47,34,0,34,0,34,0.664709746837616,0.4779411852359772,0.481282114982605,0.4779411852359772,0.4779411852359772,0,0,0.5111111111111111,0.0006923675537109375
47,43,50,2,48,0,50,0.6643093228340149,0.4833333194255829,0.4816737473011017,0.4833333194255829,0.4833333194255829,0,0,0.5281323877068558,0.5935952663421631
48,54,42,8,34,0,42,0.662222683429718,0.5039682388305664,0.4960035979747772,0.5039682388305664,0.5039682388305664,0,0,0.5560283687943263,10.178388833999634
49,32,45,0,45,0,45,0.6627203822135925,0.5333333015441895,0.4755345582962036,0.5333333015441895,0.5333333015441895,0,0,0.5560283687943263,0.0006031990051269531
50,36,43,0,43,0,43,0.6636555790901184,0.48837214708328247,0.48507338762283325,0.48837214708328247,0.48837214708328247,0,0,0.5560283687943263,0.0011029243469238281
51,38,54,7,47,0,54,0.6610528230667114,0.5030863881111145,0.5042815804481506,0.5030863881111145,0.5030863881111145,0,0,0.5782505910165484,10.914352416992188
52,52,46,3,43,0,46,0.663892924785614,0.4927535951137543,0.4991365969181061,0.4927535951137543,0.4927535951137543,0,0,0.6151300236406619,1.1390039920806885
53,40,49,9,40,0,49,0.659935474395752,0.5187074542045593,0.5301104784011841,0.5187074542045593,0.5187074542045593,0,0,0.6463356973995272,10.282227993011475
54,38,36,0,36,0,36,0.6571230292320251,0.5347221493721008,0.5055292844772339,0.5347221493721008,0.5347221493721008,0,0,0.6463356973995272,0.0005545616149902344
55,45,59,8,51,0,59,0.6552650928497314,0.5593220591545105,0.5525904893875122,0.5593220591545105,0.5593220591545105,0,0,0.6817966903073286,11.109818935394287
56,45,60,15,45,0,60,0.6570652723312378,0.5611111521720886,0.5695429444313049,0.5611111521720886,0.5611111521720886,0,0,0.7106382978723405,12.208592891693115
57,47,48,8,40,0,48,0.6539052128791809,0.5694444179534912,0.5542454719543457,0.5694444179534912,0.5694444179534912,0,0,0.7361702127659574,10.314452409744263
58,48,51,16,35,0,51,0.6481155753135681,0.6470587253570557,0.6004078984260559,0.6470587253570557,0.6470587253570557,0,0,0.7508274231678487,10.648744106292725
59,44,65,20,45,0,65,0.6479106545448303,0.6333332657814026,0.6261793375015259,0.6333332657814026,0.6333332657814026,0,0,0.7706855791962175,11.022355318069458
60,50,50,15,35,0,50,0.6518333554267883,0.6399999856948853,0.616955041885376,0.6399999856948853,0.6399999856948853,0,0,0.7924349881796691,11.116874933242798
61,47,35,0,35,0,35,0.6551401019096375,0.550000011920929,0.5516514778137207,0.550000011920929,0.550000011920929,0,0,0.7924349881796691,0.0009915828704833984
62,43,41,0,41,0,41,0.6529979109764099,0.5833333134651184,0.5911896228790283,0.5833333134651184,0.5833333134651184,0,0,0.7924349881796691,0.0010874271392822266
63,44,62,24,38,0,62,0.6452347636222839,0.6787635087966919,0.6671318411827087,0.6787635087966919,0.6787635087966919,0,0,0.8108747044917257,11.08073878288269
64,44,43,0,43,0,43,0.6495339870452881,0.6201550364494324,0.6214964389801025,0.6201550364494324,0.6201550364494324,0,0,0.8108747044917257,0.004998922348022461
