round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.691129207611084,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,3.5694046020507812
1,93,59,53,6,0,59,0.6890223622322083,0.4830508232116699,0.46335700154304504,0.4830508232116699,0.4830508232116699,0,0,0.46335697399527187,5.317023038864136
2,91,32,29,3,0,32,0.6893174648284912,0.46875,0.46335697174072266,0.46875,0.46875,0,0,0.46335697399527187,2.3146932125091553
3,87,46,38,8,0,46,0.6870234608650208,0.4692029058933258,0.46335694193840027,0.4692029058933258,0.4692029058933258,0,0,0.46335697399527187,3.003986120223999
4,82,55,48,7,0,55,0.6879950165748596,0.4469697177410126,0.46335694193840027,0.4469697177410126,0.4469697177410126,0,0,0.46335697399527187,4.7392418384552
5,77,59,50,9,0,59,0.6853693723678589,0.4788135588169098,0.46335700154304504,0.4788135588169098,0.4788135588169098,0,0,0.46335697399527187,4.67772912979126
6,76,24,17,7,0,24,0.6840872168540955,0.472222238779068,0.46335697174072266,0.472222238779068,0.472222238779068,0,0,0.46335697399527187,2.3455097675323486
7,72,53,37,16,0,53,0.6862834095954895,0.4496855139732361,0.46335700154304504,0.4496855139732361,0.4496855139732361,0,0,0.46335697399527187,4.260736703872681
8,61,54,36,18,0,54,0.6838344931602478,0.4753086566925049,0.46335697174072266,0.4753086566925049,0.4753086566925049,0,0,0.46335697399527187,4.503647804260254
9,72,39,27,12,0,39,0.682641863822937,0.48076921701431274,0.46335700154304504,0.48076921701431274,0.48076921701431274,0,0,0.46335697399527187,2.997671604156494
10,72,58,46,12,0,58,0.6815675497055054,0.4813218414783478,0.46335700154304504,0.4813218414783478,0.4813218414783478,0,0,0.46335697399527187,5.155093193054199
