round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6902564764022827,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,12.32850694656372
1,100,100,100,0,0,100,0.6852986812591553,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,12.654170751571655
2,100,100,100,0,0,100,0.6821627020835876,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,10.302183151245117
3,100,100,100,0,0,100,0.6814987063407898,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,11.751532793045044
4,100,100,100,0,0,100,0.6764581799507141,0.4741666913032532,0.46335697174072266,0.4741666913032532,0.4741666913032532,0,0,0.46335697399527187,11.814716577529907
5,100,100,100,0,0,100,0.6724197864532471,0.4791666865348816,0.46335697174072266,0.4791666865348816,0.4791666865348816,0,0,0.46335697399527187,13.185922384262085
6,100,100,100,0,0,100,0.6695670485496521,0.4724999964237213,0.46342790126800537,0.4724999964237213,0.4724999964237213,0,0,0.46335697399527187,14.287914991378784
7,100,100,100,0,0,100,0.666157066822052,0.4699999988079071,0.4645673334598541,0.4699999988079071,0.4699999988079071,0,0,0.46430260047281324,12.449391603469849
8,100,100,100,0,0,100,0.6613239049911499,0.4891666769981384,0.47183454036712646,0.4891666769981384,0.4891666769981384,0,0,0.47044917257683216,12.03422236442566
9,100,100,100,0,0,100,0.6579242944717407,0.5216666460037231,0.4939243197441101,0.5216666460037231,0.5216666460037231,0,0,0.4983451536643026,11.936901807785034
10,100,100,100,0,0,100,0.6531291007995605,0.5833333134651184,0.5485153794288635,0.5833333134651184,0.5833333134651184,0,0,0.5418439716312057,12.535938739776611
11,100,100,100,0,0,100,0.6512287259101868,0.6208333373069763,0.6070212721824646,0.6208333373069763,0.6208333373069763,0,0,0.6170212765957447,12.175068855285645
12,100,100,100,0,0,100,0.6473111510276794,0.6866666674613953,0.6746761202812195,0.6866666674613953,0.6866666674613953,0,0,0.6808510638297872,14.425196647644043
13,100,100,100,0,0,100,0.6457138657569885,0.7333333492279053,0.7348132133483887,0.7333333492279053,0.7333333492279053,0,0,0.7361702127659574,12.47266435623169
14,100,100,100,0,0,100,0.6417248249053955,0.7883332967758179,0.7794704437255859,0.7883332967758179,0.7883332967758179,0,0,0.782033096926714,11.762442111968994
15,100,100,100,0,0,100,0.635502815246582,0.8424999713897705,0.820217490196228,0.8424999713897705,0.8424999713897705,0,0,0.8236406619385342,13.353929042816162
16,100,100,100,0,0,100,0.629568874835968,0.8741666674613953,0.8566052317619324,0.8741666674613953,0.8741666674613953,0,0,0.8576832151300237,12.531728506088257
17,100,100,100,0,0,100,0.6258942484855652,0.8958333730697632,0.8831300139427185,0.8958333730697632,0.8958333730697632,0,0,0.8846335697399527,11.863266229629517
18,100,100,100,0,0,100,0.6237188577651978,0.90583336353302,0.9072009325027466,0.90583336353302,0.90583336353302,0,0,0.9068557919621749,12.585131883621216
19,100,100,100,0,0,100,0.6137890815734863,0.9183332920074463,0.9214704036712646,0.9183332920074463,0.9183332920074463,0,0,0.9224586288416076,14.449343204498291
20,100,100,100,0,0,100,0.6145924925804138,0.93833327293396,0.93487948179245,0.93833327293396,0.93833327293396,0,0,0.9347517730496454,20.9168541431427
21,100,100,100,0,0,100,0.6062244176864624,0.940833330154419,0.9404965043067932,0.940833330154419,0.940833330154419,0,0,0.9390070921985816,14.102331161499023
22,100,100,100,0,0,100,0.6034054756164551,0.9633333683013916,0.9474656581878662,0.9633333683013916,0.9633333683013916,0,0,0.9470449172576832,13.523744583129883
23,100,100,100,0,0,100,0.5965761542320251,0.9558334350585938,0.9535604119300842,0.9558334350585938,0.9558334350585938,0,0,0.9527186761229315,11.975656747817993
24,100,100,100,0,0,100,0.5889751315116882,0.9575001001358032,0.9592339992523193,0.9575001001358032,0.9575001001358032,0,0,0.9583924349881797,9.480765342712402
25,100,100,100,0,0,100,0.5874799489974976,0.9658333659172058,0.963229238986969,0.9658333659172058,0.9658333659172058,0,0,0.9635933806146572,14.513964414596558
26,100,100,100,0,0,100,0.5802913308143616,0.9750000238418579,0.9667754173278809,0.9750000238418579,0.9750000238418579,0,0,0.9673758865248226,12.38135552406311
27,100,100,100,0,0,100,0.5793964862823486,0.9758333563804626,0.9704728126525879,0.9758333563804626,0.9758333563804626,0,0,0.9711583924349881,11.572510242462158
