round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.691129207611084,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,13.545053482055664
1,93,43,37,6,0,43,0.6895191669464111,0.47674423456192017,0.46335700154304504,0.47674423456192017,0.47674423456192017,0,0,0.46335697399527187,15.738654613494873
2,89,57,53,4,0,57,0.6879060864448547,0.48245614767074585,0.46335703134536743,0.48245614767074585,0.48245614767074585,0,0,0.46335697399527187,15.514707088470459
3,86,66,62,4,0,66,0.6872642040252686,0.46590906381607056,0.46335697174072266,0.46590906381607056,0.46590906381607056,0,0,0.46335697399527187,16.8423490524292
4,85,31,20,11,0,31,0.6838201284408569,0.5161290168762207,0.46335697174072266,0.5161290168762207,0.5161290168762207,0,0,0.46335697399527187,12.9623544216156
5,85,58,47,11,0,58,0.6837589144706726,0.48419538140296936,0.46335700154304504,0.48419538140296936,0.48419538140296936,0,0,0.46335697399527187,21.45622205734253
6,75,43,35,8,0,43,0.6846675872802734,0.44961240887641907,0.46335700154304504,0.44961240887641907,0.44961240887641907,0,0,0.46335697399527187,15.21138882637024
7,72,28,21,7,0,28,0.6797131299972534,0.4851190745830536,0.46335697174072266,0.4851190745830536,0.4851190745830536,0,0,0.46335697399527187,14.094022512435913
8,64,13,3,10,0,13,0.6841205954551697,0.4615384638309479,0.46335697174072266,0.4615384638309479,0.4615384638309479,0,0,0.46335697399527187,11.791061162948608
9,63,49,33,16,0,49,0.6812337636947632,0.47789111733436584,0.46335694193840027,0.47789111733436584,0.47789111733436584,0,0,0.46335697399527187,23.405378103256226
10,65,38,32,6,0,38,0.6813971996307373,0.4561403691768646,0.46335697174072266,0.4561403691768646,0.4561403691768646,0,0,0.46335697399527187,13.186559915542603
11,53,22,3,19,0,22,0.6862571835517883,0.40909090638160706,0.46335697174072266,0.40909090638160706,0.40909090638160706,0,0,0.46335697399527187,11.847161054611206
12,54,41,24,17,0,41,0.681121289730072,0.4654471278190613,0.46335694193840027,0.4654471278190613,0.4654471278190613,0,0,0.46335697399527187,14.486552953720093
13,47,31,15,16,0,31,0.6811036467552185,0.4489247500896454,0.46335697174072266,0.4489247500896454,0.4489247500896454,0,0,0.46335697399527187,15.909577369689941
14,55,21,0,21,0,21,0.6802682280540466,0.4960317611694336,0.46335697174072266,0.4960317611694336,0.4960317611694336,0,0,0.46335697399527187,17.96895980834961
15,47,18,0,18,0,18,0.6845460534095764,0.4583333432674408,0.46335697174072266,0.4583333432674408,0.4583333432674408,0,0,0.46335697399527187,12.453335523605347
16,51,40,0,40,0,40,0.6785107851028442,0.5104166269302368,0.46335697174072266,0.5104166269302368,0.5104166269302368,0,0,0.46335697399527187,21.393879890441895
17,50,30,10,20,0,30,0.6790967583656311,0.4888888895511627,0.46335697174072266,0.4888888895511627,0.4888888895511627,0,0,0.46335697399527187,17.857229709625244
18,40,24,0,24,0,24,0.6825146675109863,0.4583333730697632,0.46335697174072266,0.4583333730697632,0.4583333730697632,0,0,0.46335697399527187,9.95540738105774
19,39,64,16,48,0,64,0.6808481216430664,0.48046875,0.46335697174072266,0.48046875,0.48046875,0,0,0.46335697399527187,26.589792728424072
20,46,41,0,41,0,41,0.6838935017585754,0.45325204730033875,0.46335694193840027,0.45325204730033875,0.45325204730033875,0,0,0.46335697399527187,14.711822986602783
21,46,30,0,30,0,30,0.6843589544296265,0.43611106276512146,0.46335697174072266,0.43611106276512146,0.43611106276512146,0,0,0.46335697399527187,17.97857093811035
22,41,46,0,46,0,46,0.6761381030082703,0.5163043737411499,0.46335694193840027,0.5163043737411499,0.5163043737411499,0,0,0.46335697399527187,17.483107089996338
23,46,42,11,31,0,42,0.6796111464500427,0.4821428656578064,0.4633569121360779,0.4821428656578064,0.4821428656578064,0,0,0.46335697399527187,16.021676778793335
24,43,53,16,37,0,53,0.6829820275306702,0.4229559600353241,0.46335700154304504,0.4229559600353241,0.4229559600353241,0,0,0.46335697399527187,20.825024604797363
25,44,40,0,40,0,40,0.6804277300834656,0.4833333492279053,0.46335697174072266,0.4833333492279053,0.4833333492279053,0,0,0.46335697399527187,19.471803665161133
26,50,43,0,43,0,43,0.6806260943412781,0.4689922630786896,0.46335700154304504,0.4689922630786896,0.4689922630786896,0,0,0.46335697399527187,13.726742029190063
27,41,39,6,33,0,39,0.679227352142334,0.46794870495796204,0.46335700154304504,0.46794870495796204,0.46794870495796204,0,0,0.46335697399527187,22.88219666481018
28,45,63,24,39,0,63,0.6774871945381165,0.4867725074291229,0.4633570611476898,0.4867725074291229,0.4867725074291229,0,0,0.46335697399527187,22.016885995864868
29,37,48,12,36,0,48,0.6777357459068298,0.4756944179534912,0.46335697174072266,0.4756944179534912,0.4756944179534912,0,0,0.46335697399527187,17.96207094192505
30,40,39,0,39,0,39,0.6790929436683655,0.4829060137271881,0.46335700154304504,0.4829060137271881,0.4829060137271881,0,0,0.46335697399527187,16.88957667350769
31,37,37,1,36,0,37,0.6762984991073608,0.4887387156486511,0.46335694193840027,0.4887387156486511,0.4887387156486511,0,0,0.46335697399527187,12.670485019683838
32,40,26,0,26,0,26,0.6798480153083801,0.45192307233810425,0.46335697174072266,0.45192307233810425,0.45192307233810425,0,0,0.46335697399527187,14.300711631774902
33,45,30,0,30,0,30,0.6765303015708923,0.49166664481163025,0.46335697174072266,0.49166664481163025,0.49166664481163025,0,0,0.46335697399527187,13.023385763168335
34,47,58,19,39,0,58,0.6785285472869873,0.4482758939266205,0.46335700154304504,0.4482758939266205,0.4482758939266205,0,0,0.46335697399527187,18.902809619903564
35,42,38,3,35,0,38,0.6752411127090454,0.49342110753059387,0.46335697174072266,0.49342110753059387,0.49342110753059387,0,0,0.46335697399527187,12.529140710830688
36,46,43,0,43,0,43,0.6767985224723816,0.4844960868358612,0.46335700154304504,0.4844960868358612,0.4844960868358612,0,0,0.46335697399527187,11.361985683441162
37,41,44,1,43,0,44,0.6771155595779419,0.47159096598625183,0.46335697174072266,0.47159096598625183,0.47159096598625183,0,0,0.46335697399527187,14.615196704864502
38,48,38,0,38,0,38,0.679709255695343,0.4364035129547119,0.46335697174072266,0.4364035129547119,0.4364035129547119,0,0,0.46335697399527187,16.936031341552734
39,36,64,11,53,0,64,0.6759938597679138,0.48046875,0.46335697174072266,0.48046875,0.48046875,0,0,0.46335697399527187,22.535948514938354
40,47,36,0,36,0,36,0.6772666573524475,0.4537036716938019,0.46335697174072266,0.4537036716938019,0.4537036716938019,0,0,0.46335697399527187,15.231679916381836
41,40,40,0,40,0,40,0.6789873242378235,0.43958336114883423,0.46335697174072266,0.43958336114883423,0.43958336114883423,0,0,0.46335697399527187,12.837080240249634
42,41,31,0,31,0,31,0.6746489405632019,0.494623601436615,0.46335697174072266,0.494623601436615,0.494623601436615,0,0,0.46335697399527187,17.293379545211792
