round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,54,"tensor([0.6970, 0.7004, 0.7017, 0.6978, 0.6912, 0.6991, 0.6986, 0.6907, 0.7006,
        0.6897, 0.6933, 0.6919, 0.6893, 0.7045, 0.6987, 0.6921, 0.6980, 0.6952,
        0.6890, 0.6944, 0.6977, 0.6912, 0.6968, 0.6994, 0.6966, 0.6906, 0.6891,
        0.6970, 0.6951, 0.6991, 0.7006, 0.6962, 0.6998, 0.7017, 0.6909, 0.6981,
        0.6956, 0.6959, 0.6906, 0.7015, 0.7044, 0.6962, 0.6955, 0.6894, 0.7002,
        0.6956, 0.7020, 0.6948, 0.6997, 0.6897, 0.6951, 0.6980, 0.7029, 0.6956])",46,"tensor([0.5833, 0.3333, 0.3333, 0.5833, 0.6667, 0.4167, 0.5000, 0.6667, 0.3333,
        0.6667, 0.5833, 0.6667, 0.7500, 0.1667, 0.4167, 0.5833, 0.5000, 0.5000,
        0.7500, 0.5000, 0.5000, 0.5833, 0.5000, 0.3333, 0.4167, 0.6667, 0.7500,
        0.4167, 0.5000, 0.4167, 0.4167, 0.4167, 0.3333, 0.3333, 0.6667, 0.3333,
        0.5833, 0.5000, 0.6667, 0.3333, 0.1667, 0.5000, 0.5000, 0.7500, 0.3333,
        0.6667, 0.2500, 0.5000, 0.5000, 0.6667, 0.5833, 0.4167, 0.1667, 0.5833])","tensor([0.4619, 0.4525, 0.4539, 0.4615, 0.4615, 0.4610, 0.4619, 0.4615, 0.4454,
        0.4619, 0.4615, 0.4615, 0.4619, 0.4426, 0.4610, 0.4619, 0.4596, 0.4605,
        0.4619, 0.4610, 0.4615, 0.4615, 0.4624, 0.4487, 0.4619, 0.4619, 0.4629,
        0.4572, 0.4525, 0.4586, 0.4619, 0.4534, 0.4463, 0.4548, 0.4624, 0.4511,
        0.4619, 0.4600, 0.4624, 0.4525, 0.4478, 0.4605, 0.4615, 0.4624, 0.4530,
        0.4624, 0.4482, 0.4619, 0.4610, 0.4619, 0.4619, 0.4600, 0.4175, 0.4615])",0.49537035822868347,0.45766571164131165,0.49537035822868347,0.49537035822868347,0,0,0.4614657210401891,6.991382360458374
1,98,83,"tensor([0.6908, 0.6991, 0.7003, 0.6885, 0.6997, 0.6963, 0.6998, 0.6963, 0.6959,
        0.6971, 0.7027, 0.6976, 0.6902, 0.6991, 0.6965, 0.6825, 0.6871, 0.6939,
        0.6988, 0.7007, 0.6898, 0.6923, 0.6957, 0.6975, 0.6976, 0.6938, 0.6979,
        0.6898, 0.6867, 0.6901, 0.6991, 0.7010, 0.6983, 0.6933, 0.6949, 0.6916,
        0.6930, 0.6952, 0.6941, 0.7002, 0.6944, 0.7004, 0.6927, 0.6995, 0.6971,
        0.6912, 0.6935, 0.7020, 0.6960, 0.6901, 0.7002, 0.6940, 0.6951, 0.7032,
        0.6978, 0.6924, 0.6946, 0.6916, 0.6948, 0.6978, 0.6980, 0.6899, 0.6970,
        0.7013, 0.6920, 0.6892, 0.6924, 0.6953, 0.6974, 0.6997, 0.6965, 0.6921,
        0.6930, 0.6912, 0.6983, 0.6863, 0.7044, 0.6858, 0.6828, 0.7020, 0.6963,
        0.6875, 0.6997])",61,"tensor([0.6667, 0.3333, 0.4167, 0.5833, 0.2500, 0.4167, 0.3333, 0.3333, 0.4167,
        0.4167, 0.2500, 0.3333, 0.5833, 0.3333, 0.4167, 0.8333, 0.6667, 0.4167,
        0.3333, 0.2500, 0.5833, 0.5000, 0.4167, 0.4167, 0.3333, 0.5000, 0.4167,
        0.5833, 0.7500, 0.5833, 0.2500, 0.3333, 0.4167, 0.5000, 0.4167, 0.5833,
        0.5833, 0.4167, 0.5000, 0.3333, 0.5000, 0.3333, 0.5833, 0.4167, 0.4167,
        0.5000, 0.5000, 0.2500, 0.4167, 0.5833, 0.2500, 0.5000, 0.5000, 0.1667,
        0.3333, 0.5833, 0.4167, 0.5000, 0.5000, 0.3333, 0.3333, 0.5833, 0.3333,
        0.2500, 0.5833, 0.6667, 0.5833, 0.4167, 0.3333, 0.2500, 0.4167, 0.5000,
        0.5000, 0.5833, 0.3333, 0.6667, 0.1667, 0.7500, 0.7500, 0.2500, 0.5000,
        0.7500, 0.3333])","tensor([0.4615, 0.4667, 0.4695, 0.4638, 0.4695, 0.4667, 0.4657, 0.4686, 0.4671,
        0.4657, 0.4681, 0.4676, 0.4657, 0.4695, 0.4667, 0.4634, 0.4643, 0.4676,
        0.4686, 0.4695, 0.4662, 0.4662, 0.4662, 0.4671, 0.4686, 0.4657, 0.4643,
        0.4662, 0.4634, 0.4662, 0.4695, 0.4667, 0.4657, 0.4662, 0.4657, 0.4662,
        0.4652, 0.4676, 0.4652, 0.4662, 0.4652, 0.4695, 0.4643, 0.4662, 0.4657,
        0.4662, 0.4695, 0.4657, 0.4657, 0.4662, 0.4700, 0.4662, 0.4695, 0.4662,
        0.4700, 0.4648, 0.4686, 0.4657, 0.4657, 0.4676, 0.4671, 0.4648, 0.4690,
        0.4704, 0.4652, 0.4648, 0.4652, 0.4662, 0.4662, 0.4676, 0.4657, 0.4662,
        0.4652, 0.4652, 0.4681, 0.4652, 0.4638, 0.4643, 0.4638, 0.4695, 0.4662,
        0.4634, 0.4662])",0.4508032202720642,0.466484397649765,0.4508032202720642,0.4508032202720642,0,0,0.4657210401891253,8.210287094116211
2,96,51,"tensor([0.6966, 0.6952, 0.6822, 0.6963, 0.6917, 0.6874, 0.6943, 0.6859, 0.6916,
        0.6904, 0.6894, 0.6883, 0.6881, 0.6991, 0.6873, 0.6907, 0.6883, 0.6945,
        0.6857, 0.6836, 0.7016, 0.6850, 0.6964, 0.6915, 0.6913, 0.6959, 0.6949,
        0.6913, 0.6964, 0.6953, 0.6935, 0.6923, 0.6945, 0.6918, 0.6974, 0.6836,
        0.6961, 0.6915, 0.6961, 0.6838, 0.6926, 0.6919, 0.6959, 0.6973, 0.6914,
        0.6929, 0.6876, 0.6939, 0.6876, 0.6876, 0.6916])",106,"tensor([0.5833, 0.4167, 0.7500, 0.3333, 0.4167, 0.5833, 0.5000, 0.6667, 0.5000,
        0.5833, 0.5000, 0.5833, 0.5833, 0.2500, 0.5833, 0.5000, 0.5833, 0.2500,
        0.6667, 0.7500, 0.2500, 0.6667, 0.4167, 0.4167, 0.5833, 0.3333, 0.3333,
        0.5833, 0.4167, 0.3333, 0.4167, 0.4167, 0.4167, 0.5000, 0.4167, 0.6667,
        0.5000, 0.5833, 0.3333, 0.6667, 0.5000, 0.4167, 0.4167, 0.3333, 0.5000,
        0.3333, 0.5833, 0.4167, 0.5833, 0.5833, 0.5000])","tensor([0.4615, 0.4846, 0.4657, 0.4761, 0.4761, 0.4704, 0.4761, 0.4667, 0.4818,
        0.4709, 0.4757, 0.4700, 0.4690, 0.4875, 0.4700, 0.4719, 0.4690, 0.4908,
        0.4657, 0.4704, 0.4946, 0.4671, 0.4861, 0.4818, 0.4785, 0.4837, 0.4813,
        0.4667, 0.4846, 0.4837, 0.4832, 0.4719, 0.4757, 0.4700, 0.4927, 0.4676,
        0.4827, 0.4723, 0.4846, 0.4671, 0.4719, 0.4761, 0.4813, 0.4884, 0.4700,
        0.4846, 0.4709, 0.4723, 0.4700, 0.4728, 0.4714])",0.4901960790157318,0.4759931266307831,0.4901960790157318,0.4901960790157318,0,0,0.47375886524822697,4.810847759246826
3,90,22,"tensor([0.6915, 0.6815, 0.6830, 0.6916, 0.6919, 0.6983, 0.6880, 0.6860, 0.6887,
        0.6879, 0.6821, 0.6846, 0.6908, 0.6878, 0.6942, 0.6901, 0.6891, 0.6889,
        0.6922, 0.6838, 0.6876, 0.6878])",174,"tensor([0.5833, 0.7500, 0.6667, 0.5000, 0.3333, 0.2500, 0.5000, 0.6667, 0.5833,
        0.5833, 0.6667, 0.5833, 0.4167, 0.5833, 0.3333, 0.5000, 0.5000, 0.5000,
        0.4167, 0.5833, 0.5000, 0.5833])","tensor([0.4719, 0.4700, 0.4747, 0.4785, 0.5262, 0.5291, 0.5021, 0.4875, 0.4804,
        0.5069, 0.4813, 0.4813, 0.5106, 0.5069, 0.5324, 0.4870, 0.5144, 0.5102,
        0.5064, 0.4846, 0.4842, 0.4941])",0.5265151262283325,0.4963894188404083,0.5265151262283325,0.5265151262283325,0,0,0.49267139479905436,7.857100486755371
4,79,68,"tensor([0.6949, 0.7043, 0.6917, 0.6993, 0.6932, 0.6845, 0.6873, 0.6886, 0.6799,
        0.6851, 0.6874, 0.6927, 0.6872, 0.6907, 0.6949, 0.6932, 0.6849, 0.6821,
        0.6817, 0.6732, 0.6782, 0.6875, 0.6865, 0.6850, 0.6848, 0.6841, 0.6882,
        0.6862, 0.6807, 0.6849, 0.6890, 0.6874, 0.6881, 0.6866, 0.6852, 0.6862,
        0.6911, 0.6815, 0.6862, 0.6896, 0.6836, 0.6906, 0.6855, 0.6812, 0.6830,
        0.6835, 0.6861, 0.6851, 0.6885, 0.6909, 0.6906, 0.6844, 0.6862, 0.6821,
        0.6901, 0.6838, 0.6801, 0.6783, 0.6877, 0.6799, 0.6895, 0.6753, 0.6916,
        0.6813, 0.6836, 0.6955, 0.6810, 0.6922])",185,"tensor([0.5000, 0.2500, 0.5000, 0.2500, 0.4167, 0.6667, 0.5000, 0.5000, 0.6667,
        0.6667, 0.5000, 0.4167, 0.5833, 0.4167, 0.4167, 0.4167, 0.6667, 0.6667,
        0.6667, 0.8333, 0.7500, 0.5833, 0.5000, 0.5833, 0.7500, 0.5000, 0.4167,
        0.5833, 0.6667, 0.6667, 0.5833, 0.5833, 0.5833, 0.6667, 0.5833, 0.5000,
        0.4167, 0.6667, 0.5833, 0.5833, 0.5833, 0.4167, 0.5000, 0.6667, 0.5833,
        0.7500, 0.5000, 0.5833, 0.6667, 0.5000, 0.3333, 0.6667, 0.7500, 0.6667,
        0.5000, 0.5833, 0.6667, 0.6667, 0.5000, 0.7500, 0.4167, 0.8333, 0.4167,
        0.5833, 0.6667, 0.5000, 0.6667, 0.5833])","tensor([0.4605, 0.4662, 0.4823, 0.4861, 0.5196, 0.4870, 0.4941, 0.5745, 0.5078,
        0.5050, 0.5248, 0.5177, 0.5797, 0.5589, 0.5707, 0.5773, 0.5518, 0.5220,
        0.5248, 0.4813, 0.4889, 0.5551, 0.5504, 0.5541, 0.5480, 0.5376, 0.5584,
        0.5532, 0.4837, 0.5489, 0.5754, 0.5645, 0.5660, 0.5480, 0.5489, 0.5641,
        0.5792, 0.4870, 0.5504, 0.5504, 0.5296, 0.5764, 0.5305, 0.5210, 0.5191,
        0.5527, 0.5130, 0.5338, 0.5712, 0.5560, 0.5603, 0.5636, 0.5584, 0.5253,
        0.5608, 0.5083, 0.5253, 0.5083, 0.5395, 0.5215, 0.5381, 0.5106, 0.5730,
        0.5078, 0.5168, 0.5901, 0.5225, 0.5801])",0.5698530077934265,0.5355513691902161,0.5698530077934265,0.5698530077934265,0,0,0.5333333333333333,12.049487829208374
5,81,77,"tensor([0.7012, 0.6890, 0.6935, 0.6893, 0.6878, 0.6909, 0.6891, 0.6863, 0.6920,
        0.6837, 0.6845, 0.6905, 0.6735, 0.6788, 0.6839, 0.6798, 0.6853, 0.6899,
        0.6810, 0.6851, 0.6772, 0.6888, 0.6909, 0.6816, 0.6773, 0.6872, 0.6836,
        0.6805, 0.6825, 0.6850, 0.6873, 0.6809, 0.6739, 0.6884, 0.6842, 0.6807,
        0.6794, 0.6862, 0.6778, 0.6771, 0.6791, 0.6908, 0.6805, 0.6812, 0.6928,
        0.6777, 0.6821, 0.6829, 0.6811, 0.6853, 0.6848, 0.6737, 0.6804, 0.6786,
        0.6874, 0.6845, 0.6819, 0.6843, 0.6960, 0.6770, 0.6812, 0.6930, 0.6914,
        0.6798, 0.6833, 0.6815, 0.6900, 0.6903, 0.6871, 0.6784, 0.6797, 0.6827,
        0.6947, 0.6757, 0.6840, 0.6873, 0.6941])",189,"tensor([0.2500, 0.5833, 0.3333, 0.5000, 0.4167, 0.5000, 0.4167, 0.5000, 0.5833,
        0.6667, 0.6667, 0.3333, 0.7500, 0.6667, 0.5000, 0.6667, 0.5833, 0.5833,
        0.5833, 0.5833, 0.7500, 0.5000, 0.5000, 0.5833, 0.6667, 0.6667, 0.6667,
        0.5833, 0.5833, 0.5833, 0.5833, 0.6667, 0.7500, 0.5000, 0.5833, 0.5000,
        0.7500, 0.5000, 0.7500, 0.8333, 0.5833, 0.4167, 0.5833, 0.6667, 0.3333,
        0.7500, 0.5000, 0.5833, 0.6667, 0.6667, 0.5833, 0.7500, 0.5833, 0.6667,
        0.5833, 0.5833, 0.5833, 0.7500, 0.3333, 0.6667, 0.7500, 0.3333, 0.3333,
        0.5833, 0.5833, 0.5833, 0.4167, 0.4167, 0.5833, 0.6667, 0.6667, 0.6667,
        0.4167, 0.7500, 0.5000, 0.7500, 0.5000])","tensor([0.4686, 0.4671, 0.4856, 0.5121, 0.5182, 0.5248, 0.5901, 0.5797, 0.6350,
        0.5976, 0.6005, 0.6331, 0.5281, 0.5764, 0.5953, 0.5697, 0.6095, 0.6350,
        0.5480, 0.5660, 0.5466, 0.6123, 0.5953, 0.5603, 0.5494, 0.6203, 0.5858,
        0.5891, 0.5513, 0.5953, 0.6279, 0.5475, 0.5366, 0.6307, 0.5783, 0.5749,
        0.5764, 0.5995, 0.5702, 0.5806, 0.5598, 0.6071, 0.5262, 0.5485, 0.6336,
        0.5754, 0.5697, 0.5835, 0.5972, 0.5991, 0.6132, 0.5366, 0.5603, 0.5716,
        0.6213, 0.6005, 0.5844, 0.6099, 0.6326, 0.5527, 0.5608, 0.6317, 0.6090,
        0.5598, 0.5740, 0.6109, 0.5768, 0.5839, 0.5976, 0.5712, 0.5480, 0.6019,
        0.6397, 0.5258, 0.5995, 0.6236, 0.6435])",0.5779221057891846,0.5793435573577881,0.5779221057891846,0.5779221057891846,0,0,0.5820330969267139,11.195572853088379
6,83,58,"tensor([0.6939, 0.6860, 0.6872, 0.6900, 0.6945, 0.6723, 0.6937, 0.6782, 0.6850,
        0.6868, 0.6900, 0.6879, 0.6848, 0.6737, 0.6784, 0.6775, 0.6811, 0.6851,
        0.6903, 0.6825, 0.6763, 0.6867, 0.6814, 0.6863, 0.6821, 0.6800, 0.6818,
        0.6855, 0.6867, 0.6859, 0.6750, 0.6777, 0.6907, 0.6724, 0.6913, 0.6811,
        0.6861, 0.6807, 0.6827, 0.6905, 0.6852, 0.6803, 0.6720, 0.6796, 0.6854,
        0.6849, 0.6820, 0.6737, 0.6842, 0.6798, 0.6827, 0.6746, 0.6756, 0.6849,
        0.6740, 0.6773, 0.6903, 0.6848])",214,"tensor([0.5833, 0.5833, 0.5833, 0.5000, 0.3333, 0.7500, 0.4167, 0.6667, 0.4167,
        0.4167, 0.5000, 0.5000, 0.5833, 0.7500, 0.6667, 0.7500, 0.6667, 0.5000,
        0.4167, 0.5833, 0.9167, 0.5000, 0.5833, 0.5833, 0.5833, 0.7500, 0.6667,
        0.4167, 0.6667, 0.5000, 0.8333, 0.8333, 0.5000, 1.0000, 0.4167, 0.5000,
        0.4167, 0.7500, 0.5833, 0.5000, 0.5000, 0.8333, 0.7500, 0.8333, 0.5833,
        0.7500, 0.6667, 0.6667, 0.5000, 0.6667, 0.7500, 0.7500, 0.9167, 0.5000,
        0.8333, 0.6667, 0.5000, 0.6667])","tensor([0.4624, 0.4780, 0.5007, 0.4988, 0.5177, 0.6123, 0.6837, 0.6217, 0.6435,
        0.6359, 0.6738, 0.6846, 0.6738, 0.6255, 0.6525, 0.6128, 0.6378, 0.6553,
        0.6818, 0.6322, 0.6511, 0.6548, 0.6331, 0.6704, 0.6317, 0.6430, 0.6629,
        0.6449, 0.6572, 0.6690, 0.6222, 0.6534, 0.6856, 0.6180, 0.6704, 0.6369,
        0.6548, 0.6610, 0.6350, 0.6775, 0.6738, 0.6586, 0.6066, 0.6369, 0.6667,
        0.6738, 0.6515, 0.5745, 0.6596, 0.6619, 0.6738, 0.6340, 0.6099, 0.6624,
        0.6369, 0.6090, 0.6837, 0.6605])",0.6206896305084229,0.6353793740272522,0.6206896305084229,0.6206896305084229,0,0,0.6543735224586288,7.350368022918701
7,82,27,"tensor([0.6847, 0.6900, 0.6986, 0.6901, 0.6862, 0.6811, 0.6798, 0.6771, 0.6786,
        0.6832, 0.6737, 0.6821, 0.6798, 0.6787, 0.6830, 0.6785, 0.6774, 0.6734,
        0.6763, 0.6753, 0.6768, 0.6773, 0.6814, 0.6741, 0.6751, 0.6772, 0.6719])",269,"tensor([0.7500, 0.5000, 0.2500, 0.4167, 0.5833, 0.6667, 0.7500, 0.8333, 0.5833,
        0.7500, 0.9167, 0.7500, 0.7500, 0.7500, 0.7500, 0.8333, 0.7500, 0.9167,
        0.7500, 0.7500, 0.9167, 0.7500, 0.5000, 0.7500, 0.7500, 0.5833, 0.7500])","tensor([0.4634, 0.4752, 0.4846, 0.5144, 0.5319, 0.5485, 0.6440, 0.7102, 0.7059,
        0.7305, 0.6851, 0.7362, 0.7116, 0.6894, 0.7305, 0.7144, 0.6728, 0.7116,
        0.7182, 0.6747, 0.7149, 0.6946, 0.7139, 0.6917, 0.7069, 0.7021, 0.6771])",0.7037037014961243,0.6575606465339661,0.7037037014961243,0.7037037014961243,0,0,0.7030732860520095,9.015127658843994
8,72,66,"tensor([0.6996, 0.6961, 0.6871, 0.6912, 0.6951, 0.6947, 0.6776, 0.6906, 0.6770,
        0.6728, 0.6804, 0.6798, 0.6796, 0.6690, 0.6791, 0.6721, 0.6637, 0.6736,
        0.6757, 0.6780, 0.6719, 0.6858, 0.6747, 0.6780, 0.6653, 0.6694, 0.6818,
        0.6802, 0.6751, 0.6861, 0.6725, 0.6788, 0.6671, 0.6706, 0.6728, 0.6655,
        0.6806, 0.6713, 0.6757, 0.6796, 0.6803, 0.6743, 0.6704, 0.6653, 0.6708,
        0.6699, 0.6694, 0.6776, 0.6718, 0.6688, 0.6781, 0.6704, 0.6699, 0.6810,
        0.6739, 0.6681, 0.6676, 0.6811, 0.6781, 0.6856, 0.6694, 0.6720, 0.6788,
        0.6703, 0.6682, 0.6799])",275,"tensor([0.3333, 0.5833, 0.6667, 0.5000, 0.5833, 0.3333, 0.6667, 0.5833, 0.9167,
        0.7500, 0.5000, 0.7500, 0.5833, 0.8333, 0.8333, 0.8333, 0.8333, 0.7500,
        0.9167, 0.6667, 0.9167, 0.5000, 0.6667, 0.5000, 0.7500, 0.8333, 0.7500,
        0.6667, 0.7500, 0.7500, 0.7500, 0.9167, 1.0000, 0.7500, 0.8333, 1.0000,
        0.6667, 0.7500, 0.8333, 0.6667, 0.7500, 0.9167, 0.7500, 0.8333, 0.9167,
        0.8333, 0.9167, 0.8333, 0.8333, 0.9167, 0.8333, 0.7500, 0.8333, 0.5000,
        0.6667, 0.9167, 0.6667, 0.5833, 0.7500, 0.6667, 1.0000, 0.8333, 0.6667,
        0.6667, 0.9167, 0.8333])","tensor([0.4534, 0.4619, 0.4681, 0.4738, 0.5324, 0.5901, 0.6913, 0.7390, 0.7603,
        0.7191, 0.7489, 0.7641, 0.7442, 0.7267, 0.7702, 0.7225, 0.7106, 0.7579,
        0.7622, 0.7570, 0.7423, 0.7749, 0.7433, 0.7272, 0.7111, 0.7267, 0.7740,
        0.7589, 0.7636, 0.7882, 0.7537, 0.7447, 0.7206, 0.7348, 0.7248, 0.7135,
        0.7570, 0.7206, 0.7518, 0.7579, 0.7773, 0.7631, 0.7187, 0.6941, 0.7130,
        0.7243, 0.7130, 0.7683, 0.7348, 0.7272, 0.7674, 0.7182, 0.7239, 0.7589,
        0.7461, 0.7291, 0.6884, 0.7660, 0.7664, 0.7806, 0.7461, 0.7433, 0.7745,
        0.6917, 0.7277, 0.7688])",0.7462121248245239,0.7192994356155396,0.7462121248245239,0.7462121248245239,0,0,0.7432624113475177,9.275353908538818
9,77,56,"tensor([0.6950, 0.6998, 0.6974, 0.6989, 0.6881, 0.6906, 0.6856, 0.6973, 0.6878,
        0.6906, 0.6803, 0.6707, 0.6769, 0.6718, 0.6755, 0.6693, 0.6602, 0.6771,
        0.6759, 0.6649, 0.6791, 0.6754, 0.6722, 0.6734, 0.6776, 0.6858, 0.6752,
        0.6656, 0.6756, 0.6804, 0.6654, 0.6764, 0.6700, 0.6645, 0.6704, 0.6683,
        0.6778, 0.6695, 0.6700, 0.6722, 0.6716, 0.6831, 0.6586, 0.6720, 0.6820,
        0.6684, 0.6712, 0.6761, 0.6685, 0.6803, 0.6800, 0.6739, 0.6775, 0.6653,
        0.6719, 0.6795])",296,"tensor([0.5000, 0.3333, 0.5000, 0.4167, 0.5833, 0.5000, 0.6667, 0.4167, 0.5000,
        0.5000, 0.6667, 0.9167, 0.6667, 0.7500, 0.8333, 0.7500, 0.9167, 0.6667,
        0.7500, 0.7500, 0.5833, 0.7500, 0.8333, 0.8333, 0.7500, 0.5833, 0.9167,
        0.9167, 0.6667, 0.7500, 0.9167, 0.6667, 0.7500, 0.8333, 0.9167, 0.8333,
        0.9167, 0.8333, 0.9167, 0.8333, 0.9167, 0.7500, 1.0000, 0.8333, 0.7500,
        0.8333, 0.9167, 0.7500, 0.9167, 0.5833, 0.6667, 0.7500, 0.7500, 0.8333,
        0.7500, 0.5833])","tensor([0.4615, 0.4539, 0.4619, 0.4657, 0.4662, 0.4719, 0.4955, 0.5196, 0.5456,
        0.5305, 0.6080, 0.6936, 0.7031, 0.6662, 0.7816, 0.7641, 0.7423, 0.8047,
        0.8009, 0.7508, 0.8104, 0.7943, 0.7891, 0.7811, 0.7967, 0.8095, 0.8080,
        0.7556, 0.7981, 0.8113, 0.7749, 0.7849, 0.7579, 0.7423, 0.7674, 0.7598,
        0.8118, 0.7612, 0.7868, 0.7787, 0.7735, 0.8184, 0.7499, 0.8005, 0.7915,
        0.7518, 0.8000, 0.8047, 0.7915, 0.8113, 0.8038, 0.7882, 0.8132, 0.7593,
        0.7844, 0.7877])",0.7351189851760864,0.7231678366661072,0.7351189851760864,0.7351189851760864,0,0,0.7829787234042553,11.382123231887817
