round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6916030049324036,0.5046296119689941,0.46335697174072266,0.48666664958000183,0.48666664958000183,0.5454545021057129,0.46335697174072266,0.46335697399527187,12.382844686508179
1,93,73,67,6,23,50,0.690391480922699,0.5125570893287659,0.4633569121360779,0.5066666007041931,0.5066666007041931,0.5253623127937317,0.46335697174072266,0.46335697399527187,14.35864520072937
2,90,28,26,2,4,24,0.6912233233451843,0.4642857015132904,0.46335697174072266,0.4548611342906952,0.4548611342906952,0.5208333730697632,0.46335697174072266,0.46335697399527187,10.473609209060669
3,84,24,19,5,10,14,0.6970927119255066,0.4270833730697632,0.46335697174072266,0.386904776096344,0.386904776096344,0.48333340883255005,0.46335697174072266,0.46335697399527187,10.604239702224731
4,71,48,42,6,12,36,0.6889324188232422,0.5017361044883728,0.46335697174072266,0.4768518805503845,0.4768518805503845,0.5763888955116272,0.46335697174072266,0.46335697399527187,13.383472442626953
5,73,43,30,13,15,28,0.6910219788551331,0.49806204438209534,0.46335700154304504,0.4702381193637848,0.4702381193637848,0.550000011920929,0.46335697174072266,0.46335697399527187,10.817538976669312
6,66,16,8,8,3,13,0.6890602111816406,0.4739583432674408,0.46335697174072266,0.46153849363327026,0.46153849363327026,0.5277777910232544,0.46335697174072266,0.46335697399527187,6.672436237335205
7,64,16,6,10,4,12,0.6875796914100647,0.5208333134651184,0.46335697174072266,0.5069444179534912,0.5069444179534912,0.5625,0.46335697174072266,0.46335697399527187,2.5074920654296875
8,62,11,0,11,5,6,0.6942081451416016,0.46969690918922424,0.46335697174072266,0.4583333730697632,0.4583333730697632,0.4833333492279053,0.46335697174072266,0.46335697399527187,0.0013318061828613281
9,68,45,33,12,12,33,0.6904816627502441,0.4740740954875946,0.46335694193840027,0.469696968793869,0.469696968793869,0.4861111342906952,0.46335697174072266,0.46335697399527187,11.679097890853882
10,54,51,29,22,14,37,0.6865624785423279,0.5147058963775635,0.46335700154304504,0.4954954981803894,0.4954954981803894,0.5654762387275696,0.46335697174072266,0.46335697399527187,12.04647946357727
11,60,20,4,16,4,16,0.6855522990226746,0.5166666507720947,0.46335697174072266,0.515625,0.515625,0.5208333134651184,0.46335697174072266,0.46335697399527187,1.8589353561401367
12,55,27,0,27,9,18,0.6899445056915283,0.5339506268501282,0.46335697174072266,0.5277777910232544,0.5277777910232544,0.5462963581085205,0.46335697174072266,0.46335697399527187,0.00595402717590332
13,47,20,0,20,7,13,0.6875421404838562,0.5208333730697632,0.46335697174072266,0.47435900568962097,0.47435900568962097,0.6071428656578064,0.46335697174072266,0.46335697399527187,0.001811981201171875
14,47,20,0,20,10,10,0.6981626749038696,0.44999995827674866,0.46335697174072266,0.4166666567325592,0.4166666567325592,0.4833332896232605,0.46335697174072266,0.46335697399527187,0.0025386810302734375
15,40,23,0,23,8,15,0.6901967525482178,0.510869562625885,0.46335697174072266,0.46666669845581055,0.46666669845581055,0.5937499403953552,0.46335697174072266,0.46335697399527187,0.004575490951538086
16,42,27,0,27,9,18,0.6865192651748657,0.5493826866149902,0.46335697174072266,0.5370370745658875,0.5370370745658875,0.5740740895271301,0.46335697174072266,0.46335697399527187,0.009213685989379883
17,49,37,15,22,13,24,0.6878600120544434,0.495495468378067,0.46335694193840027,0.4722222089767456,0.4722222089767456,0.5384615063667297,0.46335697174072266,0.46335697399527187,8.935023546218872
18,39,31,0,31,11,20,0.6891778111457825,0.4973118007183075,0.46335697174072266,0.47083330154418945,0.47083330154418945,0.5454545617103577,0.46335697174072266,0.46335697399527187,0.008231639862060547
19,42,27,0,27,6,21,0.6859421133995056,0.49074074625968933,0.46335697174072266,0.5,0.5,0.4583333432674408,0.46335697174072266,0.46335697399527187,0.009021997451782227
20,38,36,0,36,7,29,0.6866493225097656,0.49074071645736694,0.46335697174072266,0.4396551847457886,0.4396551847457886,0.7023809552192688,0.46335697174072266,0.46335697399527187,0.0030303001403808594
21,45,27,0,27,7,20,0.688806414604187,0.45987650752067566,0.46335697174072266,0.4541666507720947,0.4541666507720947,0.4761904776096344,0.46335697174072266,0.46335697399527187,0.004525899887084961
22,37,34,0,34,11,23,0.6899704933166504,0.4828431308269501,0.46335697174072266,0.44927531480789185,0.44927531480789185,0.553030252456665,0.46335697174072266,0.46335697399527187,0.006365060806274414
23,37,25,0,25,7,18,0.685665488243103,0.5066666603088379,0.46335697174072266,0.48148149251937866,0.48148149251937866,0.571428656578064,0.46335697174072266,0.46335697399527187,0.0026345252990722656
24,43,60,18,42,16,44,0.68608158826828,0.491666704416275,0.46335703134536743,0.4772726893424988,0.4772726893424988,0.53125,0.46335697174072266,0.46335697399527187,9.730993509292603
25,35,47,0,47,19,28,0.6899304389953613,0.5106382966041565,0.4633569121360779,0.4851190745830536,0.4851190745830536,0.5482456088066101,0.46335697174072266,0.46335697399527187,0.005965471267700195
26,48,53,10,43,15,38,0.6887849569320679,0.4669811427593231,0.46335700154304504,0.46271926164627075,0.46271926164627075,0.4777778089046478,0.46335697174072266,0.46335697399527187,6.674955129623413
27,41,45,5,40,13,32,0.6876752972602844,0.4981481432914734,0.46335694193840027,0.46875,0.46875,0.5705127716064453,0.46335697174072266,0.46335697399527187,0.8899576663970947
28,42,47,3,44,11,36,0.68377286195755,0.5053191781044006,0.4633569121360779,0.48379626870155334,0.48379626870155334,0.5757575035095215,0.46335697174072266,0.46335697399527187,2.4307425022125244
29,46,48,4,44,12,36,0.6857048869132996,0.479166716337204,0.46335697174072266,0.4583333432674408,0.4583333432674408,0.5416666865348816,0.46335697174072266,0.46335697399527187,0.7128951549530029
30,31,40,0,40,12,28,0.6836103200912476,0.5375000238418579,0.46335697174072266,0.5059524178504944,0.5059524178504944,0.6111111044883728,0.46335697174072266,0.46335697399527187,0.007476329803466797
31,42,57,19,38,17,40,0.6865649819374084,0.48976606130599976,0.46342334151268005,0.4687500596046448,0.4687500596046448,0.5392156839370728,0.46335697174072266,0.46335697399527187,10.87990427017212
32,37,43,0,43,13,30,0.6871577501296997,0.4922480881214142,0.4633789360523224,0.4722222089767456,0.4722222089767456,0.5384615659713745,0.46335697174072266,0.46335697399527187,0.009139299392700195
33,39,48,0,48,17,31,0.6901063919067383,0.4947916567325592,0.4633964002132416,0.44623661041259766,0.44623661041259766,0.5833333730697632,0.46335697174072266,0.46335697399527187,0.010655879974365234
34,49,57,24,33,19,38,0.685232400894165,0.5204678773880005,0.4634813666343689,0.48464909195899963,0.48464909195899963,0.5921052098274231,0.46335697174072266,0.46382978723404256,10.321099758148193
35,38,41,0,41,12,29,0.6895327568054199,0.44308942556381226,0.46339157223701477,0.4166666865348816,0.4166666865348816,0.506944477558136,0.46335697174072266,0.46382978723404256,0.010723352432250977
36,45,52,0,52,20,32,0.6873537302017212,0.4999999701976776,0.463429719209671,0.4765625,0.4765625,0.5375000238418579,0.46335697174072266,0.46382978723404256,0.013583660125732422
37,40,46,0,46,11,35,0.6811639070510864,0.5072463750839233,0.4634391963481903,0.4928571283817291,0.4928571283817291,0.5530303120613098,0.46335697174072266,0.46382978723404256,0.007023334503173828
38,43,36,0,36,9,27,0.6838803291320801,0.4861111044883728,0.4634488821029663,0.4722222089767456,0.4722222089767456,0.5277777910232544,0.46335697174072266,0.46382978723404256,0.020910024642944336
39,39,54,13,41,18,36,0.6860983967781067,0.49537035822868347,0.46352332830429077,0.4722222089767456,0.4722222089767456,0.5416666865348816,0.46335697174072266,0.46382978723404256,7.848536014556885
40,42,28,0,28,11,17,0.6923980116844177,0.4880952537059784,0.463441401720047,0.4215686321258545,0.4215686321258545,0.5909090638160706,0.46335697174072266,0.46382978723404256,0.005814790725708008
41,46,41,5,36,13,28,0.6873704195022583,0.4796748161315918,0.46352994441986084,0.47023805975914,0.47023805975914,0.4999999701976776,0.46335697174072266,0.46382978723404256,2.080049514770508
42,48,33,0,33,11,22,0.6873257756233215,0.46969693899154663,0.4635145962238312,0.48106062412261963,0.48106062412261963,0.4469696879386902,0.4633999764919281,0.46382978723404256,0.003686666488647461
43,41,46,1,45,15,31,0.6846547722816467,0.5036231875419617,0.4635316729545593,0.5080645084381104,0.5080645084381104,0.49444448947906494,0.46335697174072266,0.46335697399527187,0.2149813175201416
44,47,52,11,41,19,33,0.6860549449920654,0.4919871687889099,0.46362975239753723,0.47727271914482117,0.47727271914482117,0.5175439119338989,0.4633818566799164,0.46382978723404256,8.422900676727295
45,46,66,4,62,18,48,0.6824129223823547,0.4936869144439697,0.4637724757194519,0.4670138359069824,0.4670138359069824,0.5648148059844971,0.4633832573890686,0.46335697399527187,0.9161074161529541
