round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6662628650665283,0.6194444298744202,0.5071805119514465,0.6194444298744202,0.6194444298744202,0,0,0.5,0.04764246940612793
1,96,74,68,6,0,74,0.6402975916862488,0.6756757497787476,0.5189661979675293,0.6756757497787476,0.6756757497787476,0,0,0.5095,0.06942629814147949
2,96,59,56,3,0,59,0.6108950972557068,0.6983050107955933,0.5227881073951721,0.6983050107955933,0.6983050107955933,0,0,0.5095,0.0683894157409668
3,90,50,47,3,0,50,0.5739372372627258,0.6540000438690186,0.5343599915504456,0.6540000438690186,0.6540000438690186,0,0,0.516,0.06256532669067383
4,80,40,34,6,0,40,0.558137059211731,0.6324999928474426,0.534137487411499,0.6324999928474426,0.6324999928474426,0,0,0.513,0.0497286319732666
5,84,66,57,9,0,66,0.5361069440841675,0.6378787755966187,0.5421969890594482,0.6378787755966187,0.6378787755966187,0,0,0.5065,0.1927180290222168
6,83,37,30,7,0,37,0.5460201501846313,0.6783784627914429,0.5381757020950317,0.6783784627914429,0.6783784627914429,0,0,0.5015,0.04401755332946777
7,73,44,37,7,0,44,0.5276271104812622,0.6613636612892151,0.5657272338867188,0.6613636612892151,0.6613636612892151,0,0,0.52,0.048990488052368164
8,61,21,8,13,0,21,0.560911238193512,0.6904761791229248,0.5697142481803894,0.6904761791229248,0.6904761791229248,0,0,0.519,0.029480695724487305
9,60,6,0,6,0,6,0.5422694683074951,0.5833333730697632,0.5060833096504211,0.5833333730697632,0.5833333730697632,0,0,0.519,0.0016031265258789062
10,61,15,4,11,0,15,0.5586341023445129,0.6466666460037231,0.5218999981880188,0.6466666460037231,0.6466666460037231,0,0,0.5,0.02098989486694336
11,55,48,34,14,0,48,0.5355715155601501,0.7041666507720947,0.6099687218666077,0.7041666507720947,0.7041666507720947,0,0,0.595,0.04727005958557129
12,55,19,0,19,0,19,0.5595622062683105,0.7052631378173828,0.5533420443534851,0.7052631378173828,0.7052631378173828,0,0,0.595,0.003217935562133789
13,61,20,0,20,0,20,0.5416747331619263,0.7199999690055847,0.5550249814987183,0.7199999690055847,0.7199999690055847,0,0,0.595,0.001352071762084961
14,44,25,0,25,0,25,0.5300710797309875,0.6000000238418579,0.5463799834251404,0.6000000238418579,0.6000000238418579,0,0,0.595,0.0016713142395019531
15,47,27,0,27,0,27,0.5254049897193909,0.6629629731178284,0.5506110787391663,0.6629629731178284,0.6629629731178284,0,0,0.595,0.0013458728790283203
16,43,38,11,27,0,38,0.5159668326377869,0.642105221748352,0.5656447410583496,0.642105221748352,0.642105221748352,0,0,0.526,0.034065961837768555
17,47,37,20,17,0,37,0.48921915888786316,0.7135134935379028,0.6210405230522156,0.7135134935379028,0.7135134935379028,0,0,0.71,0.0382537841796875
18,45,44,16,28,0,44,0.5258790850639343,0.6499999761581421,0.5569658875465393,0.6499999761581421,0.6499999761581421,0,0,0.543,0.03541278839111328
19,50,52,24,28,0,52,0.5182037949562073,0.6730769276618958,0.6126057505607605,0.6730769276618958,0.6730769276618958,0,0,0.6615,0.04187440872192383
20,44,37,1,36,0,37,0.5371733903884888,0.6189188957214355,0.5395810604095459,0.6189188957214355,0.6189188957214355,0,0,0.5955,0.03113555908203125
21,44,24,0,24,0,24,0.5196941494941711,0.6666666865348816,0.5604791641235352,0.6666666865348816,0.6666666865348816,0,0,0.5955,0.0037708282470703125
22,44,45,17,28,0,45,0.530380129814148,0.6844444274902344,0.6265000104904175,0.6844444274902344,0.6844444274902344,0,0,0.749,0.0341949462890625
23,31,36,0,36,0,36,0.5152377486228943,0.6666666865348816,0.5703750252723694,0.6666666865348816,0.6666666865348816,0,0,0.749,0.0035467147827148438
24,40,38,0,38,0,38,0.5380005836486816,0.6605263352394104,0.5681841969490051,0.6605263352394104,0.6605263352394104,0,0,0.749,0.0024819374084472656
25,48,50,9,41,0,50,0.5162740349769592,0.6540000438690186,0.5912799835205078,0.6540000438690186,0.6540000438690186,0,0,0.65,0.028802156448364258
26,41,55,15,40,0,55,0.5190789103507996,0.7181817293167114,0.6314999461174011,0.7181817293167114,0.7181817293167114,0,0,0.748,0.03762364387512207
27,40,35,0,35,0,35,0.5271902084350586,0.7057142853736877,0.5912286043167114,0.7057142853736877,0.7057142853736877,0,0,0.748,0.0029778480529785156
28,44,47,6,41,0,47,0.49549606442451477,0.7212766408920288,0.5863296985626221,0.7212766408920288,0.7212766408920288,0,0,0.7305,0.03139376640319824
29,37,48,11,37,0,48,0.49566182494163513,0.7354167103767395,0.641364574432373,0.7354167103767395,0.7354167103767395,0,0,0.813,0.031078577041625977
30,38,37,0,37,0,37,0.5026091933250427,0.6918919086456299,0.6270405054092407,0.6918919086456299,0.6918919086456299,0,0,0.813,0.007379770278930664
31,46,70,20,50,0,70,0.5052339434623718,0.7328571081161499,0.6286643147468567,0.7328571081161499,0.7328571081161499,0,0,0.8065,0.03825712203979492
32,50,58,24,34,0,58,0.4793751835823059,0.8120689988136292,0.6693361401557922,0.8120689988136292,0.8120689988136292,0,0,0.804,0.041649580001831055
33,50,62,25,37,0,62,0.4648224413394928,0.8177419304847717,0.6855807304382324,0.8177419304847717,0.8177419304847717,0,0,0.8145,0.042180776596069336
34,52,32,0,32,0,32,0.4971974194049835,0.7031249403953552,0.6227499842643738,0.7031249403953552,0.7031249403953552,0,0,0.8145,0.0017895698547363281
35,44,47,7,40,0,47,0.46965959668159485,0.7808510661125183,0.6747340559959412,0.7808510661125183,0.7808510661125183,0,0,0.844,0.03127861022949219
