round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6950158476829529,0.5722221732139587,0.4945972263813019,0.5720000267028809,0.5720000267028809,0.5727273225784302,0.480318158864975,0.5,0.048177242279052734
1,96,74,68,6,20,54,0.6892873048782349,0.591891884803772,0.4981553852558136,0.6037037372589111,0.6037037372589111,0.5600000619888306,0.4896000325679779,0.5,0.10774970054626465
2,96,59,56,3,20,39,0.6886967420578003,0.6254236698150635,0.49730512499809265,0.6435897946357727,0.6435897946357727,0.5900000333786011,0.4901750087738037,0.5,0.08176136016845703
3,90,50,47,3,14,36,0.6915076375007629,0.6580000519752502,0.504360020160675,0.6444444060325623,0.6444444060325623,0.6928571462631226,0.4864642918109894,0.5,0.06527113914489746
4,80,40,34,6,9,31,0.6841184496879578,0.6175000071525574,0.5156375169754028,0.64838707447052,0.64838707447052,0.5111111402511597,0.5001111030578613,0.5,0.05136370658874512
5,84,66,57,9,23,43,0.6873871684074402,0.6393939256668091,0.5089015364646912,0.669767439365387,0.669767439365387,0.582608699798584,0.5003695487976074,0.5,0.08542418479919434
6,83,37,30,7,12,25,0.6897525191307068,0.6675676107406616,0.5115134716033936,0.7039999961853027,0.7039999961853027,0.5916666984558105,0.5116249918937683,0.5,0.06516623497009277
7,73,44,37,7,15,29,0.6839922070503235,0.6181818246841431,0.5157727599143982,0.6689655184745789,0.6689655184745789,0.5200000405311584,0.5038999915122986,0.5,0.07272672653198242
8,61,21,8,13,4,17,0.67616206407547,0.6952381730079651,0.5084523558616638,0.6941176056861877,0.6941176056861877,0.699999988079071,0.49412500858306885,0.518,0.040276527404785156
9,60,6,0,6,1,5,0.6864984631538391,0.6166666746139526,0.4971666634082794,0.5800000429153442,0.5800000429153442,0.800000011920929,0.4830000102519989,0.5,0.034534454345703125
10,61,15,4,11,4,11,0.6875448226928711,0.6200000047683716,0.49539998173713684,0.6272727847099304,0.6272727847099304,0.6000000238418579,0.5,0.5,0.04848670959472656
11,55,48,34,14,17,31,0.6863047480583191,0.6416666507720947,0.5103958249092102,0.670967698097229,0.670967698097229,0.5882353186607361,0.4994705319404602,0.5,0.07303118705749512
12,55,19,0,19,7,12,0.6889063715934753,0.6947368383407593,0.5123157501220703,0.7249999642372131,0.7249999642372131,0.6428571343421936,0.5125714540481567,0.6425,0.04321694374084473
13,61,20,0,20,5,15,0.6836210489273071,0.6349999904632568,0.5059249997138977,0.6599999666213989,0.6599999666213989,0.5600000619888306,0.5022000074386597,0.6525,0.06919693946838379
14,44,25,0,25,6,19,0.6775496006011963,0.6639999151229858,0.5446600317955017,0.694736897945404,0.694736897945404,0.5666666626930237,0.5117499828338623,0.5085,0.05116915702819824
15,47,27,0,27,11,16,0.6918883323669434,0.6333332657814026,0.5049073696136475,0.65625,0.65625,0.5999999642372131,0.48099997639656067,0.5,0.05419516563415527
16,43,38,11,27,11,27,0.6887523531913757,0.634210467338562,0.5179605484008789,0.6518518924713135,0.6518518924713135,0.5909090638160706,0.5114090442657471,0.5,0.07446694374084473
17,47,37,20,17,11,26,0.6793977618217468,0.6675675511360168,0.5435405373573303,0.6999999284744263,0.6999999284744263,0.5909090638160706,0.5122727751731873,0.5035,0.07457637786865234
18,45,44,16,28,10,34,0.6809043288230896,0.6499999761581421,0.5103864073753357,0.6529411673545837,0.6529411673545837,0.6399999856948853,0.5056999921798706,0.4995,0.05790901184082031
19,50,52,24,28,17,35,0.6792761087417603,0.6576922535896301,0.5426539182662964,0.6714286208152771,0.6714286208152771,0.6294117569923401,0.5125588178634644,0.5285,0.07752847671508789
20,44,37,1,36,12,25,0.6924744248390198,0.6189189553260803,0.5162702798843384,0.6480000019073486,0.6480000019073486,0.5583332777023315,0.5010833740234375,0.503,0.05741000175476074
