round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6914604902267456,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,0.6564364433288574
1,100,100,100,0,0,100,0.6882896423339844,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,0.8449525833129883
2,100,100,100,0,0,100,0.6869144439697266,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,0.3148219585418701
3,100,100,100,0,0,100,0.6878494024276733,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,0.259613037109375
4,100,100,100,0,0,100,0.6847965121269226,0.4741666913032532,0.46335697174072266,0.4741666913032532,0.4741666913032532,0,0,0.46335697399527187,0.3243546485900879
5,100,100,100,0,0,100,0.682912290096283,0.4791666865348816,0.46335697174072266,0.4791666865348816,0.4791666865348816,0,0,0.46335697399527187,0.3878319263458252
6,100,100,100,0,0,100,0.6818382143974304,0.4724999964237213,0.46335697174072266,0.4724999964237213,0.4724999964237213,0,0,0.46335697399527187,0.15449285507202148
7,100,100,100,0,0,100,0.6803523898124695,0.46916666626930237,0.46335697174072266,0.46916666626930237,0.46916666626930237,0,0,0.46335697399527187,0.8892111778259277
8,100,100,100,0,0,100,0.6777411699295044,0.48249998688697815,0.46335697174072266,0.48249998688697815,0.48249998688697815,0,0,0.46335697399527187,0.449937105178833
9,100,100,100,0,0,100,0.6765627264976501,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,0.30549025535583496
10,100,100,100,0,0,100,0.6738995909690857,0.4858333170413971,0.46335697174072266,0.4858333170413971,0.4858333170413971,0,0,0.46335697399527187,0.2450113296508789
11,100,100,100,0,0,100,0.6740171909332275,0.4675000011920929,0.46335697174072266,0.4675000011920929,0.4675000011920929,0,0,0.46335697399527187,0.13397479057312012
12,100,100,100,0,0,100,0.6725311279296875,0.46583330631256104,0.46335697174072266,0.46583330631256104,0.46583330631256104,0,0,0.46335697399527187,0.38127779960632324
13,100,100,100,0,0,100,0.6723769307136536,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,0.6191086769104004
14,100,100,100,0,0,100,0.6709831953048706,0.44333332777023315,0.4637351930141449,0.44333332777023315,0.44333332777023315,0,0,0.46382978723404256,0.27644896507263184
15,100,100,100,0,0,100,0.6680090427398682,0.45249998569488525,0.4643877446651459,0.45249998569488525,0.45249998569488525,0,0,0.46382978723404256,0.4877922534942627
16,100,100,100,0,0,100,0.6651080846786499,0.46166664361953735,0.46645867824554443,0.46166664361953735,0.46166664361953735,0,0,0.466193853427896,0.6137170791625977
