round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6899540424346924,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,0.19268012046813965
1,93,71,65,6,0,71,0.6858572959899902,0.48591548204421997,0.46335697174072266,0.48591548204421997,0.48591548204421997,0,0,0.46335697399527187,0.0826566219329834
2,93,56,53,3,0,56,0.6843473315238953,0.4732142984867096,0.46335703134536743,0.4732142984867096,0.4732142984867096,0,0,0.46335697399527187,0.0696268081665039
3,97,57,54,3,0,57,0.6820096373558044,0.46929824352264404,0.46335703134536743,0.46929824352264404,0.46929824352264404,0,0,0.46335697399527187,0.16781067848205566
4,84,52,46,6,0,52,0.6814337372779846,0.4503205120563507,0.46335697174072266,0.4503205120563507,0.4503205120563507,0,0,0.46335697399527187,0.06545805931091309
5,81,25,15,10,0,25,0.6785011291503906,0.49000003933906555,0.46335697174072266,0.49000003933906555,0.49000003933906555,0,0,0.46335697399527187,0.04257845878601074
6,74,52,44,8,0,52,0.6792227029800415,0.45673078298568726,0.46335697174072266,0.45673078298568726,0.45673078298568726,0,0,0.46335697399527187,0.06536674499511719
7,73,64,52,12,0,64,0.6765371561050415,0.4661458134651184,0.46335697174072266,0.4661458134651184,0.4661458134651184,0,0,0.46335697399527187,0.1673412322998047
8,70,46,34,12,0,46,0.6760786175727844,0.4637681245803833,0.46335694193840027,0.4637681245803833,0.4637681245803833,0,0,0.46335697399527187,0.06090521812438965
9,67,21,15,6,0,21,0.6734279990196228,0.5000000596046448,0.46335697174072266,0.5000000596046448,0.5000000596046448,0,0,0.46335697399527187,0.038934946060180664
10,64,29,13,16,0,29,0.6810867786407471,0.43103447556495667,0.46335697174072266,0.43103447556495667,0.43103447556495667,0,0,0.46335697399527187,0.04635810852050781
11,57,11,0,11,0,11,0.6805059313774109,0.42424246668815613,0.46335697174072266,0.42424246668815613,0.42424246668815613,0,0,0.46335697399527187,0.029936790466308594
12,54,47,31,16,0,47,0.6762195229530334,0.46099284291267395,0.4633569121360779,0.46099284291267395,0.46099284291267395,0,0,0.46335697399527187,0.05965304374694824
13,56,41,22,19,0,41,0.6766788363456726,0.45121949911117554,0.46335694193840027,0.45121949911117554,0.45121949911117554,0,0,0.46335697399527187,0.1524808406829834
14,54,22,0,22,0,22,0.6785842180252075,0.4772726893424988,0.46335697174072266,0.4772726893424988,0.4772726893424988,0,0,0.46335697399527187,0.03951859474182129
15,48,48,23,25,0,48,0.6764528155326843,0.4739583432674408,0.46335697174072266,0.4739583432674408,0.4739583432674408,0,0,0.46335697399527187,0.06136369705200195
16,44,25,3,22,0,25,0.6782379150390625,0.46666663885116577,0.46335697174072266,0.46666663885116577,0.46666663885116577,0,0,0.46335697399527187,0.04200100898742676
17,42,29,15,14,0,29,0.6796111464500427,0.4252873361110687,0.46335697174072266,0.4252873361110687,0.4252873361110687,0,0,0.46335697399527187,0.04448390007019043
18,46,25,7,18,0,25,0.6764553189277649,0.4766666293144226,0.46335697174072266,0.4766666293144226,0.4766666293144226,0,0,0.46335697399527187,0.041907310485839844
19,58,61,32,29,0,61,0.6743237972259521,0.4890710413455963,0.46335703134536743,0.4890710413455963,0.4890710413455963,0,0,0.46335697399527187,0.07330846786499023
20,46,43,16,27,0,43,0.6765177845954895,0.47480618953704834,0.46335700154304504,0.47480618953704834,0.47480618953704834,0,0,0.46335697399527187,0.05691790580749512
21,39,22,0,22,0,22,0.6745386123657227,0.5189394354820251,0.46335697174072266,0.5189394354820251,0.5189394354820251,0,0,0.46335697399527187,0.03977775573730469
22,47,29,0,29,0,29,0.6768524646759033,0.4712643325328827,0.46335697174072266,0.4712643325328827,0.4712643325328827,0,0,0.46335697399527187,0.137192964553833
23,42,33,0,33,0,33,0.6747111678123474,0.47979792952537537,0.46335697174072266,0.47979792952537537,0.47979792952537537,0,0,0.46335697399527187,0.048951148986816406
24,43,45,2,43,0,45,0.6768748164176941,0.47962963581085205,0.46335694193840027,0.47962963581085205,0.47962963581085205,0,0,0.46335697399527187,0.058527469635009766
25,39,36,0,36,0,36,0.6785075664520264,0.4583333432674408,0.46335697174072266,0.4583333432674408,0.4583333432674408,0,0,0.46335697399527187,0.05054044723510742
26,45,36,0,36,0,36,0.6819442510604858,0.4166666865348816,0.46335697174072266,0.4166666865348816,0.4166666865348816,0,0,0.46335697399527187,0.05118560791015625
27,45,36,0,36,0,36,0.6743009090423584,0.49768516421318054,0.46335697174072266,0.49768516421318054,0.49768516421318054,0,0,0.46335697399527187,0.05025935173034668
28,41,49,15,34,0,49,0.6728750467300415,0.488095223903656,0.46335694193840027,0.488095223903656,0.488095223903656,0,0,0.46335697399527187,0.06194901466369629
29,45,54,13,41,0,54,0.6751874089241028,0.458333283662796,0.46336573362350464,0.458333283662796,0.458333283662796,0,0,0.46335697399527187,0.1642441749572754
30,38,47,12,35,0,47,0.6723304986953735,0.5,0.4633569121360779,0.5,0.5,0,0,0.46335697399527187,0.06083083152770996
31,35,50,0,50,0,50,0.6749259233474731,0.46666666865348816,0.46336641907691956,0.46666666865348816,0.46666666865348816,0,0,0.46335697399527187,0.06335687637329102
