round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,6,"[1.382181167602539, 1.3679786026477814, 1.390023112297058, 1.3794043958187103, 1.3857151865959167, 1.369062215089798]",4,"[0.47619047619047616, 0.49206349206349204, 0.3412698412698413, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.44047619047619047,0.4633569739952719,0.46335697399527187,0.01888108253479004
1,10,10,"[1.373248040676117, 1.3525517582893372, 1.3574910461902618, 1.374178409576416, 1.3698307275772095, 1.3609528541564941, 1.3693144917488098, 1.3689054548740387, 1.371627688407898, 1.368570625782013]",4,"[0.5079365079365079, 0.46825396825396826, 0.4603174603174603, 0.4444444444444444, 0.42063492063492064, 0.4523809523809524, 0.46825396825396826, 0.4365079365079365, 0.3968253968253968, 0.4126984126984127]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.4468253968253969,0.463356973995272,0.46335697399527187,0.016054153442382812
2,9,5,"[1.3430332839488983, 1.337693601846695, 1.335763692855835, 1.355631172657013, 1.3449386060237885]",8,"[0.48412698412698413, 0.5079365079365079, 0.5, 0.42063492063492064, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187]",0.48888888888888893,0.4634515366430261,0.46335697399527187,0.009997129440307617
3,9,7,"[1.3491888642311096, 1.3299707174301147, 1.324802726507187, 1.3165479600429535, 1.3245756924152374, 1.3374843299388885, 1.3297594785690308]",10,"[0.47619047619047616, 0.46825396825396826, 0.5, 0.46825396825396826, 0.5158730158730159, 0.47619047619047616, 0.5]","[0.46382978723404256, 0.475177304964539, 0.47423167848699765, 0.4728132387706856, 0.47044917257683216, 0.49030732860520093, 0.4756501182033097]",0.48639455782312924,0.47463694697737246,0.4723404255319149,0.010785102844238281
4,9,8,"[1.3823038339614868, 1.3798331320285797, 1.3254448175430298, 1.3268558382987976, 1.3302061855793, 1.3039213120937347, 1.3230084776878357, 1.30931556224823]",11,"[0.4603174603174603, 0.4444444444444444, 0.47619047619047616, 0.5793650793650794, 0.6031746031746031, 0.5555555555555556, 0.6031746031746031, 0.5793650793650794]","[0.46335697399527187, 0.46335697399527187, 0.4813238770685579, 0.5976359338061465, 0.6033096926713948, 0.5470449172576832, 0.5990543735224586, 0.5602836879432624]",0.5376984126984128,0.5394208037825059,0.5635933806146572,0.011114835739135742
5,9,10,"[1.3178900182247162, 1.3215110003948212, 1.308166265487671, 1.2859389185905457, 1.2896543741226196, 1.3089578747749329, 1.299204260110855, 1.2964697480201721, 1.3139411807060242, 1.2839994132518768]",10,"[0.5079365079365079, 0.5476190476190477, 0.5634920634920635, 0.6666666666666666, 0.6746031746031746, 0.6587301587301587, 0.6825396825396826, 0.7380952380952381, 0.6746031746031746, 0.6666666666666666]","[0.4756501182033097, 0.5678486997635934, 0.5626477541371159, 0.6874704491725768, 0.6869976359338061, 0.7144208037825059, 0.6936170212765957, 0.6973995271867612, 0.7115839243498818, 0.676595744680851]",0.6380952380952382,0.6474231678486997,0.6534278959810875,0.012122154235839844
6,8,8,"[1.3544380068778992, 1.3502300381660461, 1.3467711508274078, 1.287671059370041, 1.2819995284080505, 1.2969582378864288, 1.292013704776764, 1.275601714849472]",10,"[0.6111111111111112, 0.46825396825396826, 0.49206349206349204, 0.746031746031746, 0.7857142857142857, 0.7301587301587301, 0.8015873015873016, 0.7777777777777778]","[0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.7777777777777778, 0.7659574468085106, 0.7886524822695036, 0.7730496453900709, 0.7489361702127659]",0.6765873015873016,0.6556146572104018,0.733806146572104,0.01081991195678711
7,10,9,"[1.3277711868286133, 1.2796986997127533, 1.2692592144012451, 1.2651060819625854, 1.2588268220424652, 1.2675736248493195, 1.2833839356899261, 1.2661154568195343, 1.2794156074523926]",11,"[0.6031746031746031, 0.7142857142857143, 0.7777777777777778, 0.8412698412698413, 0.8333333333333334, 0.8650793650793651, 0.8412698412698413, 0.8015873015873016, 0.8571428571428571]","[0.5919621749408983, 0.675177304964539, 0.7508274231678487, 0.810401891252955, 0.806146572104019, 0.8208037825059101, 0.8288416075650118, 0.807565011820331, 0.8293144208037825]",0.7927689594356261,0.7690044654583661,0.789598108747045,0.01174783706665039
8,10,9,"[1.3536550998687744, 1.3685272336006165, 1.2467767000198364, 1.252489686012268, 1.266746461391449, 1.2513695359230042, 1.2738285958766937, 1.277550220489502, 1.2618456780910492]",12,"[0.48412698412698413, 0.36507936507936506, 0.8492063492063492, 0.8571428571428571, 0.8968253968253969, 0.8888888888888888, 0.8492063492063492, 0.8492063492063492, 0.8253968253968254]","[0.46335697399527187, 0.46382978723404256, 0.8505910165484634, 0.8609929078014185, 0.873758865248227, 0.8591016548463357, 0.8761229314420804, 0.875177304964539, 0.8680851063829788]",0.7627865961199293,0.7767796164959285,0.851063829787234,0.011188030242919922
9,8,11,"[1.3310721516609192, 1.248472899198532, 1.26598459482193, 1.2368983626365662, 1.245532214641571, 1.260567456483841, 1.2480576932430267, 1.2335492074489594, 1.2321021854877472, 1.229050487279892, 1.2357042133808136]",9,"[0.5952380952380952, 0.8333333333333334, 0.8888888888888888, 0.8968253968253969, 0.9126984126984127, 0.8809523809523809, 0.9206349206349206, 0.9047619047619048, 0.9047619047619048, 0.9285714285714286, 0.9761904761904762]","[0.5966903073286052, 0.8605200945626478, 0.8718676122931442, 0.9049645390070922, 0.9016548463356974, 0.9068557919621749, 0.9092198581560283, 0.9059101654846335, 0.9040189125295508, 0.9049645390070922, 0.9030732860520094]",0.8766233766233767,0.8699763593380616,0.893144208037825,0.012472152709960938
10,9,8,"[1.2882461249828339, 1.222060889005661, 1.2725159227848053, 1.2232978641986847, 1.2497029602527618, 1.242624968290329, 1.2439193427562714, 1.236811250448227]",10,"[0.7619047619047619, 0.8968253968253969, 0.9206349206349206, 0.9126984126984127, 0.9444444444444444, 0.9523809523809523, 0.9047619047619048, 0.9285714285714286]","[0.7702127659574468, 0.9295508274231679, 0.9380614657210402, 0.9295508274231679, 0.9366430260047282, 0.9352245862884161, 0.9352245862884161, 0.9352245862884161]",0.9027777777777778,0.9137115839243498,0.9290780141843972,0.010673999786376953
11,10,8,"[1.3419124782085419, 1.2715082168579102, 1.1960946023464203, 1.2129303812980652, 1.2196895778179169, 1.2054859697818756, 1.236743450164795, 1.221550613641739]",12,"[0.49206349206349204, 0.8412698412698413, 0.9523809523809523, 0.9444444444444444, 0.9523809523809523, 0.9365079365079365, 0.9523809523809523, 0.9444444444444444]","[0.5002364066193853, 0.8122931442080378, 0.9460992907801419, 0.9475177304964539, 0.9470449172576832, 0.9465721040189126, 0.9470449172576832, 0.9479905437352246]",0.8769841269841271,0.8743498817966903,0.9394799054373523,0.010724782943725586
12,7,8,"[1.2743659019470215, 1.269500970840454, 1.2758223414421082, 1.2924973964691162, 1.1933479607105255, 1.1765465140342712, 1.224065124988556, 1.2181549668312073]",11,"[0.753968253968254, 0.8174603174603174, 0.7777777777777778, 0.8174603174603174, 0.9444444444444444, 0.9841269841269841, 0.9682539682539683, 0.9682539682539683]","[0.7522458628841607, 0.8217494089834515, 0.8189125295508274, 0.8387706855791962, 0.9555555555555556, 0.9541371158392435, 0.9607565011820332, 0.9602836879432625]",0.8789682539682541,0.8828014184397163,0.9371158392434988,0.010823965072631836
