round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,"tensor([0.6915, 0.6907, 0.6900, 0.6906, 0.6919, 0.6913, 0.6925, 0.6903, 0.6906,
        0.6953, 0.6932, 0.6888, 0.6919, 0.6951, 0.6904, 0.6931, 0.6930, 0.6887,
        0.6919, 0.6917, 0.6961, 0.6927, 0.6932, 0.6880, 0.6939, 0.6959, 0.6935,
        0.6939, 0.6902, 0.6925, 0.6927, 0.6905, 0.6939, 0.6900, 0.6916, 0.6905,
        0.6913, 0.6873, 0.6931, 0.6902, 0.6927, 0.6945, 0.6873, 0.6899, 0.6936,
        0.6893, 0.6878, 0.6874, 0.6893, 0.6951, 0.6929, 0.6920, 0.6944, 0.6897,
        0.6906, 0.6883, 0.6910, 0.6941, 0.6904, 0.6897, 0.6896, 0.6890, 0.6898,
        0.6926, 0.6923, 0.6910, 0.6920, 0.6927, 0.6943, 0.6947, 0.6920, 0.6870,
        0.6885, 0.6892, 0.6924, 0.6916, 0.6909, 0.6903, 0.6896, 0.6901, 0.6946,
        0.6921, 0.6928, 0.6920, 0.6907, 0.6893, 0.6895, 0.6949, 0.6895, 0.6951,
        0.6921, 0.6933, 0.6930, 0.6915, 0.6917, 0.6926, 0.6898, 0.6874, 0.6920,
        0.6922])",0,"tensor([0.5833, 0.6667, 0.5000, 0.5000, 0.5833, 0.5000, 0.5000, 0.5833, 0.7500,
        0.3333, 0.5833, 0.5833, 0.5833, 0.3333, 0.5833, 0.6667, 0.5000, 0.6667,
        0.5000, 0.5000, 0.4167, 0.4167, 0.4167, 0.9167, 0.4167, 0.3333, 0.6667,
        0.4167, 0.6667, 0.5833, 0.4167, 0.5833, 0.4167, 0.5833, 0.5000, 0.6667,
        0.5833, 0.6667, 0.4167, 0.6667, 0.5000, 0.4167, 0.7500, 0.5833, 0.5833,
        0.5833, 0.5833, 0.8333, 0.5833, 0.3333, 0.4167, 0.5833, 0.3333, 0.6667,
        0.6667, 0.6667, 0.5833, 0.4167, 0.5000, 0.5833, 0.5833, 0.5833, 0.5833,
        0.4167, 0.5000, 0.5000, 0.5000, 0.4167, 0.4167, 0.3333, 0.5000, 0.7500,
        0.5833, 0.5833, 0.4167, 0.5000, 0.5000, 0.6667, 0.6667, 0.6667, 0.3333,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5833, 0.6667, 0.4167, 0.5833, 0.3333,
        0.5000, 0.3333, 0.5000, 0.5000, 0.5833, 0.5833, 0.6667, 0.7500, 0.5000,
        0.6667])","tensor([0.5191, 0.5158, 0.5087, 0.5026, 0.4898, 0.5017, 0.5163, 0.5277, 0.5168,
        0.5324, 0.5272, 0.4993, 0.5026, 0.5343, 0.4974, 0.5286, 0.5106, 0.4993,
        0.5017, 0.5163, 0.5310, 0.5102, 0.5277, 0.4813, 0.5229, 0.5310, 0.5414,
        0.5395, 0.5007, 0.5102, 0.5087, 0.4974, 0.5343, 0.4856, 0.4950, 0.4804,
        0.4941, 0.4780, 0.5201, 0.4851, 0.5130, 0.5296, 0.4856, 0.4922, 0.5078,
        0.4903, 0.4988, 0.4879, 0.4974, 0.5376, 0.5243, 0.5243, 0.5418, 0.4894,
        0.4804, 0.4960, 0.5069, 0.5243, 0.5069, 0.4832, 0.4979, 0.5045, 0.4865,
        0.5097, 0.4983, 0.4950, 0.5215, 0.5196, 0.5087, 0.5182, 0.5002, 0.4775,
        0.4903, 0.4960, 0.5078, 0.4946, 0.5040, 0.5149, 0.4941, 0.5187, 0.5191,
        0.5097, 0.5050, 0.5035, 0.5002, 0.4870, 0.4913, 0.5210, 0.4865, 0.5343,
        0.5348, 0.5139, 0.5002, 0.5092, 0.5225, 0.5125, 0.4875, 0.4837, 0.5414,
        0.5116])",0.5408332943916321,0.5077351927757263,0.5408332943916321,0.5408332943916321,0,0,0.5049645390070922,0.3085298538208008
1,100,43,"tensor([0.6900, 0.6919, 0.6861, 0.6868, 0.6882, 0.6889, 0.6916, 0.6927, 0.6887,
        0.6916, 0.6894, 0.6882, 0.6885, 0.6862, 0.6837, 0.6891, 0.6896, 0.6864,
        0.6904, 0.6903, 0.6885, 0.6892, 0.6903, 0.6908, 0.6831, 0.6905, 0.6927,
        0.6856, 0.6891, 0.6877, 0.6880, 0.6897, 0.6915, 0.6929, 0.6851, 0.6903,
        0.6887, 0.6906, 0.6901, 0.6941, 0.6911, 0.6907, 0.6881])",57,"tensor([0.6667, 0.5000, 0.7500, 0.5833, 0.8333, 0.6667, 0.6667, 0.5833, 0.5833,
        0.6667, 0.5833, 0.5833, 0.5000, 0.5833, 0.9167, 0.5833, 0.7500, 0.6667,
        0.7500, 0.5833, 0.6667, 0.7500, 0.6667, 0.5833, 0.8333, 0.6667, 0.5000,
        0.8333, 0.7500, 0.5833, 0.6667, 0.5000, 0.4167, 0.4167, 0.6667, 0.6667,
        0.5833, 0.5833, 0.8333, 0.5000, 0.5833, 0.6667, 0.6667])","tensor([0.6203, 0.6189, 0.5324, 0.5385, 0.6369, 0.4988, 0.5953, 0.5967, 0.6199,
        0.5957, 0.6180, 0.5655, 0.5702, 0.5527, 0.5225, 0.5976, 0.5678, 0.5385,
        0.5967, 0.5636, 0.5967, 0.5976, 0.6416, 0.5754, 0.5267, 0.5584, 0.6478,
        0.5201, 0.5778, 0.5986, 0.5560, 0.6047, 0.6151, 0.5910, 0.5234, 0.5797,
        0.5650, 0.5641, 0.5853, 0.6657, 0.5678, 0.6109, 0.5196])",0.6414728760719299,0.5798999667167664,0.6414728760719299,0.6414728760719299,0,0,0.573049645390071,0.0910341739654541
2,93,62,"tensor([0.6911, 0.6898, 0.6908, 0.6874, 0.6826, 0.6872, 0.6897, 0.6850, 0.6833,
        0.6775, 0.6850, 0.6887, 0.6837, 0.6889, 0.6868, 0.6853, 0.6903, 0.6869,
        0.6831, 0.6865, 0.6850, 0.6918, 0.6911, 0.6876, 0.6892, 0.6888, 0.6873,
        0.6868, 0.6871, 0.6878, 0.6823, 0.6896, 0.6895, 0.6921, 0.6909, 0.6838,
        0.6862, 0.6895, 0.6832, 0.6830, 0.6854, 0.6952, 0.6871, 0.6943, 0.6938,
        0.6889, 0.6915, 0.6904, 0.6855, 0.6904, 0.6828, 0.6857, 0.6874, 0.6845,
        0.6852, 0.6909, 0.6952, 0.6873, 0.6812, 0.6848, 0.6916, 0.6859])",88,"tensor([0.5000, 0.7500, 0.6667, 0.7500, 0.7500, 0.9167, 0.5000, 0.9167, 0.8333,
        0.9167, 0.7500, 0.7500, 0.9167, 0.8333, 0.8333, 0.7500, 0.8333, 0.8333,
        0.7500, 0.6667, 0.7500, 0.5000, 0.6667, 0.7500, 0.8333, 0.5833, 0.6667,
        0.8333, 0.9167, 0.9167, 0.9167, 0.5833, 0.6667, 0.5833, 0.7500, 0.9167,
        0.7500, 0.6667, 0.8333, 0.7500, 0.6667, 0.6667, 0.7500, 0.4167, 0.8333,
        0.5833, 0.5833, 0.8333, 0.7500, 0.6667, 0.8333, 0.9167, 0.7500, 0.7500,
        0.8333, 0.5833, 0.5833, 0.7500, 0.7500, 0.7500, 0.5000, 0.5833])","tensor([0.6270, 0.6009, 0.7631, 0.7045, 0.6340, 0.7712, 0.7073, 0.6487, 0.6312,
        0.5660, 0.6898, 0.6766, 0.5239, 0.7400, 0.7135, 0.7300, 0.7811, 0.7215,
        0.6076, 0.6936, 0.6378, 0.7877, 0.7678, 0.7485, 0.7541, 0.7693, 0.6931,
        0.7508, 0.7480, 0.7570, 0.6558, 0.7456, 0.7556, 0.7778, 0.7844, 0.6388,
        0.7163, 0.7872, 0.6392, 0.6288, 0.5589, 0.8047, 0.6392, 0.7948, 0.8071,
        0.7518, 0.7825, 0.7452, 0.5995, 0.7045, 0.5957, 0.7418, 0.7390, 0.6728,
        0.6326, 0.7556, 0.8090, 0.7489, 0.5740, 0.6109, 0.7508, 0.6903])",0.7352150082588196,0.7029818296432495,0.7352150082588196,0.7352150082588196,0,0,0.7030732860520095,0.29898500442504883
3,82,60,"tensor([0.6910, 0.6843, 0.6861, 0.6901, 0.6915, 0.6870, 0.6835, 0.6829, 0.6815,
        0.6878, 0.6831, 0.6851, 0.6853, 0.6804, 0.6896, 0.6827, 0.6853, 0.6863,
        0.6820, 0.6849, 0.6855, 0.6879, 0.6887, 0.6785, 0.6802, 0.6799, 0.6834,
        0.6828, 0.6810, 0.6802, 0.6852, 0.6827, 0.6862, 0.6851, 0.6863, 0.6833,
        0.6854, 0.6867, 0.6854, 0.6829, 0.6791, 0.6816, 0.6866, 0.6824, 0.6850,
        0.6841, 0.6876, 0.6840, 0.6866, 0.6867, 0.6831, 0.6829, 0.6826, 0.6844,
        0.6863, 0.6861, 0.6865, 0.6876, 0.6851, 0.6833])",110,"tensor([0.5000, 0.9167, 0.7500, 0.5000, 0.5000, 1.0000, 0.8333, 0.9167, 0.9167,
        0.8333, 0.7500, 0.8333, 1.0000, 0.8333, 0.8333, 0.9167, 0.9167, 0.9167,
        0.9167, 1.0000, 0.8333, 0.8333, 0.6667, 0.9167, 0.9167, 0.8333, 0.8333,
        0.9167, 0.9167, 0.9167, 1.0000, 0.8333, 1.0000, 0.9167, 0.9167, 0.8333,
        0.9167, 0.8333, 0.6667, 0.9167, 0.8333, 0.9167, 0.9167, 0.7500, 1.0000,
        0.7500, 1.0000, 0.9167, 1.0000, 1.0000, 0.8333, 0.8333, 0.7500, 1.0000,
        1.0000, 0.7500, 0.9167, 0.9167, 0.8333, 0.8333])","tensor([0.5962, 0.5504, 0.5385, 0.5986, 0.7915, 0.8548, 0.8194, 0.8057, 0.7792,
        0.8761, 0.7262, 0.8525, 0.8686, 0.7305, 0.8572, 0.7981, 0.8487, 0.8615,
        0.7726, 0.8246, 0.8492, 0.8473, 0.8813, 0.7182, 0.7721, 0.7423, 0.7546,
        0.7764, 0.7929, 0.7697, 0.8544, 0.7560, 0.8435, 0.8478, 0.8506, 0.7083,
        0.8582, 0.8738, 0.8534, 0.7631, 0.7144, 0.7532, 0.8213, 0.7598, 0.8572,
        0.8478, 0.8960, 0.8113, 0.8742, 0.8766, 0.7489, 0.8411, 0.8066, 0.8733,
        0.8397, 0.7626, 0.8459, 0.8714, 0.8671, 0.7934])",0.862500011920929,0.798762857913971,0.862500011920929,0.862500011920929,0,0,0.8080378250591016,0.24436283111572266
4,92,72,"tensor([0.6861, 0.6898, 0.6887, 0.6932, 0.6892, 0.6936, 0.6867, 0.6836, 0.6831,
        0.6786, 0.6788, 0.6786, 0.6806, 0.6782, 0.6830, 0.6849, 0.6883, 0.6811,
        0.6874, 0.6789, 0.6804, 0.6897, 0.6799, 0.6831, 0.6839, 0.6817, 0.6814,
        0.6828, 0.6872, 0.6787, 0.6814, 0.6801, 0.6840, 0.6849, 0.6805, 0.6801,
        0.6860, 0.6829, 0.6809, 0.6878, 0.6780, 0.6879, 0.6857, 0.6830, 0.6826,
        0.6805, 0.6810, 0.6868, 0.6862, 0.6835, 0.6842, 0.6843, 0.6832, 0.6845,
        0.6786, 0.6806, 0.6882, 0.6850, 0.6732, 0.6844, 0.6849, 0.6811, 0.6816,
        0.6817, 0.6859, 0.6854, 0.6801, 0.6836, 0.6852, 0.6833, 0.6797, 0.6868])",130,"tensor([0.7500, 0.5000, 0.7500, 0.7500, 0.5000, 0.7500, 0.9167, 1.0000, 0.8333,
        1.0000, 0.9167, 1.0000, 1.0000, 0.9167, 0.8333, 1.0000, 0.8333, 0.8333,
        0.9167, 0.9167, 1.0000, 0.7500, 0.9167, 1.0000, 0.9167, 0.8333, 0.9167,
        1.0000, 0.9167, 0.9167, 0.9167, 0.9167, 0.7500, 1.0000, 1.0000, 0.7500,
        1.0000, 1.0000, 0.9167, 0.9167, 0.8333, 0.9167, 0.9167, 1.0000, 0.8333,
        0.9167, 1.0000, 0.8333, 0.7500, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.8333, 0.9167, 0.9167, 0.9167, 0.9167, 1.0000, 1.0000,
        0.9167, 0.7500, 0.9167, 1.0000, 0.8333, 0.8333, 1.0000, 0.9167, 0.7500])","tensor([0.5366, 0.5456, 0.5877, 0.6279, 0.5768, 0.8009, 0.9154, 0.8827, 0.9007,
        0.8227, 0.8600, 0.8761, 0.9106, 0.8809, 0.9106, 0.9333, 0.9395, 0.8771,
        0.9423, 0.8704, 0.9050, 0.9338, 0.8548, 0.9069, 0.8184, 0.8539, 0.9007,
        0.8946, 0.9362, 0.8671, 0.8511, 0.8430, 0.8974, 0.9333, 0.8634, 0.8440,
        0.9385, 0.9173, 0.8690, 0.9433, 0.8113, 0.9362, 0.9329, 0.9121, 0.8813,
        0.8837, 0.9168, 0.9106, 0.9201, 0.9381, 0.9352, 0.9296, 0.9173, 0.9139,
        0.8605, 0.8506, 0.9116, 0.9366, 0.8095, 0.9007, 0.9083, 0.8478, 0.9272,
        0.9220, 0.9210, 0.9130, 0.8738, 0.8175, 0.8865, 0.9130, 0.8487, 0.9300])",0.8969907760620117,0.8706527352333069,0.8969907760620117,0.8969907760620117,0,0,0.8817966903073287,0.506023645401001
5,86,81,"tensor([0.6888, 0.6893, 0.6836, 0.6830, 0.6835, 0.6756, 0.6813, 0.6793, 0.6781,
        0.6827, 0.6826, 0.6804, 0.6836, 0.6838, 0.6811, 0.6811, 0.6822, 0.6759,
        0.6776, 0.6820, 0.6765, 0.6800, 0.6773, 0.6791, 0.6790, 0.6834, 0.6827,
        0.6854, 0.6842, 0.6758, 0.6801, 0.6805, 0.6846, 0.6797, 0.6825, 0.6817,
        0.6826, 0.6786, 0.6805, 0.6707, 0.6795, 0.6739, 0.6760, 0.6801, 0.6792,
        0.6798, 0.6791, 0.6785, 0.6792, 0.6792, 0.6843, 0.6843, 0.6819, 0.6802,
        0.6831, 0.6812, 0.6757, 0.6864, 0.6779, 0.6746, 0.6820, 0.6841, 0.6802,
        0.6705, 0.6815, 0.6845, 0.6792, 0.6826, 0.6837, 0.6798, 0.6838, 0.6824,
        0.6774, 0.6765, 0.6815, 0.6819, 0.6732, 0.6809, 0.6791, 0.6813, 0.6861])",135,"tensor([0.5833, 0.5833, 0.9167, 0.7500, 0.8333, 0.9167, 1.0000, 0.9167, 1.0000,
        1.0000, 0.9167, 0.9167, 0.8333, 1.0000, 1.0000, 0.9167, 0.8333, 0.9167,
        1.0000, 1.0000, 0.9167, 1.0000, 0.9167, 0.8333, 0.9167, 1.0000, 1.0000,
        0.8333, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 0.9167,
        0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000,
        0.7500, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 0.7500, 0.9167, 0.9167,
        0.9167, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 0.9167, 0.8333, 1.0000,
        1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000, 0.9167])","tensor([0.5697, 0.6099, 0.8898, 0.8766, 0.9149, 0.9116, 0.9480, 0.9296, 0.9381,
        0.9541, 0.9574, 0.9433, 0.9362, 0.9574, 0.9556, 0.9470, 0.9593, 0.9050,
        0.9116, 0.9608, 0.8865, 0.9470, 0.8917, 0.9310, 0.8889, 0.9291, 0.9598,
        0.9574, 0.9593, 0.9381, 0.9470, 0.9518, 0.9622, 0.9565, 0.9357, 0.9333,
        0.9371, 0.9390, 0.9414, 0.8856, 0.9579, 0.8908, 0.8842, 0.9352, 0.9452,
        0.9253, 0.9418, 0.9324, 0.9220, 0.9400, 0.9579, 0.9480, 0.9532, 0.9381,
        0.9366, 0.9570, 0.9494, 0.9626, 0.9300, 0.9253, 0.9489, 0.9352, 0.9504,
        0.8468, 0.9452, 0.9504, 0.8960, 0.9546, 0.9470, 0.8771, 0.9617, 0.9589,
        0.9366, 0.9262, 0.9485, 0.9522, 0.9319, 0.9603, 0.9329, 0.9447, 0.9641])",0.9393004179000854,0.9266263246536255,0.9393004179000854,0.9393004179000854,0,0,0.9342789598108747,0.14271831512451172
6,90,63,"tensor([0.6915, 0.6868, 0.6746, 0.6720, 0.6777, 0.6794, 0.6814, 0.6783, 0.6839,
        0.6769, 0.6778, 0.6747, 0.6793, 0.6775, 0.6822, 0.6768, 0.6786, 0.6728,
        0.6789, 0.6775, 0.6755, 0.6807, 0.6767, 0.6784, 0.6801, 0.6786, 0.6743,
        0.6800, 0.6837, 0.6789, 0.6752, 0.6819, 0.6790, 0.6758, 0.6795, 0.6812,
        0.6776, 0.6804, 0.6761, 0.6805, 0.6796, 0.6819, 0.6762, 0.6821, 0.6810,
        0.6776, 0.6794, 0.6769, 0.6801, 0.6794, 0.6681, 0.6807, 0.6774, 0.6760,
        0.6834, 0.6800, 0.6731, 0.6840, 0.6806, 0.6753, 0.6803, 0.6783, 0.6726])",162,"tensor([0.5833, 0.5833, 1.0000, 0.9167, 1.0000, 0.9167, 0.9167, 1.0000, 0.9167,
        1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 0.9167, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.8333, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000])","tensor([0.6085, 0.5144, 0.9258, 0.9475, 0.9423, 0.9622, 0.9712, 0.9712, 0.9787,
        0.9579, 0.9636, 0.9499, 0.9423, 0.9423, 0.9754, 0.9579, 0.9570, 0.9489,
        0.9660, 0.9608, 0.9546, 0.9664, 0.9626, 0.9622, 0.9735, 0.9702, 0.9423,
        0.9745, 0.9726, 0.9702, 0.9622, 0.9712, 0.9650, 0.9551, 0.9612, 0.9764,
        0.9702, 0.9712, 0.9551, 0.9504, 0.9702, 0.9726, 0.9532, 0.9764, 0.9764,
        0.9702, 0.9702, 0.9570, 0.9674, 0.9404, 0.8851, 0.9693, 0.9579, 0.9678,
        0.9768, 0.9740, 0.9660, 0.9787, 0.9683, 0.9485, 0.9660, 0.9693, 0.9357])",0.9695767760276794,0.9483808279037476,0.9695767760276794,0.9695767760276794,0,0,0.9602836879432625,0.10767197608947754
7,83,75,"tensor([0.6843, 0.6924, 0.6912, 0.6910, 0.6840, 0.6879, 0.6788, 0.6831, 0.6838,
        0.6828, 0.6863, 0.6863, 0.6748, 0.6730, 0.6729, 0.6752, 0.6751, 0.6773,
        0.6824, 0.6766, 0.6757, 0.6786, 0.6757, 0.6840, 0.6822, 0.6765, 0.6802,
        0.6746, 0.6789, 0.6798, 0.6732, 0.6716, 0.6786, 0.6782, 0.6796, 0.6736,
        0.6802, 0.6697, 0.6793, 0.6719, 0.6773, 0.6759, 0.6703, 0.6823, 0.6743,
        0.6788, 0.6735, 0.6722, 0.6768, 0.6840, 0.6758, 0.6672, 0.6745, 0.6759,
        0.6786, 0.6804, 0.6797, 0.6782, 0.6766, 0.6739, 0.6721, 0.6768, 0.6782,
        0.6791, 0.6813, 0.6777, 0.6768, 0.6722, 0.6807, 0.6739, 0.6756, 0.6797,
        0.6768, 0.6801, 0.6782])",170,"tensor([0.7500, 0.5000, 0.5833, 0.5000, 0.7500, 0.6667, 1.0000, 0.8333, 1.0000,
        0.9167, 0.8333, 0.9167, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000,
        1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 0.9167,
        1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.9167, 1.0000, 1.0000])","tensor([0.5087, 0.6071, 0.6227, 0.6355, 0.6634, 0.7087, 0.6591, 0.7939, 0.8014,
        0.7811, 0.9310, 0.9130, 0.9759, 0.9622, 0.9783, 0.9674, 0.9617, 0.9527,
        0.9853, 0.9816, 0.9740, 0.9811, 0.9787, 0.9858, 0.9853, 0.9702, 0.9853,
        0.9778, 0.9835, 0.9853, 0.9688, 0.9612, 0.9816, 0.9764, 0.9853, 0.9660,
        0.9816, 0.9636, 0.9783, 0.9622, 0.9806, 0.9806, 0.9612, 0.9849, 0.9768,
        0.9783, 0.9801, 0.9645, 0.9787, 0.9849, 0.9839, 0.9593, 0.9768, 0.9778,
        0.9839, 0.9858, 0.9764, 0.9844, 0.9768, 0.9754, 0.9716, 0.9783, 0.9825,
        0.9835, 0.9839, 0.9773, 0.9820, 0.9688, 0.9844, 0.9835, 0.9778, 0.9844,
        0.9745, 0.9853, 0.9835])",0.949999988079071,0.9356659054756165,0.949999988079071,0.949999988079071,0,0,0.9692671394799054,0.2427361011505127
8,84,40,"tensor([0.6868, 0.6919, 0.6854, 0.6847, 0.6794, 0.6750, 0.6788, 0.6735, 0.6777,
        0.6780, 0.6696, 0.6758, 0.6661, 0.6833, 0.6783, 0.6763, 0.6713, 0.6725,
        0.6743, 0.6746, 0.6720, 0.6766, 0.6787, 0.6794, 0.6827, 0.6798, 0.6713,
        0.6752, 0.6851, 0.6735, 0.6787, 0.6796, 0.6791, 0.6785, 0.6756, 0.6728,
        0.6675, 0.6795, 0.6756, 0.6721])",214,"tensor([0.6667, 0.4167, 1.0000, 0.6667, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.8333, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000,
        1.0000, 0.9167, 1.0000, 0.9167, 0.8333, 1.0000, 0.9167, 1.0000, 1.0000,
        1.0000, 0.9167, 1.0000, 0.9167])","tensor([0.5296, 0.6095, 0.8785, 0.8279, 0.9697, 0.9825, 0.9844, 0.9792, 0.9858,
        0.9858, 0.9707, 0.9858, 0.9660, 0.9863, 0.9849, 0.9858, 0.9830, 0.9674,
        0.9707, 0.9816, 0.9783, 0.9849, 0.9863, 0.9872, 0.9868, 0.9868, 0.9688,
        0.9839, 0.9872, 0.9768, 0.9858, 0.9853, 0.9863, 0.9853, 0.9792, 0.9745,
        0.9721, 0.9863, 0.9825, 0.9749])",0.9437500238418579,0.9538534283638,0.9437500238418579,0.9437500238418579,0,0,0.9787234042553191,0.11176800727844238
9,75,25,"tensor([0.6900, 0.6827, 0.6822, 0.6754, 0.6787, 0.6748, 0.6709, 0.6811, 0.6694,
        0.6763, 0.6753, 0.6701, 0.6772, 0.6692, 0.6713, 0.6752, 0.6725, 0.6787,
        0.6695, 0.6734, 0.6689, 0.6762, 0.6760, 0.6695, 0.6713])",264,"tensor([0.6667, 0.7500, 0.9167, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000,
        0.8333, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000])","tensor([0.6255, 0.6397, 0.9182, 0.9149, 0.9660, 0.9612, 0.9844, 0.9872, 0.9783,
        0.9858, 0.9882, 0.9768, 0.9868, 0.9872, 0.9806, 0.9872, 0.9844, 0.9853,
        0.9787, 0.9877, 0.9839, 0.9882, 0.9872, 0.9783, 0.9778])",0.9533333778381348,0.9487849473953247,0.9533333778381348,0.9533333778381348,0,0,0.9777777777777777,0.08099818229675293
