round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6958815455436707,0.5805554986000061,0.5006666779518127,0.5805554986000061,0.5805554986000061,0,0,0.5,0.37078309059143066
1,97,75,69,6,0,75,0.6838276386260986,0.6240000128746033,0.5049867033958435,0.6240000128746033,0.6240000128746033,0,0,0.5,0.35712718963623047
2,92,55,52,3,0,55,0.6701147556304932,0.6563636064529419,0.5182454586029053,0.6563636064529419,0.6563636064529419,0,0,0.5,0.7498960494995117
3,86,46,43,3,0,46,0.6575170755386353,0.6326087117195129,0.5176847577095032,0.6326087117195129,0.6326087117195129,0,0,0.5005,0.1533808708190918
4,88,61,55,6,0,61,0.647928774356842,0.6754098534584045,0.5300573110580444,0.6754098534584045,0.6754098534584045,0,0,0.5165,0.35524654388427734
5,85,25,16,9,0,25,0.6553380489349365,0.6880000233650208,0.5270400047302246,0.6880000233650208,0.6880000233650208,0,0,0.5,0.1440291404724121
6,72,42,37,5,0,42,0.6354625821113586,0.7000000476837158,0.5685119032859802,0.7000000476837158,0.7000000476837158,0,0,0.531,0.34821105003356934
7,64,29,15,14,0,29,0.6317613124847412,0.7034481763839722,0.5543792843818665,0.7034481763839722,0.7034481763839722,0,0,0.524,0.44390082359313965
8,78,55,42,13,0,55,0.6092579364776611,0.6599999070167542,0.5253726840019226,0.6599999070167542,0.6599999070167542,0,0,0.5155,0.2171475887298584
9,69,24,17,7,0,24,0.5924386382102966,0.6833333373069763,0.5570625066757202,0.6833333373069763,0.6833333373069763,0,0,0.519,0.17542099952697754
10,59,10,0,10,0,10,0.6590699553489685,0.6599999666213989,0.5208500623703003,0.6599999666213989,0.6599999666213989,0,0,0.519,0.013295888900756836
11,61,38,24,14,0,38,0.5834653377532959,0.6342105269432068,0.5290263295173645,0.6342105269432068,0.6342105269432068,0,0,0.5035,0.26317524909973145
12,51,29,12,17,0,29,0.6006365418434143,0.6586206555366516,0.5596379041671753,0.6586206555366516,0.6586206555366516,0,0,0.557,0.24367880821228027
13,59,53,34,19,0,53,0.5866892337799072,0.6283018589019775,0.542113184928894,0.6283018589019775,0.6283018589019775,0,0,0.5145,0.17202997207641602
14,53,23,0,23,0,23,0.6075612306594849,0.643478274345398,0.5422174334526062,0.643478274345398,0.643478274345398,0,0,0.5145,0.007224559783935547
15,56,59,31,28,0,59,0.5737699270248413,0.6898305416107178,0.5891949534416199,0.6898305416107178,0.6898305416107178,0,0,0.552,0.15072011947631836
16,46,22,0,22,0,22,0.6236926913261414,0.6545454263687134,0.5250909328460693,0.6545454263687134,0.6545454263687134,0,0,0.552,0.008490562438964844
17,44,42,22,20,0,42,0.5843913555145264,0.6880952715873718,0.5557143092155457,0.6880952715873718,0.6880952715873718,0,0,0.51,0.254223108291626
18,53,22,0,22,0,22,0.6233847141265869,0.6636364459991455,0.5549545288085938,0.6636364459991455,0.6636364459991455,0,0,0.51,0.00838017463684082
19,38,39,14,25,0,39,0.5859019756317139,0.6692307591438293,0.5750640630722046,0.6692307591438293,0.6692307591438293,0,0,0.5585,0.2321605682373047
20,44,34,3,31,0,34,0.6293517351150513,0.6676470637321472,0.537397027015686,0.6676470637321472,0.6676470637321472,0,0,0.5,0.2639048099517822
21,41,24,0,24,0,24,0.5798395276069641,0.7125000357627869,0.5576874613761902,0.7125000357627869,0.7125000357627869,0,0,0.5,0.008438825607299805
22,46,29,0,29,0,29,0.5947932004928589,0.6551724076271057,0.5652413368225098,0.6551724076271057,0.6551724076271057,0,0,0.5,0.002376079559326172
23,35,39,0,39,0,39,0.5919183492660522,0.607692301273346,0.5331282019615173,0.607692301273346,0.607692301273346,0,0,0.5,0.005244255065917969
24,39,54,6,48,0,54,0.588036835193634,0.664814829826355,0.5535833835601807,0.664814829826355,0.664814829826355,0,0,0.5145,0.2511308193206787
25,36,38,0,38,0,38,0.5941659808158875,0.6105263233184814,0.5712236762046814,0.6105263233184814,0.6105263233184814,0,0,0.5145,0.02370476722717285
26,40,38,0,38,0,38,0.5995885133743286,0.6684210896492004,0.5514473915100098,0.6684210896492004,0.6684210896492004,0,0,0.5145,0.008341550827026367
27,42,40,0,40,0,40,0.5887295007705688,0.6600000262260437,0.5525625348091125,0.6600000262260437,0.6600000262260437,0,0,0.5145,0.0045125484466552734
28,47,44,0,44,0,44,0.5826396346092224,0.6840908527374268,0.5896477103233337,0.6840908527374268,0.6840908527374268,0,0,0.5145,0.00732874870300293
29,45,56,14,42,0,56,0.5752140879631042,0.6517857313156128,0.5876250267028809,0.6517857313156128,0.6517857313156128,0,0,0.53,0.2512052059173584
30,39,40,0,40,0,40,0.5715288519859314,0.6425000429153442,0.5578374862670898,0.6425000429153442,0.6425000429153442,0,0,0.53,0.003870725631713867
31,47,48,0,48,0,48,0.5888664126396179,0.6187500357627869,0.5385624766349792,0.6187500357627869,0.6187500357627869,0,0,0.53,0.006589174270629883
