round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6914604902267456,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,0.3856821060180664
1,100,100,100,0,0,100,0.689318835735321,0.479166716337204,0.46335697174072266,0.479166716337204,0.479166716337204,0,0,0.46335697399527187,0.43973875045776367
2,100,100,100,0,0,100,0.6883431077003479,0.47749996185302734,0.46335697174072266,0.47749996185302734,0.47749996185302734,0,0,0.46335697399527187,0.636237382888794
3,100,100,100,0,0,100,0.6844428181648254,0.5,0.46335697174072266,0.5,0.5,0,0,0.46335697399527187,0.5276732444763184
4,100,100,100,0,0,100,0.6862701177597046,0.45249995589256287,0.46335697174072266,0.45249995589256287,0.45249995589256287,0,0,0.46335697399527187,0.20806145668029785
5,100,100,100,0,0,100,0.6828499436378479,0.4791666269302368,0.46335697174072266,0.4791666269302368,0.4791666269302368,0,0,0.46335697399527187,0.5358927249908447
6,100,100,100,0,0,100,0.682396411895752,0.4633333086967468,0.46335697174072266,0.4633333086967468,0.4633333086967468,0,0,0.46335697399527187,0.27022719383239746
7,100,100,100,0,0,100,0.6825659871101379,0.4399999976158142,0.46335697174072266,0.4399999976158142,0.4399999976158142,0,0,0.46335697399527187,0.49496889114379883
8,100,100,100,0,0,100,0.6791999936103821,0.46666663885116577,0.46335697174072266,0.46666663885116577,0.46666663885116577,0,0,0.46335697399527187,0.22728657722473145
9,100,100,100,0,0,100,0.6769782304763794,0.47083333134651184,0.46335697174072266,0.47083333134651184,0.47083333134651184,0,0,0.46335697399527187,0.4064977169036865
10,100,100,100,0,0,100,0.6758905053138733,0.46333327889442444,0.46335697174072266,0.46333327889442444,0.46333327889442444,0,0,0.46335697399527187,0.25998950004577637
11,100,100,100,0,0,100,0.6761177778244019,0.44583332538604736,0.46335697174072266,0.44583332538604736,0.44583332538604736,0,0,0.46335697399527187,0.4034595489501953
12,100,100,100,0,0,100,0.6729881167411804,0.4608333706855774,0.46335697174072266,0.4608333706855774,0.4608333706855774,0,0,0.46335697399527187,0.4562845230102539
13,100,100,100,0,0,100,0.6705547571182251,0.4724999964237213,0.46338534355163574,0.4724999964237213,0.4724999964237213,0,0,0.46335697399527187,0.3530998229980469
14,100,100,100,0,0,100,0.6692557334899902,0.46000003814697266,0.46373993158340454,0.46000003814697266,0.46000003814697266,0,0,0.46382978723404256,0.6983542442321777
