round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6904186606407166,0.5046296119689941,0.46335697174072266,0.48666664958000183,0.48666664958000183,0.5454545021057129,0.46335697174072266,0.46335697399527187,0.07342100143432617
1,97,75,69,6,23,52,0.6924464702606201,0.47333332896232605,0.46335694193840027,0.4423076808452606,0.4423076808452606,0.5434783101081848,0.46335697174072266,0.46335697399527187,0.1341719627380371
2,92,55,52,3,21,34,0.6933029294013977,0.46515148878097534,0.46335694193840027,0.43382352590560913,0.43382352590560913,0.5158730745315552,0.46335697174072266,0.46335697399527187,0.2101891040802002
3,91,51,48,3,11,40,0.6891277432441711,0.48366016149520874,0.46335700154304504,0.4541666507720947,0.4541666507720947,0.5909090638160706,0.46335697174072266,0.46335697399527187,0.22272920608520508
4,88,59,53,6,14,45,0.6873414516448975,0.508474588394165,0.46335700154304504,0.4888888895511627,0.4888888895511627,0.5714285969734192,0.46335697174072266,0.46335697399527187,0.11820840835571289
5,86,29,20,9,11,18,0.6929190158843994,0.4568965435028076,0.46335697174072266,0.4490741193294525,0.4490741193294525,0.4696969985961914,0.46335697174072266,0.46335697399527187,0.0772848129272461
6,78,54,48,6,21,33,0.6913432478904724,0.49382713437080383,0.46335697174072266,0.43686866760253906,0.43686866760253906,0.5833333134651184,0.46335697174072266,0.46335697399527187,0.11522459983825684
7,67,57,46,11,16,41,0.6896860599517822,0.47660818696022034,0.46335703134536743,0.4593495726585388,0.4593495726585388,0.5208333730697632,0.46335697174072266,0.46335697399527187,0.13019561767578125
8,71,29,18,11,9,20,0.6891691088676453,0.48275861144065857,0.46335697174072266,0.46666663885116577,0.46666663885116577,0.5185185670852661,0.46335697174072266,0.46335697399527187,0.06395173072814941
9,70,22,18,4,7,15,0.6910825967788696,0.47727271914482117,0.46335697174072266,0.42222219705581665,0.42222219705581665,0.5952380895614624,0.46335697174072266,0.46335697399527187,0.07079362869262695
10,61,15,0,15,6,9,0.6917197704315186,0.4888888895511627,0.46335697174072266,0.4259259104728699,0.4259259104728699,0.5833333134651184,0.46335697174072266,0.46335697399527187,0.11807584762573242
11,62,14,0,14,3,11,0.6935479044914246,0.4226190447807312,0.46335697174072266,0.3863636255264282,0.3863636255264282,0.5555555820465088,0.46335697174072266,0.46335697399527187,0.060077667236328125
12,54,22,3,19,7,15,0.6920119524002075,0.4696969985961914,0.46335697174072266,0.4555555582046509,0.4555555582046509,0.5,0.46335697174072266,0.46335697399527187,0.08203387260437012
13,54,17,0,17,5,12,0.6842164397239685,0.5441176891326904,0.46335697174072266,0.5277777910232544,0.5277777910232544,0.5833333730697632,0.46335697174072266,0.46335697399527187,0.06721997261047363
14,49,37,9,28,8,29,0.6881170272827148,0.48198193311691284,0.46335694193840027,0.4597701132297516,0.4597701132297516,0.5625,0.46335697174072266,0.46335697399527187,0.07523798942565918
15,45,46,16,30,12,34,0.6883143186569214,0.48731887340545654,0.46335694193840027,0.48039212822914124,0.48039212822914124,0.506944477558136,0.46335697174072266,0.46335697399527187,0.1075906753540039
16,48,28,0,28,7,21,0.6891673803329468,0.4970237910747528,0.46335697174072266,0.4642857015132904,0.4642857015132904,0.5952381491661072,0.46335697174072266,0.46335697399527187,0.09729218482971191
17,38,21,0,21,7,14,0.6874626874923706,0.523809552192688,0.46335697174072266,0.5297619104385376,0.5297619104385376,0.511904776096344,0.46335697174072266,0.46335697399527187,0.08215141296386719
18,43,21,0,21,8,13,0.6917492151260376,0.4841269850730896,0.46335697174072266,0.4423076808452606,0.4423076808452606,0.5520833730697632,0.46335697174072266,0.46335697399527187,0.0641484260559082
19,36,31,0,31,12,19,0.6899704337120056,0.48924732208251953,0.46335697174072266,0.4561403691768646,0.4561403691768646,0.5416666865348816,0.46335697174072266,0.46335697399527187,0.15335583686828613
20,41,31,0,31,6,25,0.6862828731536865,0.5161290168762207,0.46335697174072266,0.4833332896232605,0.4833332896232605,0.6527777314186096,0.46335697174072266,0.46335697399527187,0.0721580982208252
21,37,30,0,30,12,18,0.6902753710746765,0.5,0.46335697174072266,0.4861111044883728,0.4861111044883728,0.5208333134651184,0.46335697174072266,0.46335697399527187,0.09573650360107422
22,45,57,19,38,17,40,0.6891941428184509,0.4883040487766266,0.46335703134536743,0.47083336114883423,0.47083336114883423,0.529411792755127,0.46335697174072266,0.46335697399527187,0.11678838729858398
23,42,34,0,34,10,24,0.6870853304862976,0.5049019455909729,0.46335697174072266,0.506944477558136,0.506944477558136,0.5000000596046448,0.46335697174072266,0.46335697399527187,0.08054637908935547
24,39,38,0,38,18,20,0.6927158236503601,0.48464909195899963,0.46335697174072266,0.4416666626930237,0.4416666626930237,0.5324074029922485,0.46335697174072266,0.46335697399527187,0.18480443954467773
25,33,33,0,33,12,21,0.6927748918533325,0.45202016830444336,0.46335697174072266,0.4365079402923584,0.4365079402923584,0.4791666269302368,0.46335697174072266,0.46335697399527187,0.07110857963562012
26,42,40,0,40,11,29,0.6886745691299438,0.4854166507720947,0.46335697174072266,0.48563218116760254,0.48563218116760254,0.4848484992980957,0.46335697174072266,0.46335697399527187,0.11083364486694336
27,40,51,7,44,16,35,0.6885809302330017,0.5065359473228455,0.46335700154304504,0.46666663885116577,0.46666663885116577,0.5937499403953552,0.46335697174072266,0.46335697399527187,0.1095435619354248
28,37,41,0,41,10,31,0.6886546015739441,0.4796747863292694,0.46335694193840027,0.4623655676841736,0.4623655676841736,0.5333333015441895,0.46335697174072266,0.46335697399527187,0.09529948234558105
29,40,37,0,37,8,29,0.6859978437423706,0.5067567825317383,0.46335694193840027,0.49137935042381287,0.49137935042381287,0.5625000596046448,0.46335697174072266,0.46335697399527187,0.07437419891357422
30,47,46,0,46,11,35,0.6868613958358765,0.4981883466243744,0.46335694193840027,0.46190473437309265,0.46190473437309265,0.6136364340782166,0.46335697174072266,0.46335697399527187,0.10276985168457031
31,34,43,0,43,18,25,0.6917685866355896,0.47868213057518005,0.46335700154304504,0.45333331823349,0.45333331823349,0.513888955116272,0.46335697174072266,0.46335697399527187,0.08980202674865723
32,41,65,15,50,21,44,0.6912022233009338,0.464102566242218,0.46335697174072266,0.44128790497779846,0.44128790497779846,0.5119048357009888,0.46335697174072266,0.46335697399527187,0.10862445831298828
33,39,41,0,41,8,33,0.6873947978019714,0.48170730471611023,0.46335694193840027,0.48232319951057434,0.48232319951057434,0.4791666567325592,0.46335697174072266,0.46335697399527187,0.08196425437927246
34,38,40,0,40,10,30,0.6870294809341431,0.5062499642372131,0.46335697174072266,0.4888888895511627,0.4888888895511627,0.5583333373069763,0.46335697174072266,0.46335697399527187,0.09278249740600586
35,42,44,1,43,16,28,0.6908149123191833,0.48674240708351135,0.46335697174072266,0.4761904776096344,0.4761904776096344,0.5052083134651184,0.46335697174072266,0.46335697399527187,0.10490036010742188
36,40,46,0,46,12,34,0.6885324716567993,0.4855072498321533,0.46335694193840027,0.4681372344493866,0.4681372344493866,0.5347222089767456,0.46335697174072266,0.46335697399527187,0.13689041137695312
37,46,36,0,36,5,31,0.683548629283905,0.5115740299224854,0.46335697174072266,0.5080645084381104,0.5080645084381104,0.5333333015441895,0.46335697174072266,0.46335697399527187,0.08262872695922852
