round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6662628650665283,0.6194444298744202,0.5071805119514465,0.6194444298744202,0.6194444298744202,0,0,0.5,3.5849974155426025
1,96,74,68,6,0,74,0.6404164433479309,0.6797297596931458,0.5190202593803406,0.6797297596931458,0.6797297596931458,0,0,0.507,5.497198104858398
2,96,59,56,3,0,59,0.6105607748031616,0.7033898234367371,0.5259321928024292,0.7033898234367371,0.7033898234367371,0,0,0.5015,4.989063739776611
3,90,50,47,3,0,50,0.5727739334106445,0.6559999585151672,0.5334300398826599,0.6559999585151672,0.6559999585151672,0,0,0.5145,3.247814655303955
4,80,40,34,6,0,40,0.5569051504135132,0.637499988079071,0.5308374762535095,0.637499988079071,0.637499988079071,0,0,0.5105,1.738847017288208
5,84,66,57,9,0,66,0.5342901945114136,0.6287878155708313,0.5398637056350708,0.6287878155708313,0.6287878155708313,0,0,0.5045,7.675296068191528
6,83,37,30,7,0,37,0.5439302325248718,0.6702702641487122,0.5377702713012695,0.6702702641487122,0.6702702641487122,0,0,0.5,2.880117654800415
7,73,44,37,7,0,44,0.5277597904205322,0.668181836605072,0.5662955045700073,0.668181836605072,0.668181836605072,0,0,0.522,5.072367906570435
8,61,21,8,13,0,21,0.5605559349060059,0.6666666865348816,0.5587142705917358,0.6666666865348816,0.6666666865348816,0,0,0.5115,0.9100606441497803
9,60,6,0,6,0,6,0.5436903238296509,0.5833333730697632,0.5062500238418579,0.5833333730697632,0.5833333730697632,0,0,0.5115,0.0016787052154541016
10,61,15,4,11,0,15,0.5497764348983765,0.6333333849906921,0.5179000496864319,0.6333333849906921,0.6333333849906921,0,0,0.5,1.3544683456420898
11,55,48,34,14,0,48,0.533599317073822,0.6958333849906921,0.6076250076293945,0.6958333849906921,0.6958333849906921,0,0,0.609,3.709435224533081
12,55,19,0,19,0,19,0.560317873954773,0.7052631378173828,0.5609210729598999,0.7052631378173828,0.7052631378173828,0,0,0.609,0.0017616748809814453
13,61,20,0,20,0,20,0.5407763123512268,0.699999988079071,0.5473499894142151,0.699999988079071,0.699999988079071,0,0,0.609,0.0009076595306396484
14,44,25,0,25,0,25,0.5310800671577454,0.5880000591278076,0.5426599979400635,0.5880000591278076,0.5880000591278076,0,0,0.609,0.001621246337890625
15,47,27,0,27,0,27,0.5230515003204346,0.6592592597007751,0.5509073734283447,0.6592592597007751,0.6592592597007751,0,0,0.609,0.0018582344055175781
16,43,38,11,27,0,38,0.5197039246559143,0.6184210777282715,0.561302661895752,0.6184210777282715,0.6184210777282715,0,0,0.5215,1.7102136611938477
17,47,37,20,17,0,37,0.4938593804836273,0.7243243455886841,0.6274324655532837,0.7243243455886841,0.7243243455886841,0,0,0.7515,2.075073003768921
18,45,44,16,28,0,44,0.5313384532928467,0.6318181753158569,0.5551477074623108,0.6318181753158569,0.6318181753158569,0,0,0.54,1.3934955596923828
19,50,52,24,28,0,52,0.5196790099143982,0.6749999523162842,0.6139615178108215,0.6749999523162842,0.6749999523162842,0,0,0.682,2.4537429809570312
20,44,37,1,36,0,37,0.5401649475097656,0.616216242313385,0.5395134687423706,0.616216242313385,0.616216242313385,0,0,0.611,0.08772969245910645
21,44,24,0,24,0,24,0.5216886401176453,0.6458333134651184,0.5593542456626892,0.6458333134651184,0.6458333134651184,0,0,0.611,0.0014867782592773438
22,44,45,17,28,0,45,0.5294712781906128,0.6711111068725586,0.6269777417182922,0.6711111068725586,0.6711111068725586,0,0,0.7615,1.7068421840667725
23,31,36,0,36,0,36,0.5174883604049683,0.6722223162651062,0.5746805667877197,0.6722223162651062,0.6722223162651062,0,0,0.7615,0.0023415088653564453
24,40,38,0,38,0,38,0.5393123030662537,0.6605263352394104,0.5675921440124512,0.6605263352394104,0.6605263352394104,0,0,0.7615,0.003265857696533203
25,48,50,9,41,0,50,0.5163159370422363,0.6459999680519104,0.5885100364685059,0.6459999680519104,0.6459999680519104,0,0,0.6265,1.5739245414733887
