round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,67,"tensor([0.6492, 0.6510, 0.6377, 0.6790, 0.6974, 0.6832, 0.6690, 0.6681, 0.6898,
        0.6519, 0.6525, 0.6767, 0.6765, 0.6895, 0.6325, 0.6810, 0.6582, 0.6880,
        0.6455, 0.6510, 0.6613, 0.6629, 0.6727, 0.6334, 0.6793, 0.6457, 0.6871,
        0.6855, 0.6886, 0.6535, 0.6850, 0.6768, 0.6909, 0.6718, 0.6827, 0.6221,
        0.6913, 0.6803, 0.6188, 0.6523, 0.6919, 0.6730, 0.6880, 0.6593, 0.5908,
        0.6935, 0.6379, 0.6715, 0.6848, 0.6914, 0.6709, 0.6438, 0.6720, 0.6872,
        0.5898, 0.6678, 0.6942, 0.6288, 0.6834, 0.6545, 0.6117, 0.6291, 0.6909,
        0.6683, 0.6541, 0.6230, 0.6774])",33,"tensor([0.6000, 0.6000, 0.6000, 0.5000, 0.5000, 0.4000, 0.8000, 0.6000, 0.8000,
        0.6000, 0.5000, 0.5000, 0.5000, 0.8000, 0.6000, 0.7000, 0.5000, 0.8000,
        0.6000, 0.6000, 0.5000, 0.5000, 0.5000, 0.7000, 0.6000, 0.6000, 0.8000,
        0.3000, 0.8000, 0.6000, 0.5000, 0.5000, 0.8000, 0.5000, 0.9000, 0.7000,
        0.8000, 0.8000, 0.8000, 0.6000, 0.9000, 0.5000, 0.5000, 0.6000, 0.8000,
        0.8000, 0.6000, 0.4000, 0.7000, 0.7000, 0.5000, 0.6000, 0.5000, 0.4000,
        0.8000, 0.5000, 0.8000, 0.7000, 0.4000, 0.5000, 0.7000, 0.7000, 0.4000,
        0.5000, 0.6000, 0.7000, 0.5000])","tensor([0.5000, 0.5000, 0.5000, 0.5775, 0.5015, 0.5000, 0.5525, 0.5000, 0.5365,
        0.5000, 0.5000, 0.5000, 0.5000, 0.4995, 0.5000, 0.5290, 0.5000, 0.4985,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5370, 0.5000, 0.5480,
        0.5000, 0.5235, 0.5000, 0.5000, 0.4925, 0.5330, 0.5000, 0.6035, 0.5000,
        0.5000, 0.6065, 0.5000, 0.5000, 0.5615, 0.5000, 0.5230, 0.5000, 0.5000,
        0.5100, 0.5000, 0.5000, 0.5910, 0.5825, 0.5000, 0.5000, 0.5000, 0.5000,
        0.5000, 0.5000, 0.5015, 0.5000, 0.5000, 0.5015, 0.5000, 0.5000, 0.5180,
        0.5170, 0.5000, 0.5000, 0.5000])",0.6149253845214844,0.512611985206604,0.6302325129508972,0.6302325129508972,0.5875000357627869,0.5024999976158142,0.5,4.8748369216918945
1,98,40,"tensor([0.6542, 0.6328, 0.6438, 0.6383, 0.6732, 0.6653, 0.6671, 0.6611, 0.6706,
        0.6556, 0.6614, 0.6573, 0.6485, 0.6688, 0.6537, 0.6433, 0.6556, 0.6581,
        0.6343, 0.6609, 0.6597, 0.6572, 0.6575, 0.6782, 0.6558, 0.6842, 0.6788,
        0.6589, 0.6432, 0.6833, 0.6774, 0.6735, 0.6792, 0.6629, 0.6675, 0.6490,
        0.6714, 0.6569, 0.6261, 0.5977])",91,"tensor([0.8000, 0.6000, 0.9000, 0.8000, 0.5000, 0.7000, 0.6000, 0.7000, 0.7000,
        0.8000, 0.7000, 0.6000, 0.5000, 0.7000, 0.8000, 0.9000, 0.6000, 0.8000,
        0.7000, 0.8000, 0.7000, 0.6000, 0.5000, 0.8000, 0.6000, 0.5000, 0.5000,
        0.9000, 0.6000, 0.8000, 0.5000, 0.5000, 0.6000, 0.7000, 0.8000, 0.7000,
        0.4000, 0.5000, 0.8000, 0.9000])","tensor([0.4995, 0.5000, 0.5905, 0.5180, 0.5000, 0.5155, 0.5000, 0.5000, 0.4990,
        0.5000, 0.4995, 0.5150, 0.5000, 0.4515, 0.5000, 0.5000, 0.5000, 0.5000,
        0.5000, 0.6160, 0.5215, 0.5000, 0.5000, 0.4535, 0.5000, 0.4985, 0.5000,
        0.5575, 0.5000, 0.4810, 0.5000, 0.5000, 0.4865, 0.5000, 0.5410, 0.4995,
        0.4995, 0.5000, 0.5000, 0.5000])",0.6774999499320984,0.5060750246047974,0.6807692050933838,0.6807692050933838,0.6714286208152771,0.49667856097221375,0.5475,2.210923433303833
2,89,26,"tensor([0.7004, 0.6626, 0.6674, 0.6582, 0.6724, 0.6658, 0.6428, 0.6634, 0.6963,
        0.6841, 0.6964, 0.6697, 0.6440, 0.6444, 0.6207, 0.6486, 0.6347, 0.6310,
        0.6341, 0.6682, 0.6681, 0.6345, 0.6503, 0.6535, 0.6420, 0.6813])",154,"tensor([0.8000, 0.5000, 0.5000, 0.5000, 0.6000, 0.6000, 0.7000, 0.7000, 0.6000,
        0.7000, 0.6000, 0.5000, 0.7000, 0.6000, 0.8000, 0.5000, 0.8000, 0.7000,
        0.7000, 0.6000, 0.6000, 0.8000, 0.6000, 0.5000, 0.6000, 0.6000])","tensor([0.4990, 0.5000, 0.5000, 0.5000, 0.5000, 0.5050, 0.5000, 0.5810, 0.5000,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000,
        0.5000, 0.5000, 0.5000, 0.5480, 0.5000, 0.5260, 0.5000, 0.5000])",0.6307693123817444,0.5061153769493103,0.658823549747467,0.658823549747467,0.5777777433395386,0.5090000033378601,0.5,1.543774127960205
3,83,59,"tensor([0.6571, 0.6702, 0.6734, 0.6734, 0.6342, 0.6590, 0.6352, 0.6976, 0.6974,
        0.6959, 0.6250, 0.5751, 0.6513, 0.6057, 0.6174, 0.6607, 0.6307, 0.6729,
        0.6467, 0.6517, 0.6127, 0.6575, 0.6455, 0.6709, 0.6428, 0.6942, 0.6972,
        0.6518, 0.6217, 0.6028, 0.6167, 0.6137, 0.6039, 0.6678, 0.6104, 0.6025,
        0.6367, 0.5858, 0.6763, 0.6658, 0.6206, 0.6818, 0.6845, 0.6370, 0.6392,
        0.6224, 0.6144, 0.5604, 0.6567, 0.6607, 0.6825, 0.5651, 0.6000, 0.7008,
        0.6278, 0.6846, 0.6271, 0.7044, 0.6144])",178,"tensor([0.6000, 0.7000, 0.7000, 0.7000, 0.6000, 0.8000, 0.8000, 0.5000, 0.7000,
        0.6000, 0.6000, 0.8000, 0.6000, 0.7000, 0.6000, 0.6000, 0.8000, 0.7000,
        0.7000, 0.7000, 0.6000, 0.8000, 0.7000, 0.6000, 0.7000, 0.8000, 0.8000,
        0.8000, 0.6000, 0.7000, 0.7000, 0.6000, 1.0000, 0.6000, 0.9000, 0.9000,
        0.7000, 0.8000, 0.6000, 0.6000, 0.9000, 0.7000, 0.8000, 0.5000, 0.7000,
        0.7000, 0.6000, 0.7000, 0.6000, 0.6000, 0.8000, 0.8000, 0.8000, 0.5000,
        0.7000, 0.5000, 0.6000, 0.5000, 0.7000])","tensor([0.5000, 0.4500, 0.6355, 0.5000, 0.5000, 0.5000, 0.6810, 0.5000, 0.5000,
        0.4780, 0.5290, 0.5000, 0.4990, 0.5245, 0.5000, 0.4995, 0.6320, 0.5000,
        0.5000, 0.5000, 0.5000, 0.5645, 0.5000, 0.5000, 0.5280, 0.5000, 0.5000,
        0.5150, 0.5000, 0.5000, 0.5000, 0.5015, 0.6600, 0.5115, 0.6285, 0.6860,
        0.5000, 0.5000, 0.4985, 0.5000, 0.6710, 0.5000, 0.5000, 0.5025, 0.5000,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.3800, 0.5000, 0.6710, 0.4995,
        0.5000, 0.5000, 0.5020, 0.5000, 0.5000])",0.689830482006073,0.5211525559425354,0.7128205299377441,0.7128205299377441,0.6449999809265137,0.4908749461174011,0.6505,2.8943850994110107
4,87,34,"tensor([0.6782, 0.6500, 0.6799, 0.6464, 0.6354, 0.6124, 0.6443, 0.6583, 0.6113,
        0.6122, 0.5719, 0.5771, 0.6092, 0.5598, 0.7155, 0.6687, 0.6614, 0.5823,
        0.5789, 0.6748, 0.6182, 0.6239, 0.5716, 0.5857, 0.6211, 0.6313, 0.6848,
        0.6065, 0.6493, 0.6153, 0.6055, 0.6068, 0.6571, 0.6994])",231,"tensor([0.7000, 0.9000, 0.6000, 1.0000, 0.7000, 0.8000, 0.6000, 1.0000, 0.7000,
        0.6000, 0.7000, 0.8000, 0.7000, 0.9000, 0.7000, 0.8000, 0.6000, 0.9000,
        0.8000, 0.6000, 0.7000, 0.6000, 0.8000, 0.7000, 0.9000, 0.8000, 0.7000,
        0.6000, 0.5000, 0.6000, 0.6000, 0.7000, 0.6000, 0.6000])","tensor([0.4995, 0.5905, 0.5000, 0.6115, 0.5000, 0.5000, 0.6260, 0.5000, 0.5000,
        0.5000, 0.5000, 0.5000, 0.5090, 0.6280, 0.4900, 0.4630, 0.5000, 0.6590,
        0.5000, 0.5000, 0.5000, 0.5095, 0.5000, 0.5315, 0.6365, 0.7115, 0.5000,
        0.5315, 0.5010, 0.5000, 0.5025, 0.5000, 0.5040, 0.4725])",0.720588207244873,0.5287352800369263,0.7222222089767456,0.7222222089767456,0.7142857313156128,0.4893571734428406,0.5855,1.75620436668396
5,83,64,"tensor([0.5579, 0.6750, 0.6323, 0.6686, 0.6878, 0.6375, 0.6917, 0.6184, 0.5734,
        0.5842, 0.6033, 0.5793, 0.7154, 0.6965, 0.7218, 0.7255, 0.5423, 0.6839,
        0.6014, 0.5821, 0.5911, 0.5558, 0.5877, 0.7469, 0.5866, 0.5949, 0.6991,
        0.6411, 0.7131, 0.5943, 0.5946, 0.7335, 0.6985, 0.7330, 0.6244, 0.6277,
        0.5698, 0.6092, 0.6933, 0.6275, 0.6436, 0.5905, 0.7248, 0.5973, 0.5559,
        0.6486, 0.7034, 0.6927, 0.6987, 0.7205, 0.5900, 0.5864, 0.6457, 0.5756,
        0.7362, 0.6200, 0.6315, 0.5373, 0.5807, 0.5895, 0.6047, 0.5584, 0.7057,
        0.7252])",250,"tensor([0.9000, 0.7000, 0.7000, 0.6000, 0.7000, 0.6000, 0.7000, 0.6000, 0.6000,
        0.9000, 0.7000, 0.6000, 0.7000, 0.7000, 0.6000, 0.5000, 0.7000, 0.7000,
        0.7000, 0.8000, 0.9000, 1.0000, 0.7000, 0.6000, 0.9000, 0.7000, 0.6000,
        0.6000, 0.7000, 0.7000, 0.8000, 0.6000, 0.9000, 1.0000, 0.6000, 0.9000,
        0.7000, 0.7000, 0.7000, 0.8000, 0.8000, 1.0000, 0.6000, 0.7000, 1.0000,
        0.7000, 0.6000, 0.5000, 0.7000, 0.6000, 0.8000, 0.7000, 0.8000, 0.8000,
        0.6000, 0.8000, 0.9000, 0.6000, 0.8000, 0.7000, 0.8000, 0.9000, 0.6000,
        0.5000])","tensor([0.5000, 0.6055, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5310,
        0.6685, 0.5000, 0.5510, 0.5000, 0.5000, 0.5000, 0.5000, 0.5070, 0.5795,
        0.5000, 0.5000, 0.7010, 0.6915, 0.5000, 0.5000, 0.6600, 0.6485, 0.5000,
        0.5000, 0.5000, 0.5330, 0.5000, 0.5000, 0.5715, 0.3930, 0.5015, 0.5000,
        0.5000, 0.5000, 0.5960, 0.5505, 0.5000, 0.6455, 0.5000, 0.5140, 0.7040,
        0.5000, 0.5000, 0.5095, 0.5000, 0.5230, 0.5000, 0.5860, 0.5000, 0.5000,
        0.5000, 0.6840, 0.6790, 0.5030, 0.5000, 0.5000, 0.5000, 0.6765, 0.5000,
        0.5005])",0.723437488079071,0.5361562371253967,0.7538461685180664,0.7538461685180664,0.6759999990463257,0.5037400126457214,0.6625,2.0364325046539307
6,74,31,"tensor([0.6554, 0.6179, 0.6237, 0.6262, 0.6632, 0.6070, 0.6995, 0.6990, 0.5711,
        0.5838, 0.7246, 0.6105, 0.5799, 0.5927, 0.5397, 0.5632, 0.5702, 0.5373,
        0.5687, 0.7239, 0.6753, 0.5849, 0.5641, 0.6259, 0.5952, 0.5622, 0.7177,
        0.7182, 0.6793, 0.5960, 0.5965])",293,"tensor([0.7000, 0.7000, 0.7000, 0.6000, 0.8000, 0.7000, 0.6000, 0.8000, 0.7000,
        0.7000, 0.6000, 0.6000, 0.7000, 0.7000, 0.8000, 0.6000, 1.0000, 1.0000,
        0.7000, 0.6000, 0.7000, 0.7000, 0.8000, 0.8000, 0.7000, 0.7000, 0.6000,
        0.7000, 0.7000, 0.6000, 0.7000])","tensor([0.4990, 0.5000, 0.5000, 0.5020, 0.5000, 0.5000, 0.5000, 0.5005, 0.5485,
        0.5000, 0.5000, 0.5010, 0.5000, 0.5000, 0.5425, 0.5985, 0.6870, 0.7025,
        0.5000, 0.4995, 0.5000, 0.5000, 0.5000, 0.6450, 0.5000, 0.5100, 0.5280,
        0.5000, 0.5000, 0.5000, 0.5000])",0.7096774578094482,0.5246451497077942,0.7260869145393372,0.7260869145393372,0.6624999642372131,0.5034999847412109,0.7175,1.5105388164520264
7,67,39,"tensor([0.6539, 0.6947, 0.6568, 0.6603, 0.6287, 0.6119, 0.6077, 0.7191, 0.6117,
        0.7073, 0.5396, 0.6921, 0.6108, 0.7587, 0.5183, 0.7176, 0.5585, 0.5759,
        0.5584, 0.7694, 0.7388, 0.7414, 0.6209, 0.6431, 0.7567, 0.6254, 0.7051,
        0.5216, 0.6619, 0.5974, 0.5946, 0.5446, 0.5888, 0.6102, 0.6782, 0.6101,
        0.4915, 0.7319, 0.5499])",321,"tensor([0.6000, 0.8000, 0.5000, 0.7000, 0.9000, 0.9000, 0.7000, 0.8000, 0.7000,
        0.7000, 0.9000, 0.7000, 0.7000, 0.6000, 0.8000, 0.6000, 0.9000, 0.8000,
        0.7000, 0.6000, 0.7000, 0.6000, 0.8000, 0.5000, 0.6000, 0.8000, 0.5000,
        0.9000, 0.7000, 0.6000, 0.7000, 1.0000, 0.8000, 0.7000, 0.6000, 0.6000,
        0.9000, 0.7000, 0.7000])","tensor([0.5000, 0.4985, 0.5000, 0.5080, 0.6780, 0.6190, 0.5000, 0.4675, 0.5000,
        0.5000, 0.6745, 0.5000, 0.5040, 0.5000, 0.5345, 0.5000, 0.7250, 0.6735,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.5155, 0.5000, 0.5000, 0.5035,
        0.6565, 0.5000, 0.5010, 0.5000, 0.6940, 0.6185, 0.5000, 0.5000, 0.5080,
        0.5000, 0.5000, 0.5670])",0.7179486751556396,0.5370897650718689,0.7652173042297363,0.7652173042297363,0.6500000357627869,0.49818748235702515,0.5865,1.7367944717407227
8,68,49,"tensor([0.6613, 0.6733, 0.6614, 0.6502, 0.6462, 0.6323, 0.5805, 0.6924, 0.7026,
        0.5798, 0.6247, 0.6730, 0.5590, 0.6212, 0.5754, 0.6286, 0.5870, 0.6335,
        0.6881, 0.5563, 0.6583, 0.5805, 0.5565, 0.6258, 0.6950, 0.6156, 0.5797,
        0.6080, 0.5782, 0.5774, 0.6332, 0.5619, 0.5805, 0.7485, 0.6902, 0.6020,
        0.5973, 0.7032, 0.7214, 0.6132, 0.5834, 0.6184, 0.5456, 0.7438, 0.6359,
        0.7113, 0.5689, 0.7375, 0.5611])",340,"tensor([0.6000, 0.4000, 0.6000, 0.7000, 0.7000, 0.8000, 0.7000, 0.5000, 0.5000,
        0.8000, 0.7000, 0.8000, 1.0000, 0.6000, 0.7000, 0.6000, 0.6000, 0.8000,
        0.6000, 0.7000, 0.8000, 0.6000, 0.8000, 0.7000, 0.7000, 1.0000, 0.7000,
        0.8000, 1.0000, 0.9000, 0.6000, 0.7000, 0.7000, 0.9000, 0.6000, 0.6000,
        0.9000, 0.6000, 0.6000, 0.7000, 0.8000, 0.7000, 0.7000, 0.6000, 0.8000,
        0.9000, 0.9000, 0.6000, 0.7000])","tensor([0.5000, 0.4995, 0.4880, 0.5240, 0.5000, 0.5000, 0.5000, 0.5035, 0.5005,
        0.5000, 0.5000, 0.5000, 0.5000, 0.5060, 0.5695, 0.5055, 0.5260, 0.6595,
        0.5000, 0.5375, 0.5000, 0.5060, 0.5000, 0.5385, 0.5000, 0.6555, 0.5000,
        0.5000, 0.7275, 0.7315, 0.5000, 0.5000, 0.5000, 0.4020, 0.5000, 0.5640,
        0.6210, 0.5000, 0.5000, 0.5615, 0.5000, 0.5000, 0.5455, 0.5210, 0.7105,
        0.5785, 0.6960, 0.5000, 0.5075])",0.7142857313156128,0.5344081521034241,0.7363635897636414,0.7363635897636414,0.6687499284744263,0.49956250190734863,0.7335,3.0303432941436768
9,65,43,"tensor([0.6483, 0.6273, 0.5724, 0.5745, 0.5156, 0.5954, 0.6600, 0.5190, 0.5261,
        0.7215, 0.6998, 0.5423, 0.7489, 0.5513, 0.5496, 0.5267, 0.6115, 0.5744,
        0.5699, 0.5861, 0.6319, 0.5272, 0.6317, 0.5234, 0.6437, 0.7334, 0.6855,
        0.5422, 0.5927, 0.5752, 0.5511, 0.6937, 0.7228, 0.5865, 0.5181, 0.7444,
        0.6215, 0.7482, 0.6184, 0.5703, 0.5592, 0.6500, 0.6782])",362,"tensor([0.5000, 0.6000, 0.6000, 0.8000, 0.9000, 0.8000, 0.8000, 0.8000, 0.9000,
        0.6000, 0.6000, 0.9000, 0.6000, 0.8000, 0.7000, 0.9000, 0.7000, 0.6000,
        1.0000, 0.6000, 0.8000, 1.0000, 1.0000, 0.8000, 0.8000, 0.6000, 0.9000,
        0.8000, 0.7000, 1.0000, 0.7000, 0.6000, 0.6000, 0.8000, 0.7000, 0.9000,
        0.7000, 0.6000, 0.7000, 0.9000, 0.9000, 0.7000, 0.7000])","tensor([0.5000, 0.5015, 0.5010, 0.5000, 0.5000, 0.5000, 0.5000, 0.5000, 0.6965,
        0.5000, 0.5000, 0.6785, 0.5000, 0.5175, 0.7020, 0.5420, 0.5000, 0.5020,
        0.7115, 0.5030, 0.5000, 0.7215, 0.6990, 0.5000, 0.5000, 0.5000, 0.5680,
        0.5000, 0.7390, 0.7410, 0.5005, 0.5000, 0.5000, 0.5000, 0.6955, 0.4710,
        0.5000, 0.5000, 0.5000, 0.6955, 0.6225, 0.5000, 0.5000])",0.7581394910812378,0.5536976456642151,0.784375011920929,0.784375011920929,0.6818181276321411,0.5035454630851746,0.752,2.0930066108703613
