round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6902564764022827,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,5.157816171646118
1,100,100,100,0,0,100,0.6854011416435242,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,4.0984203815460205
2,100,100,100,0,0,100,0.6823746562004089,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,5.406187534332275
3,100,100,100,0,0,100,0.6818022727966309,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,13.588818073272705
4,100,100,100,0,0,100,0.6769481897354126,0.4741666913032532,0.46335697174072266,0.4741666913032532,0.4741666913032532,0,0,0.46335697399527187,3.9668891429901123
5,100,100,100,0,0,100,0.6730851531028748,0.4791666865348816,0.46335697174072266,0.4791666865348816,0.4791666865348816,0,0,0.46335697399527187,3.8241848945617676
6,100,100,100,0,0,100,0.6702930331230164,0.4724999964237213,0.46344679594039917,0.4724999964237213,0.4724999964237213,0,0,0.46335697399527187,3.806243419647217
7,100,100,100,0,0,100,0.6669664978981018,0.4699999988079071,0.46468082070350647,0.4699999988079071,0.4699999988079071,0,0,0.46382978723404256,4.604111671447754
8,100,100,100,0,0,100,0.6622393131256104,0.4883333444595337,0.47146570682525635,0.4883333444595337,0.4883333444595337,0,0,0.4695035460992908,12.661487817764282
9,100,100,100,0,0,100,0.65892493724823,0.5241666436195374,0.49351298809051514,0.5241666436195374,0.5241666436195374,0,0,0.4921985815602837,5.298234224319458
10,100,100,100,0,0,100,0.6541677713394165,0.5699999928474426,0.5358960032463074,0.5699999928474426,0.5699999928474426,0,0,0.5309692671394799,13.526430368423462
11,100,100,100,0,0,100,0.6523358821868896,0.6158333420753479,0.598293125629425,0.6158333420753479,0.6158333420753479,0,0,0.6023640661938534,5.096994400024414
12,100,100,100,0,0,100,0.6486262679100037,0.669166624546051,0.6582695245742798,0.669166624546051,0.669166624546051,0,0,0.6591016548463356,12.833767652511597
13,100,100,100,0,0,100,0.6471062302589417,0.715833306312561,0.7166052460670471,0.715833306312561,0.715833306312561,0,0,0.7200945626477542,3.651031017303467
14,100,100,100,0,0,100,0.6432969570159912,0.7733333706855774,0.76706862449646,0.7733333706855774,0.7733333706855774,0,0,0.7683215130023641,4.136704206466675
15,100,100,100,0,0,100,0.6372333765029907,0.8341666460037231,0.8058014512062073,0.8341666460037231,0.8341666460037231,0,0,0.8056737588652483,4.320738315582275
16,100,100,100,0,0,100,0.6314157247543335,0.8558332920074463,0.8430496454238892,0.8558332920074463,0.8558332920074463,0,0,0.8439716312056738,3.6339950561523438
17,100,100,100,0,0,100,0.6278771758079529,0.8891667127609253,0.8721086978912354,0.8891667127609253,0.8891667127609253,0,0,0.8723404255319149,13.166767358779907
18,100,100,100,0,0,100,0.6256909966468811,0.893333375453949,0.8972623348236084,0.893333375453949,0.893333375453949,0,0,0.8983451536643026,3.9864401817321777
19,100,100,100,0,0,100,0.6159468293190002,0.9108332991600037,0.91318678855896,0.9108332991600037,0.9108332991600037,0,0,0.9153664302600473,3.7554266452789307
20,100,100,100,0,0,100,0.6168660521507263,0.9333332777023315,0.9279905557632446,0.9333332777023315,0.9333332777023315,0,0,0.9300236406619385,3.552147150039673
21,100,100,100,0,0,100,0.6086786389350891,0.93666672706604,0.9370023608207703,0.93666672706604,0.93666672706604,0,0,0.9380614657210402,3.450934648513794
22,100,100,100,0,0,100,0.6060178875923157,0.9608333110809326,0.9443168044090271,0.9608333110809326,0.9608333110809326,0,0,0.9437352245862884,12.158695936203003
23,100,100,100,0,0,100,0.599327027797699,0.9566667079925537,0.9520425200462341,0.9566667079925537,0.9566667079925537,0,0,0.9517730496453901,4.007685422897339
24,100,100,100,0,0,100,0.591869056224823,0.955833375453949,0.9582364559173584,0.955833375453949,0.955833375453949,0,0,0.9583924349881797,3.9425907135009766
25,100,100,100,0,0,100,0.5904333591461182,0.9641666412353516,0.9624680280685425,0.9641666412353516,0.9641666412353516,0,0,0.9631205673758865,4.4580981731414795
26,100,100,100,0,0,100,0.583367645740509,0.9750000238418579,0.9660944938659668,0.9750000238418579,0.9750000238418579,0,0,0.966903073286052,3.7707769870758057
27,100,100,100,0,0,100,0.5825338363647461,0.9750000834465027,0.9693286418914795,0.9750000834465027,0.9750000834465027,0,0,0.9687943262411347,3.164454460144043
28,100,100,100,0,0,100,0.5771890878677368,0.9675000905990601,0.9718061685562134,0.9675000905990601,0.9675000905990601,0,0,0.9721040189125295,11.225635528564453
29,100,100,100,0,0,100,0.574450671672821,0.970833420753479,0.9737304449081421,0.970833420753479,0.970833420753479,0,0,0.9739952718676123,3.308662176132202
30,100,100,100,0,0,100,0.5684471130371094,0.9791667461395264,0.9755224585533142,0.9791667461395264,0.9791667461395264,0,0,0.9754137115839243,3.6773569583892822
31,100,100,100,0,0,100,0.5636462569236755,0.9833333492279053,0.9772434830665588,0.9833333492279053,0.9833333492279053,0,0,0.9763593380614657,4.009702682495117
32,100,100,100,0,0,100,0.5604708194732666,0.9766666889190674,0.9786618947982788,0.9766666889190674,0.9766666889190674,0,0,0.9787234042553191,1.6044726371765137
33,100,100,100,0,0,100,0.5520426034927368,0.9841666221618652,0.980151355266571,0.9841666221618652,0.9841666221618652,0,0,0.9796690307328605,1.9751389026641846
34,100,100,100,0,0,100,0.5458859801292419,0.9808332920074463,0.9811111688613892,0.9808332920074463,0.9808332920074463,0,0,0.9810874704491725,1.4834153652191162
35,100,100,100,0,0,100,0.5385567545890808,0.9816667437553406,0.9820709228515625,0.9816667437553406,0.9816667437553406,0,0,0.9820330969267139,1.8963518142700195
36,100,100,100,0,0,100,0.5428434014320374,0.9800000786781311,0.9833852648735046,0.9800000786781311,0.9800000786781311,0,0,0.9829787234042553,1.7823576927185059
37,100,100,100,0,0,100,0.530716598033905,0.9883333444595337,0.9844444394111633,0.9883333444595337,0.9883333444595337,0,0,0.984869976359338,7.397713899612427
38,100,100,100,0,0,100,0.5309274792671204,0.9808333516120911,0.9854373335838318,0.9808333516120911,0.9808333516120911,0,0,0.9858156028368794,11.294355869293213
39,100,100,100,0,0,100,0.523147463798523,0.9858332872390747,0.9865437150001526,0.9858332872390747,0.9858332872390747,0,0,0.9862884160756501,4.056514501571655
40,100,100,100,0,0,100,0.5221304893493652,0.9825000166893005,0.9875319004058838,0.9825000166893005,0.9825000166893005,0,0,0.9867612293144208,3.2010128498077393
41,100,100,100,0,0,100,0.519007682800293,0.9858334064483643,0.9885485172271729,0.9858334064483643,0.9858334064483643,0,0,0.9881796690307328,3.1265501976013184
42,100,100,100,0,0,100,0.5109079480171204,0.98333340883255,0.9895981550216675,0.98333340883255,0.98333340883255,0,0,0.9900709219858156,3.2358593940734863
43,100,100,100,0,0,100,0.5084060430526733,0.9875000715255737,0.9903923869132996,0.9875000715255737,0.9875000715255737,0,0,0.991016548463357,3.761101722717285
44,100,100,100,0,0,100,0.5017324090003967,0.9883332848548889,0.991030752658844,0.9883332848548889,0.9883332848548889,0,0,0.9914893617021276,3.8237252235412598
45,100,100,100,0,0,100,0.49667853116989136,0.986666738986969,0.9914941191673279,0.986666738986969,0.986666738986969,0,0,0.9914893617021276,3.460350275039673
46,100,100,100,0,0,100,0.4996030330657959,0.9850000143051147,0.9918299317359924,0.9850000143051147,0.9850000143051147,0,0,0.9914893617021276,3.648405075073242
47,100,100,100,0,0,100,0.4948878586292267,0.9850000143051147,0.9921229481697083,0.9850000143051147,0.9850000143051147,0,0,0.9919621749408983,3.4295170307159424
48,100,100,100,0,0,100,0.48614010214805603,0.9933333396911621,0.9922695159912109,0.9933333396911621,0.9933333396911621,0,0,0.9919621749408983,3.7660911083221436
49,100,100,100,0,0,100,0.48230183124542236,0.9841667413711548,0.9924774765968323,0.9841667413711548,0.9841667413711548,0,0,0.992434988179669,3.6562700271606445
50,100,100,100,0,0,100,0.4823744297027588,0.9900000095367432,0.9929834604263306,0.9900000095367432,0.9900000095367432,0,0,0.9929078014184397,3.4849376678466797
51,100,100,100,0,0,100,0.47667965292930603,0.9916666150093079,0.9935224056243896,0.9916666150093079,0.9916666150093079,0,0,0.9933806146572104,3.307126522064209
52,100,100,100,0,0,100,0.47269225120544434,0.9900000095367432,0.9939337372779846,0.9900000095367432,0.9900000095367432,0,0,0.9943262411347518,3.4093708992004395
53,100,100,100,0,0,100,0.46706336736679077,0.9941667318344116,0.9943547248840332,0.9941667318344116,0.9941667318344116,0,0,0.9943262411347518,3.291835308074951
54,100,100,100,0,0,100,0.4608483910560608,0.9941666126251221,0.9946336150169373,0.9941666126251221,0.9941666126251221,0,0,0.9943262411347518,3.1591010093688965
55,100,100,100,0,0,100,0.45998772978782654,0.987500011920929,0.9948747158050537,0.987500011920929,0.987500011920929,0,0,0.9947990543735225,4.216387748718262
56,100,100,100,0,0,100,0.45547592639923096,0.9925000071525574,0.9950828552246094,0.9925000071525574,0.9925000071525574,0,0,0.9947990543735225,5.161730766296387
57,100,100,100,0,0,100,0.45841771364212036,0.9900000691413879,0.9953427314758301,0.9900000691413879,0.9900000691413879,0,0,0.9952718676122931,4.152697801589966
58,100,100,100,0,0,100,0.4507462978363037,0.9908333420753479,0.995555579662323,0.9908333420753479,0.9908333420753479,0,0,0.9957446808510638,3.9317357540130615
59,100,100,100,0,0,100,0.44476956129074097,0.9950000047683716,0.9958723187446594,0.9950000047683716,0.9950000047683716,0,0,0.9962174940898345,3.28666615486145
60,100,100,100,0,0,100,0.44455814361572266,0.9941666126251221,0.9959763884544373,0.9941666126251221,0.9941666126251221,0,0,0.9962174940898345,4.3976569175720215
61,100,100,100,0,0,100,0.44708412885665894,0.9900000095367432,0.9962365031242371,0.9900000095367432,0.9900000095367432,0,0,0.9962174940898345,3.620243787765503
62,100,100,100,0,0,100,0.4375230073928833,0.9908332824707031,0.9963971972465515,0.9908332824707031,0.9908332824707031,0,0,0.9962174940898345,11.72905445098877
63,100,100,100,0,0,100,0.4293668866157532,0.9950000047683716,0.9965484738349915,0.9950000047683716,0.9950000047683716,0,0,0.9966903073286052,4.216808080673218
64,100,100,100,0,0,100,0.43039393424987793,0.9916666150093079,0.9966619610786438,0.9916666150093079,0.9916666150093079,0,0,0.9966903073286052,4.497270584106445
65,100,100,100,0,0,100,0.42480313777923584,0.9941667318344116,0.9967281222343445,0.9941667318344116,0.9941667318344116,0,0,0.9966903073286052,3.1365807056427
66,100,100,100,0,0,100,0.4213424026966095,0.99916672706604,0.9967989921569824,0.99916672706604,0.99916672706604,0,0,0.9966903073286052,4.051385879516602
67,100,100,100,0,0,100,0.4223140478134155,0.9933332800865173,0.9969409108161926,0.9933332800865173,0.9933332800865173,0,0,0.9966903073286052,4.50640869140625
68,100,100,100,0,0,100,0.4183768033981323,0.9966667294502258,0.9970354437828064,0.9966667294502258,0.9966667294502258,0,0,0.9966903073286052,4.187885284423828
69,100,100,100,0,0,100,0.41180887818336487,0.9958333373069763,0.997078001499176,0.9958333373069763,0.9958333373069763,0,0,0.9971631205673759,3.8902299404144287
70,100,100,100,0,0,100,0.4114137291908264,0.9916666150093079,0.9972056746482849,0.9916666150093079,0.9916666150093079,0,0,0.9971631205673759,3.9372775554656982
71,100,100,100,0,0,100,0.40854790806770325,0.9900000691413879,0.9973239302635193,0.9900000691413879,0.9900000691413879,0,0,0.9976359338061466,3.8949122428894043
72,100,100,100,0,0,100,0.40617141127586365,0.9933334589004517,0.9974516034126282,0.9933334589004517,0.9933334589004517,0,0,0.9976359338061466,4.234606027603149
73,100,100,100,0,0,100,0.4020453691482544,1.0,0.9975036382675171,1.0,1.0,0,0,0.9976359338061466,4.177778244018555
74,100,100,100,0,0,100,0.39688506722450256,0.9941666126251221,0.9975698590278625,0.9941666126251221,0.9941666126251221,0,0,0.9976359338061466,4.029003143310547
75,100,100,100,0,0,100,0.39599254727363586,0.9966667294502258,0.997612476348877,0.9966667294502258,0.9966667294502258,0,0,0.9976359338061466,4.6126017570495605
76,100,100,100,0,0,100,0.3991647958755493,0.9950000047683716,0.997636079788208,0.9950000047683716,0.9950000047683716,0,0,0.9976359338061466,4.391849040985107
