round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.691129207611084,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,9.70308232307434
1,93,71,65,6,0,71,0.6886187791824341,0.48591548204421997,0.46335697174072266,0.48591548204421997,0.48591548204421997,0,0,0.46335697399527187,17.81165647506714
2,93,56,53,3,0,56,0.6883296370506287,0.4732142984867096,0.46335703134536743,0.4732142984867096,0.4732142984867096,0,0,0.46335697399527187,14.09446120262146
3,97,57,54,3,0,57,0.6872926950454712,0.46929824352264404,0.46335703134536743,0.46929824352264404,0.46929824352264404,0,0,0.46335697399527187,4.334716796875
4,84,52,46,6,0,52,0.6875648498535156,0.4503205120563507,0.46335697174072266,0.4503205120563507,0.4503205120563507,0,0,0.46335697399527187,5.379819869995117
5,81,25,15,10,0,25,0.6845867037773132,0.49000003933906555,0.46335697174072266,0.49000003933906555,0.49000003933906555,0,0,0.46335697399527187,7.558014392852783
6,74,52,44,8,0,52,0.6848118901252747,0.45673078298568726,0.46335697174072266,0.45673078298568726,0.45673078298568726,0,0,0.46335697399527187,4.693095922470093
7,73,64,52,12,0,64,0.6830469369888306,0.4661458134651184,0.46335697174072266,0.4661458134651184,0.4661458134651184,0,0,0.46335697399527187,17.732632398605347
8,70,46,34,12,0,46,0.6827329993247986,0.4637681245803833,0.46335694193840027,0.4637681245803833,0.4637681245803833,0,0,0.46335697399527187,6.177251815795898
9,67,21,15,6,0,21,0.67955082654953,0.5000000596046448,0.46335697174072266,0.5000000596046448,0.5000000596046448,0,0,0.46335697399527187,2.7762176990509033
10,64,29,13,16,0,29,0.6860184073448181,0.43103447556495667,0.46335697174072266,0.43103447556495667,0.43103447556495667,0,0,0.46335697399527187,11.964966773986816
11,57,11,0,11,0,11,0.6860462427139282,0.42424246668815613,0.46335697174072266,0.42424246668815613,0.42424246668815613,0,0,0.46335697399527187,4.659109354019165
12,54,47,31,16,0,47,0.6815518140792847,0.46099284291267395,0.4633569121360779,0.46099284291267395,0.46099284291267395,0,0,0.46335697399527187,5.514370441436768
13,56,41,22,19,0,41,0.6820005178451538,0.45121949911117554,0.46335694193840027,0.45121949911117554,0.45121949911117554,0,0,0.46335697399527187,13.13196063041687
14,54,22,0,22,0,22,0.6836249828338623,0.4772726893424988,0.46335697174072266,0.4772726893424988,0.4772726893424988,0,0,0.46335697399527187,8.478431224822998
15,48,48,23,25,0,48,0.681154191493988,0.4739583432674408,0.46335697174072266,0.4739583432674408,0.4739583432674408,0,0,0.46335697399527187,13.536336183547974
16,44,25,3,22,0,25,0.6830300688743591,0.46666663885116577,0.46335697174072266,0.46666663885116577,0.46666663885116577,0,0,0.46335697399527187,8.400969505310059
17,42,29,15,14,0,29,0.6835814714431763,0.4252873361110687,0.46335697174072266,0.4252873361110687,0.4252873361110687,0,0,0.46335697399527187,8.682215929031372
18,46,25,7,18,0,25,0.6810635924339294,0.4766666293144226,0.46335697174072266,0.4766666293144226,0.4766666293144226,0,0,0.46335697399527187,4.78674840927124
19,58,61,32,29,0,61,0.6781774759292603,0.4890710413455963,0.46335703134536743,0.4890710413455963,0.4890710413455963,0,0,0.46335697399527187,11.442150115966797
20,46,43,16,27,0,43,0.6803745627403259,0.47480618953704834,0.46335700154304504,0.47480618953704834,0.47480618953704834,0,0,0.46335697399527187,13.520214557647705
21,39,22,0,22,0,22,0.6793223023414612,0.5189394354820251,0.46335697174072266,0.5189394354820251,0.5189394354820251,0,0,0.46335697399527187,7.547388792037964
22,47,29,0,29,0,29,0.6815921068191528,0.4712643325328827,0.46335697174072266,0.4712643325328827,0.4712643325328827,0,0,0.46335697399527187,4.132269859313965
23,42,33,0,33,0,33,0.6801721453666687,0.47979792952537537,0.46335697174072266,0.47979792952537537,0.47979792952537537,0,0,0.46335697399527187,5.8590333461761475
24,43,45,2,43,0,45,0.6815108060836792,0.47962963581085205,0.46335694193840027,0.47962963581085205,0.47962963581085205,0,0,0.46335697399527187,7.510249853134155
25,39,36,0,36,0,36,0.6824263334274292,0.4583333432674408,0.46335697174072266,0.4583333432674408,0.4583333432674408,0,0,0.46335697399527187,11.679405689239502
26,45,36,0,36,0,36,0.6860990524291992,0.4166666865348816,0.46335697174072266,0.4166666865348816,0.4166666865348816,0,0,0.46335697399527187,12.379888772964478
27,45,36,0,36,0,36,0.6786143779754639,0.49768516421318054,0.46335697174072266,0.49768516421318054,0.49768516421318054,0,0,0.46335697399527187,9.93095088005066
28,41,49,15,34,0,49,0.6775487065315247,0.488095223903656,0.46335694193840027,0.488095223903656,0.488095223903656,0,0,0.46335697399527187,5.546528339385986
29,45,54,13,41,0,54,0.6798991560935974,0.458333283662796,0.46335697174072266,0.458333283662796,0.458333283662796,0,0,0.46335697399527187,15.087005853652954
30,38,47,12,35,0,47,0.6766218543052673,0.5,0.4633569121360779,0.5,0.5,0,0,0.46335697399527187,13.309951782226562
31,35,50,0,50,0,50,0.6796886324882507,0.46666666865348816,0.46335697174072266,0.46666666865348816,0.46666666865348816,0,0,0.46335697399527187,14.462929248809814
32,41,57,17,40,0,57,0.6791977286338806,0.46052631735801697,0.46335703134536743,0.46052631735801697,0.46052631735801697,0,0,0.46335697399527187,15.061104536056519
33,41,40,0,40,0,40,0.6788861155509949,0.4791666865348816,0.46335697174072266,0.4791666865348816,0.4791666865348816,0,0,0.46335697399527187,11.241735935211182
34,38,52,18,34,0,52,0.6766623854637146,0.4759615361690521,0.46335697174072266,0.4759615361690521,0.4759615361690521,0,0,0.46335697399527187,13.228503942489624
35,50,36,0,36,0,36,0.6826330423355103,0.4120370149612427,0.46335697174072266,0.4120370149612427,0.4120370149612427,0,0,0.46335697399527187,4.7803356647491455
36,53,33,0,33,0,33,0.6791513562202454,0.4621211886405945,0.46335697174072266,0.4621211886405945,0.4621211886405945,0,0,0.46335697399527187,8.458101272583008
37,46,63,19,44,0,63,0.6762422323226929,0.4722221791744232,0.4633570611476898,0.4722221791744232,0.4722221791744232,0,0,0.46335697399527187,8.257994890213013
38,53,41,0,41,0,41,0.6746740341186523,0.5,0.46335694193840027,0.5,0.5,0,0,0.46335697399527187,3.8107948303222656
39,51,67,30,37,0,67,0.6782398819923401,0.4527362883090973,0.46335697174072266,0.4527362883090973,0.4527362883090973,0,0,0.46335697399527187,16.937125205993652
40,48,31,0,31,0,31,0.6739525198936462,0.5080645084381104,0.46335697174072266,0.5080645084381104,0.5080645084381104,0,0,0.46335697399527187,3.536719799041748
41,53,37,3,34,0,37,0.6777803897857666,0.45495498180389404,0.46335694193840027,0.45495498180389404,0.45495498180389404,0,0,0.46335697399527187,10.032689571380615
42,39,65,18,47,0,65,0.6770923137664795,0.4602563977241516,0.46335697174072266,0.4602563977241516,0.4602563977241516,0,0,0.46335697399527187,11.417728424072266
43,44,54,13,41,0,54,0.6778214573860168,0.44598767161369324,0.46335697174072266,0.44598767161369324,0.44598767161369324,0,0,0.46335697399527187,5.407063722610474
44,45,40,0,40,0,40,0.6771892309188843,0.4583333432674408,0.46335697174072266,0.4583333432674408,0.4583333432674408,0,0,0.46335697399527187,3.168666362762451
45,47,31,0,31,0,31,0.6777204871177673,0.45967742800712585,0.46335697174072266,0.45967742800712585,0.45967742800712585,0,0,0.46335697399527187,3.0938947200775146
46,37,42,0,42,0,42,0.6760162115097046,0.4682539999485016,0.4633569121360779,0.4682539999485016,0.4682539999485016,0,0,0.46335697399527187,4.026011943817139
