round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,6,"[1.382181167602539, 1.3679786026477814, 1.373536467552185, 1.3794043958187103, 1.3857151865959167, 1.369062215089798]",4,"[0.47619047619047616, 0.49206349206349204, 0.6587301587301587, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.49338624338624343,0.4633569739952719,0.46335697399527187,0.10206794738769531
1,10,10,"[1.373248040676117, 1.353857696056366, 1.4033391177654266, 1.3755096197128296, 1.3930357694625854, 1.3621276319026947, 1.3707145154476166, 1.3927038311958313, 1.37287238240242, 1.3934706449508667]",4,"[0.5079365079365079, 0.46825396825396826, 0.5396825396825397, 0.4444444444444444, 0.5793650793650794, 0.4523809523809524, 0.46825396825396826, 0.5634920634920635, 0.3968253968253968, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5007936507936508,0.463356973995272,0.46335697399527187,0.36930084228515625
2,9,5,"[1.3535814583301544, 1.3481222689151764, 1.3463364839553833, 1.399328887462616, 1.3547960221767426]",8,"[0.48412698412698413, 0.5079365079365079, 0.5, 0.5793650793650794, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5206349206349207,0.4633569739952719,0.46335697399527187,0.06916308403015137
3,9,7,"[1.404417634010315, 1.341273695230484, 1.3366880416870117, 1.329503983259201, 1.3369337320327759, 1.348829060792923, 1.3413002490997314]",10,"[0.5238095238095238, 0.4523809523809524, 0.47619047619047616, 0.46825396825396826, 0.5158730158730159, 0.4603174603174603, 0.48412698412698413]","[0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46382978723404256]",0.4829931972789116,0.4635596082404593,0.46335697399527187,0.10794806480407715
4,9,8,"[1.3813373446464539, 1.3798331320285797, 1.336776077747345, 1.4274973571300507, 1.341154158115387, 1.4488270580768585, 1.3340196907520294, 1.320824921131134]",11,"[0.5396825396825397, 0.4444444444444444, 0.46825396825396826, 0.5793650793650794, 0.4523809523809524, 0.5079365079365079, 0.48412698412698413, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.491725768321513, 0.46335697399527187, 0.48936170212765956, 0.47423167848699765]",0.498015873015873,0.4715721040189126,0.466193853427896,0.2700200080871582
5,9,10,"[1.3305021226406097, 1.332542598247528, 1.320040225982666, 1.3069706559181213, 1.309631496667862, 1.3274804055690765, 1.3183278143405914, 1.316154271364212, 1.3327806890010834, 1.304507166147232]",10,"[0.5, 0.47619047619047616, 0.48412698412698413, 0.5238095238095238, 0.5158730158730159, 0.47619047619047616, 0.5714285714285714, 0.5476190476190477, 0.5, 0.5555555555555556]","[0.46335697399527187, 0.47754137115839246, 0.4761229314420804, 0.5153664302600472, 0.5163120567375886, 0.5432624113475177, 0.518676122931442, 0.5210401891252955, 0.5375886524822695, 0.509692671394799]",0.515079365079365,0.5078959810874704,0.5111111111111111,0.0866098403930664
6,8,8,"[1.3544380068778992, 1.3599356412887573, 1.3565030694007874, 1.4622416496276855, 1.2990833520889282, 1.3132081925868988, 1.4591532945632935, 1.475329726934433]",10,"[0.6111111111111112, 0.46825396825396826, 0.49206349206349204, 0.5238095238095238, 0.6507936507936508, 0.5952380952380952, 0.5317460317460317, 0.42063492063492064]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.4652482269503546, 0.6397163120567376, 0.6709219858156028, 0.466193853427896, 0.4699763593380615]",0.5367063492063492,0.5127659574468085,0.4699763593380615,0.1351480484008789
7,10,9,"[1.3387924432754517, 1.463546097278595, 1.2870021760463715, 1.4558461606502533, 1.3048378229141235, 1.311508983373642, 1.4415653049945831, 1.310631275177002, 1.3207672834396362]",11,"[0.5, 0.5, 0.6428571428571429, 0.47619047619047616, 0.5634920634920635, 0.5952380952380952, 0.5317460317460317, 0.5793650793650794, 0.5396825396825397]","[0.48652482269503544, 0.46335697399527187, 0.6222222222222222, 0.46382978723404256, 0.5224586288416075, 0.5560283687943263, 0.46335697399527187, 0.5196217494089834, 0.5588652482269504]",0.5476190476190477,0.5173627528237457,0.5115839243498818,0.16482782363891602
8,10,9,"[1.3548426628112793, 1.3770805895328522, 1.4747792780399323, 1.470545768737793, 1.3080033361911774, 1.471384733915329, 1.314350962638855, 1.317321628332138, 1.304721623659134]",12,"[0.48412698412698413, 0.36507936507936506, 0.49206349206349204, 0.5079365079365079, 0.6111111111111112, 0.47619047619047616, 0.5952380952380952, 0.6349206349206349, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.47044917257683216, 0.4666666666666667, 0.6572104018912529, 0.4699763593380615, 0.6761229314420804, 0.6619385342789598, 0.6449172576832152]",0.5282186948853616,0.5526661413186235,0.5985815602836879,0.30533719062805176
9,8,11,"[1.4232759177684784, 1.2923715114593506, 1.3078754842281342, 1.287492960691452, 1.294428825378418, 1.3063537776470184, 1.2973748743534088, 1.481041043996811, 1.4838079810142517, 1.2819150388240814, 1.2880458533763885]",9,"[0.5634920634920635, 0.6031746031746031, 0.626984126984127, 0.6904761904761905, 0.7301587301587301, 0.6507936507936508, 0.7857142857142857, 0.5158730158730159, 0.5634920634920635, 0.7222222222222222, 0.7936507936507936]","[0.46335697399527187, 0.6203309692671395, 0.6553191489361702, 0.715839243498818, 0.7115839243498818, 0.7229314420803783, 0.7380614657210401, 0.48936170212765956, 0.49030732860520093, 0.7125295508274232, 0.7215130023640662]",0.6587301587301587,0.6401031592520955,0.6898345153664303,0.17636513710021973
10,9,8,"[1.4624759554862976, 1.2730056643486023, 1.3142871260643005, 1.2740774750709534, 1.29645237326622, 1.4794760346412659, 1.4767626225948334, 1.285487413406372]",10,"[0.5317460317460317, 0.746031746031746, 0.7619047619047619, 0.8174603174603174, 0.8095238095238095, 0.42063492063492064, 0.5, 0.8095238095238095]","[0.466193853427896, 0.7900709219858156, 0.8208037825059101, 0.791016548463357, 0.8094562647754137, 0.5513002364066194, 0.5479905437352246, 0.8]",0.6746031746031745,0.6971040189125295,0.783451536643026,0.2604539394378662
