round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.6958815455436707,0.5805554986000061,0.5006666779518127,0.5805554986000061,0.5805554986000061,0,0,0.5,0.3406064510345459
1,96,74,68,6,0,74,0.6830178499221802,0.6202703714370728,0.5071689486503601,0.6202703714370728,0.6202703714370728,0,0,0.5,1.0555870532989502
2,96,59,56,3,0,59,0.6710899472236633,0.6644067168235779,0.5108559131622314,0.6644067168235779,0.6644067168235779,0,0,0.5,0.8469994068145752
3,90,50,47,3,0,50,0.6561781167984009,0.6580000519752502,0.5221999883651733,0.6580000519752502,0.6580000519752502,0,0,0.5,0.4843573570251465
4,80,40,34,6,0,40,0.6458238363265991,0.6574999690055847,0.534387469291687,0.6574999690055847,0.6574999690055847,0,0,0.511,0.489727258682251
5,84,66,57,9,0,66,0.6336825489997864,0.6651514768600464,0.5280606150627136,0.6651514768600464,0.6651514768600464,0,0,0.508,1.5858426094055176
6,83,37,30,7,0,37,0.6446748971939087,0.6864864826202393,0.5289594531059265,0.6864864826202393,0.6864864826202393,0,0,0.5,0.48711299896240234
7,73,44,37,7,0,44,0.6281611919403076,0.6954545378684998,0.562693178653717,0.6954545378684998,0.6954545378684998,0,0,0.5275,1.4863338470458984
8,61,21,8,13,0,21,0.6317200660705566,0.69047611951828,0.5271905064582825,0.69047611951828,0.69047611951828,0,0,0.5635,1.0340924263000488
9,60,6,0,6,0,6,0.6376320719718933,0.5833333730697632,0.5053333640098572,0.5833333730697632,0.5833333730697632,0,0,0.5,0.3093857765197754
10,61,15,4,11,0,15,0.6409140229225159,0.6466666460037231,0.5112333297729492,0.6466666460037231,0.6466666460037231,0,0,0.5,0.6142332553863525
11,55,48,34,14,0,48,0.6154611706733704,0.6937499642372131,0.5761145949363708,0.6937499642372131,0.6937499642372131,0,0,0.5245,0.6256985664367676
12,55,19,0,19,0,19,0.6426047086715698,0.699999988079071,0.5237894654273987,0.699999988079071,0.699999988079071,0,0,0.5575,0.6814372539520264
13,61,20,0,20,0,20,0.6280882954597473,0.6850000023841858,0.5204750299453735,0.6850000023841858,0.6850000023841858,0,0,0.5275,0.5768160820007324
14,44,25,0,25,0,25,0.6188094019889832,0.6679999828338623,0.553820013999939,0.6679999828338623,0.6679999828338623,0,0,0.5075,0.5645215511322021
15,47,27,0,27,0,27,0.615135908126831,0.640740692615509,0.5257222056388855,0.640740692615509,0.640740692615509,0,0,0.4995,0.7943465709686279
16,43,38,11,27,0,38,0.6122695803642273,0.7000000476837158,0.5550262928009033,0.7000000476837158,0.7000000476837158,0,0,0.5205,1.0968832969665527
17,47,37,20,17,0,37,0.5821955800056458,0.6702703237533569,0.5555540919303894,0.6702703237533569,0.6702703237533569,0,0,0.524,1.3035502433776855
18,45,44,16,28,0,44,0.6113547086715698,0.6545454859733582,0.5319886803627014,0.6545454859733582,0.6545454859733582,0,0,0.5,1.2094910144805908
19,50,52,24,28,0,52,0.6051594018936157,0.6596154570579529,0.5673172473907471,0.6596154570579529,0.6596154570579529,0,0,0.518,1.0294561386108398
20,44,37,1,36,0,37,0.6272180080413818,0.6351351141929626,0.539270281791687,0.6351351141929626,0.6351351141929626,0,0,0.507,1.324822187423706
21,44,24,0,24,0,24,0.607931911945343,0.6791667342185974,0.5443958640098572,0.6791667342185974,0.6791667342185974,0,0,0.547,0.8141274452209473
22,44,45,17,28,0,45,0.6091502904891968,0.6177777647972107,0.5426222085952759,0.6177777647972107,0.6177777647972107,0,0,0.5005,1.1185626983642578
23,31,36,0,36,0,36,0.6139319539070129,0.6888888478279114,0.5630000233650208,0.6888888478279114,0.6888888478279114,0,0,0.569,1.1151306629180908
24,40,38,0,38,0,38,0.6243093609809875,0.6526315808296204,0.5312763452529907,0.6526315808296204,0.6526315808296204,0,0,0.5,1.081322193145752
25,48,50,9,41,0,50,0.6045873761177063,0.6499999761581421,0.546019971370697,0.6499999761581421,0.6499999761581421,0,0,0.5075,1.0996778011322021
26,41,55,15,40,0,55,0.615845263004303,0.6218181848526001,0.5367181897163391,0.6218181848526001,0.6218181848526001,0,0,0.5015,2.6491353511810303
27,40,35,0,35,0,35,0.6177111864089966,0.6657143235206604,0.5453856587409973,0.6657143235206604,0.6657143235206604,0,0,0.507,0.7134795188903809
28,44,47,6,41,0,47,0.61276775598526,0.6340425610542297,0.5254255533218384,0.6340425610542297,0.6340425610542297,0,0,0.5,2.870358467102051
29,37,48,11,37,0,48,0.5980499982833862,0.6583333015441895,0.5560416579246521,0.6583333015441895,0.6583333015441895,0,0,0.511,2.7058987617492676
30,38,37,0,37,0,37,0.5976613759994507,0.6594595313072205,0.5610540509223938,0.6594595313072205,0.6594595313072205,0,0,0.509,1.602792501449585
31,46,70,20,50,0,70,0.6016027331352234,0.6785714030265808,0.5454071760177612,0.6785714030265808,0.6785714030265808,0,0,0.5,2.5365231037139893
32,50,58,24,34,0,58,0.5897141695022583,0.7155172228813171,0.557120680809021,0.7155172228813171,0.7155172228813171,0,0,0.5,1.2159793376922607
33,50,62,25,37,0,62,0.5757243037223816,0.6758064031600952,0.5589516162872314,0.6758064031600952,0.6758064031600952,0,0,0.5,1.6427206993103027
34,52,32,0,32,0,32,0.6030977964401245,0.65625,0.5534218549728394,0.65625,0.65625,0,0,0.5115,1.9260146617889404
35,44,47,7,40,0,47,0.5811744928359985,0.6425531506538391,0.5409042835235596,0.6425531506538391,0.6425531506538391,0,0,0.503,1.4269154071807861
36,49,54,22,32,0,54,0.5825307965278625,0.6629630327224731,0.5619259476661682,0.6629630327224731,0.6629630327224731,0,0,0.501,1.220594882965088
37,43,47,0,47,0,47,0.5851051807403564,0.6553191542625427,0.5516169667243958,0.6553191542625427,0.6553191542625427,0,0,0.4995,1.4169549942016602
38,43,53,7,46,0,53,0.5819159746170044,0.6849057078361511,0.5662264227867126,0.6849057078361511,0.6849057078361511,0,0,0.5045,1.6735846996307373
39,52,59,28,31,0,59,0.5754097104072571,0.6610168814659119,0.55961012840271,0.6610168814659119,0.6610168814659119,0,0,0.5,0.985344648361206
40,52,38,0,38,0,38,0.5762760639190674,0.6552631258964539,0.5464605689048767,0.6552631258964539,0.6552631258964539,0,0,0.5,1.9671053886413574
41,43,44,0,44,0,44,0.5887067317962646,0.7249999642372131,0.5920113325119019,0.7249999642372131,0.7249999642372131,0,0,0.506,1.0214502811431885
42,53,46,0,46,0,46,0.559490978717804,0.6739130616188049,0.5576739311218262,0.6739130616188049,0.6739130616188049,0,0,0.5025,1.2126429080963135
43,44,62,17,45,0,62,0.5783141255378723,0.6645161509513855,0.5601773858070374,0.6645161509513855,0.6645161509513855,0,0,0.5,1.7883944511413574
44,45,28,0,28,0,28,0.5651968121528625,0.6428571343421936,0.5627142786979675,0.6428571343421936,0.6428571343421936,0,0,0.5075,0.9509015083312988
45,50,42,0,42,0,42,0.5572689771652222,0.6642856597900391,0.5712500214576721,0.6642856597900391,0.6642856597900391,0,0,0.5055,0.8429241180419922
46,46,51,25,26,0,51,0.551654040813446,0.6588234901428223,0.5630784034729004,0.6588234901428223,0.6588234901428223,0,0,0.5015,0.9568729400634766
47,42,56,0,56,0,56,0.5596863031387329,0.6767857670783997,0.5968928933143616,0.6767857670783997,0.6767857670783997,0,0,0.606,1.9455039501190186
48,47,37,0,37,0,37,0.5541890859603882,0.6189189553260803,0.5422702431678772,0.6189189553260803,0.6189189553260803,0,0,0.5025,0.703728437423706
49,49,40,0,40,0,40,0.5617691874504089,0.6625000238418579,0.5788124799728394,0.6625000238418579,0.6625000238418579,0,0,0.5285,0.7823119163513184
50,34,33,0,33,0,33,0.5678583979606628,0.7030303478240967,0.5746061205863953,0.7030303478240967,0.7030303478240967,0,0,0.5025,0.6658897399902344
51,45,35,0,35,0,35,0.5721704959869385,0.6399999856948853,0.5718142986297607,0.6399999856948853,0.6399999856948853,0,0,0.5045,0.9192895889282227
52,45,39,4,35,0,39,0.5649813413619995,0.6384615898132324,0.5759102702140808,0.6384615898132324,0.6384615898132324,0,0,0.5085,0.7917189598083496
53,47,34,0,34,0,34,0.567449688911438,0.6499999761581421,0.5424265265464783,0.6499999761581421,0.6499999761581421,0,0,0.5015,0.9705467224121094
54,31,47,0,47,0,47,0.5707623958587646,0.6361702680587769,0.5548830628395081,0.6361702680587769,0.6361702680587769,0,0,0.5,0.7111313343048096
55,45,47,20,27,0,47,0.5505706667900085,0.7085106372833252,0.5880318880081177,0.7085106372833252,0.7085106372833252,0,0,0.5155,1.4419939517974854
56,36,26,0,26,0,26,0.5718698501586914,0.6307693123817444,0.5599423050880432,0.6307693123817444,0.6307693123817444,0,0,0.508,0.9318547248840332
57,41,47,11,36,0,47,0.548897385597229,0.6893616318702698,0.5860850811004639,0.6893616318702698,0.6893616318702698,0,0,0.5085,2.8805971145629883
58,44,39,0,39,0,39,0.5753085613250732,0.6435896754264832,0.579153835773468,0.6435896754264832,0.6435896754264832,0,0,0.5055,2.038057804107666
59,43,33,0,33,0,33,0.5357381701469421,0.6515150666236877,0.565803050994873,0.6515150666236877,0.6515150666236877,0,0,0.5,1.9027271270751953
60,49,65,27,38,0,65,0.5593999028205872,0.6646153330802917,0.5811692476272583,0.6646153330802917,0.6646153330802917,0,0,0.503,1.2924678325653076
61,45,37,0,37,0,37,0.5419762134552002,0.6486486792564392,0.5744730234146118,0.6486486792564392,0.6486486792564392,0,0,0.5,1.8151490688323975
62,42,36,0,36,0,36,0.5584245920181274,0.6472222208976746,0.5649444460868835,0.6472222208976746,0.6472222208976746,0,0,0.5,2.5414507389068604
63,47,51,18,33,0,51,0.5320743322372437,0.6450979709625244,0.5887254476547241,0.6450979709625244,0.6450979709625244,0,0,0.5255,1.166822910308838
64,43,57,23,34,0,57,0.562461793422699,0.6631578803062439,0.570894718170166,0.6631578803062439,0.6631578803062439,0,0,0.5,1.1721196174621582
65,44,45,13,32,0,45,0.5583521127700806,0.6622222661972046,0.5693222284317017,0.6622222661972046,0.6622222661972046,0,0,0.5085,0.9350628852844238
66,42,55,22,33,0,55,0.5427548885345459,0.6309090852737427,0.5686454176902771,0.6309090852737427,0.6309090852737427,0,0,0.5,1.0832891464233398
67,45,61,14,47,0,61,0.5416383743286133,0.6819671988487244,0.5804508328437805,0.6819671988487244,0.6819671988487244,0,0,0.514,2.110076427459717
68,52,39,0,39,0,39,0.573525071144104,0.656410276889801,0.5911538600921631,0.656410276889801,0.656410276889801,0,0,0.5355,1.4788455963134766
69,52,46,0,46,0,46,0.5547917485237122,0.6347826719284058,0.5751522183418274,0.6347826719284058,0.6347826719284058,0,0,0.5,1.647214412689209
70,50,38,0,38,0,38,0.5491150617599487,0.6263157725334167,0.5786579251289368,0.6263157725334167,0.6263157725334167,0,0,0.501,1.6750352382659912
71,42,32,6,26,0,32,0.5634074807167053,0.659375011920929,0.5836562514305115,0.659375011920929,0.659375011920929,0,0,0.555,0.8384654521942139
72,50,56,21,35,0,56,0.5564256310462952,0.639285683631897,0.5636160373687744,0.639285683631897,0.639285683631897,0,0,0.5,1.1301474571228027
73,46,33,0,33,0,33,0.5492709875106812,0.5969696640968323,0.5482121109962463,0.5969696640968323,0.5969696640968323,0,0,0.504,0.8255610466003418
