round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,11,25,0.6950158476829529,0.5722221732139587,0.4945972263813019,0.5720000267028809,0.5720000267028809,0.5727273225784302,0.480318158864975,0.5,0.35585832595825195
1,96,74,68,6,20,54,0.6892920136451721,0.5959460139274597,0.49820947647094727,0.609259307384491,0.609259307384491,0.5600000619888306,0.48982495069503784,0.5,0.688378095626831
2,96,59,56,3,20,39,0.6884427666664124,0.6271186470985413,0.49788978695869446,0.6410256624221802,0.6410256624221802,0.6000000238418579,0.4921499788761139,0.5,0.6579804420471191
3,90,50,47,3,14,36,0.6909199357032776,0.6600000858306885,0.5056899785995483,0.6472222208976746,0.6472222208976746,0.6928571462631226,0.48517856001853943,0.5,0.43920350074768066
4,80,40,34,6,9,31,0.6832140684127808,0.6074999570846558,0.5175750255584717,0.6322580575942993,0.6322580575942993,0.5222222805023193,0.5002222061157227,0.5,0.5368523597717285
5,84,66,57,9,23,43,0.6865538954734802,0.6424242854118347,0.5092424154281616,0.6674419045448303,0.6674419045448303,0.595652163028717,0.5020652413368225,0.5,0.7273633480072021
6,83,37,30,7,12,25,0.6891443133354187,0.6648648977279663,0.5167027115821838,0.7080000042915344,0.7080000042915344,0.5750000476837158,0.5168750286102295,0.5,0.4688398838043213
7,73,44,37,7,15,29,0.6831325888633728,0.6204545497894287,0.5218068361282349,0.6724137663841248,0.6724137663841248,0.5200000405311584,0.5117000341415405,0.5,0.43662118911743164
8,61,21,8,13,4,17,0.6735045313835144,0.6904762387275696,0.51240473985672,0.6941176056861877,0.6941176056861877,0.675000011920929,0.5033749938011169,0.6465,0.5525732040405273
9,60,6,0,6,1,5,0.6856796145439148,0.5833333730697632,0.49908336997032166,0.5800000429153442,0.5800000429153442,0.6000000238418579,0.48649999499320984,0.5,0.17624258995056152
10,61,15,4,11,4,11,0.68736332654953,0.6133333444595337,0.4966999590396881,0.6181818246841431,0.6181818246841431,0.6000000238418579,0.5,0.5,0.36070752143859863
11,55,48,34,14,17,31,0.6850962042808533,0.6354166865348816,0.5108124613761902,0.670967698097229,0.670967698097229,0.570588231086731,0.5060293674468994,0.5,0.6000137329101562
12,55,19,0,19,7,12,0.6869411468505859,0.6842105984687805,0.5137368440628052,0.7083332538604736,0.7083332538604736,0.6428571343421936,0.5205714106559753,0.5525,0.6603515148162842
13,61,20,0,20,5,15,0.6818932294845581,0.6449999809265137,0.5102750062942505,0.6666666269302368,0.6666666269302368,0.5800000429153442,0.49869999289512634,0.5,5.032780408859253
14,44,25,0,25,6,19,0.6724532246589661,0.6519999504089355,0.5477200150489807,0.6842105984687805,0.6842105984687805,0.550000011920929,0.5206666588783264,0.544,0.4395008087158203
15,47,27,0,27,11,16,0.6942778825759888,0.6370370388031006,0.5132592916488647,0.65625,0.65625,0.6090908646583557,0.4851818084716797,0.5,1.1825218200683594
16,43,38,11,27,11,27,0.6864578127861023,0.6526316404342651,0.5133026242256165,0.6777778267860413,0.6777778267860413,0.5909090638160706,0.5008636116981506,0.5325,0.6779782772064209
17,47,37,20,17,11,26,0.6742253303527832,0.6729729771614075,0.5505405068397522,0.7038460969924927,0.7038460969924927,0.5999999642372131,0.5067727565765381,0.5705,0.839423656463623
18,45,44,16,28,10,34,0.6757802367210388,0.656818151473999,0.5195000171661377,0.6558823585510254,0.6558823585510254,0.6599999666213989,0.5206500291824341,0.5165,1.0068483352661133
19,50,52,24,28,17,35,0.6786295175552368,0.6519231200218201,0.5575961470603943,0.6828571557998657,0.6828571557998657,0.5882353186607361,0.5307647585868835,0.598,0.8901114463806152
20,44,37,1,36,12,25,0.6932157278060913,0.6405405402183533,0.5391486883163452,0.6679999828338623,0.6679999828338623,0.5833333134651184,0.5144999623298645,0.582,2.3784995079040527
21,44,24,0,24,11,13,0.689342737197876,0.6458333134651184,0.5250833630561829,0.7153845429420471,0.7153845429420471,0.5636363625526428,0.5121363401412964,0.741,5.809438228607178
22,44,45,17,28,15,30,0.6894498467445374,0.6222222447395325,0.5394999980926514,0.6266666650772095,0.6266666650772095,0.6133333444595337,0.5460999608039856,0.5385,0.771284818649292
