round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,0,100,0.6914604902267456,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,0.5277726650238037
1,100,100,100,0,0,100,0.6882814168930054,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,1.0837786197662354
2,100,100,100,0,0,100,0.6868995428085327,0.4933333098888397,0.46335697174072266,0.4933333098888397,0.4933333098888397,0,0,0.46335697399527187,0.7793748378753662
3,100,100,100,0,0,100,0.6878299713134766,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,1.0108087062835693
4,100,100,100,0,0,100,0.684765100479126,0.4741666913032532,0.46335697174072266,0.4741666913032532,0.4741666913032532,0,0,0.46335697399527187,0.8015401363372803
5,100,100,100,0,0,100,0.6828733682632446,0.4791666865348816,0.46335697174072266,0.4791666865348816,0.4791666865348816,0,0,0.46335697399527187,0.4063441753387451
6,100,100,100,0,0,100,0.6817962527275085,0.4724999964237213,0.46335697174072266,0.4724999964237213,0.4724999964237213,0,0,0.46335697399527187,0.7598066329956055
7,100,100,100,0,0,100,0.6803046464920044,0.46916666626930237,0.46335697174072266,0.46916666626930237,0.46916666626930237,0,0,0.46335697399527187,0.5336942672729492
8,100,100,100,0,0,100,0.67768394947052,0.48249998688697815,0.46335697174072266,0.48249998688697815,0.48249998688697815,0,0,0.46335697399527187,0.562323808670044
9,100,100,100,0,0,100,0.6764988899230957,0.4749999940395355,0.46335697174072266,0.4749999940395355,0.4749999940395355,0,0,0.46335697399527187,0.7340419292449951
10,100,100,100,0,0,100,0.673825204372406,0.4858333170413971,0.46335697174072266,0.4858333170413971,0.4858333170413971,0,0,0.46335697399527187,0.6758053302764893
11,100,100,100,0,0,100,0.6739420294761658,0.4675000011920929,0.46335697174072266,0.4675000011920929,0.4675000011920929,0,0,0.46335697399527187,0.7891244888305664
12,100,100,100,0,0,100,0.6724447011947632,0.46583330631256104,0.46335697174072266,0.46583330631256104,0.46583330631256104,0,0,0.46335697399527187,0.755307674407959
13,100,100,100,0,0,100,0.6722915768623352,0.45249998569488525,0.46335697174072266,0.45249998569488525,0.45249998569488525,0,0,0.46335697399527187,1.1398911476135254
14,100,100,100,0,0,100,0.6708889603614807,0.44333332777023315,0.46373045444488525,0.44333332777023315,0.44333332777023315,0,0,0.46382978723404256,0.47419261932373047
15,100,100,100,0,0,100,0.6679018139839172,0.45249998569488525,0.46437355875968933,0.45249998569488525,0.45249998569488525,0,0,0.46382978723404256,1.0025465488433838
16,100,100,100,0,0,100,0.6649842262268066,0.46166664361953735,0.46643027663230896,0.46166664361953735,0.46166664361953735,0,0,0.466193853427896,0.8571929931640625
17,100,100,100,0,0,100,0.663725733757019,0.46833333373069763,0.47099289298057556,0.46833333373069763,0.46833333373069763,0,0,0.47092198581560285,1.1235830783843994
18,100,100,100,0,0,100,0.6629006862640381,0.47749999165534973,0.4821891486644745,0.47749999165534973,0.47749999165534973,0,0,0.48226950354609927,0.5701758861541748
19,100,100,100,0,0,100,0.6575735211372375,0.5199999809265137,0.49535223841667175,0.5199999809265137,0.5199999809265137,0,0,0.4950354609929078,0.7932400703430176
20,100,100,100,0,0,100,0.6595903038978577,0.5116666555404663,0.5167375802993774,0.5116666555404663,0.5116666555404663,0,0,0.5153664302600472,0.671109676361084
21,100,100,100,0,0,100,0.6552181243896484,0.5533332228660583,0.5446240901947021,0.5533332228660583,0.5533332228660583,0,0,0.5423167848699764,0.4937622547149658
22,100,100,100,0,0,100,0.654563307762146,0.5925000905990601,0.5790732502937317,0.5925000905990601,0.5925000905990601,0,0,0.577304964539007,1.0950345993041992
23,100,100,100,0,0,100,0.651091992855072,0.6058332920074463,0.6116406321525574,0.6058332920074463,0.6058332920074463,0,0,0.6122931442080378,0.811542272567749
24,100,100,100,0,0,100,0.647707998752594,0.6541666388511658,0.6385106444358826,0.6541666388511658,0.6541666388511658,0,0,0.6387706855791963,0.724179744720459
25,100,100,100,0,0,100,0.6473988890647888,0.6741666197776794,0.6657588481903076,0.6741666197776794,0.6741666197776794,0,0,0.6643026004728132,1.1173431873321533
26,100,100,100,0,0,100,0.6439383625984192,0.7083333730697632,0.6939527988433838,0.7083333730697632,0.7083333730697632,0,0,0.6955082742316785,0.5376851558685303
27,100,100,100,0,0,100,0.6445761322975159,0.7116666436195374,0.7205626964569092,0.7116666436195374,0.7116666436195374,0,0,0.7215130023640662,0.6973707675933838
28,100,100,100,0,0,100,0.6418083310127258,0.7408334612846375,0.7435555458068848,0.7408334612846375,0.7408334612846375,0,0,0.7432624113475177,0.5565242767333984
29,100,100,100,0,0,100,0.640999436378479,0.767500102519989,0.7647848725318909,0.767500102519989,0.767500102519989,0,0,0.7650118203309693,0.6034610271453857
30,100,100,100,0,0,100,0.6383244395256042,0.7966667413711548,0.7847990393638611,0.7966667413711548,0.7966667413711548,0,0,0.7862884160756501,0.45337414741516113
31,100,100,100,0,0,100,0.6364030241966248,0.8275001049041748,0.8025673627853394,0.8275001049041748,0.8275001049041748,0,0,0.8023640661938535,0.7558176517486572
32,100,100,100,0,0,100,0.634747326374054,0.82916659116745,0.8206524848937988,0.82916659116745,0.82916659116745,0,0,0.8189125295508274,0.7642054557800293
33,100,100,100,0,0,100,0.6303577423095703,0.8550000190734863,0.8385958075523376,0.8550000190734863,0.8550000190734863,0,0,0.8392434988179669,0.6683080196380615
34,100,100,100,0,0,100,0.6268672943115234,0.8666667342185974,0.8527376651763916,0.8666667342185974,0.8666667342185974,0,0,0.8524822695035461,0.7645473480224609
35,100,100,100,0,0,100,0.622903048992157,0.8833334445953369,0.8659858703613281,0.8833334445953369,0.8833334445953369,0,0,0.866193853427896,0.5938661098480225
36,100,100,100,0,0,100,0.6264065504074097,0.8749999403953552,0.878364086151123,0.8749999403953552,0.8749999403953552,0,0,0.8780141843971632,2.027012348175049
37,100,100,100,0,0,100,0.619371771812439,0.9049999713897705,0.8886950612068176,0.9049999713897705,0.9049999713897705,0,0,0.8874704491725768,0.805182695388794
38,100,100,100,0,0,100,0.619864284992218,0.9074999094009399,0.8987990021705627,0.9074999094009399,0.9074999094009399,0,0,0.8992907801418439,0.7080142498016357
39,100,100,100,0,0,100,0.6157382726669312,0.9100000262260437,0.9080567955970764,0.9100000262260437,0.9100000262260437,0,0,0.9078014184397163,0.903557300567627
40,100,100,100,0,0,100,0.6154949069023132,0.9058333039283752,0.9153663516044617,0.9058333039283752,0.9058333039283752,0,0,0.915839243498818,0.9243044853210449
41,100,100,100,0,0,100,0.6141489148139954,0.9133333563804626,0.922416090965271,0.9133333563804626,0.9133333563804626,0,0,0.9234042553191489,0.6895134449005127
42,100,100,100,0,0,100,0.6094827055931091,0.9300000071525574,0.9295839667320251,0.9300000071525574,0.9300000071525574,0,0,0.9295508274231679,0.55873703956604
43,100,100,100,0,0,100,0.6082832217216492,0.9399999976158142,0.9341607093811035,0.9399999976158142,0.9399999976158142,0,0,0.9342789598108747,0.5587961673736572
44,100,100,100,0,0,100,0.6038112044334412,0.9333333373069763,0.9376264810562134,0.9333333373069763,0.9333333373069763,0,0,0.9380614657210402,0.7526388168334961
45,100,100,100,0,0,100,0.6007915735244751,0.9424999952316284,0.9397683143615723,0.9424999952316284,0.9424999952316284,0,0,0.939952718676123,0.7015469074249268
46,100,100,100,0,0,100,0.6036436557769775,0.9383334517478943,0.9433853626251221,0.9383334517478943,0.9383334517478943,0,0,0.9446808510638298,0.66617751121521
47,100,100,100,0,0,100,0.6012395620346069,0.9474999904632568,0.947806179523468,0.9474999904632568,0.9474999904632568,0,0,0.9460992907801419,0.9580659866333008
48,100,100,100,0,0,100,0.5956664085388184,0.9633333683013916,0.9515318870544434,0.9633333683013916,0.9633333683013916,0,0,0.9517730496453901,0.6223046779632568
49,100,100,100,0,0,100,0.592150866985321,0.9574999809265137,0.9539526104927063,0.9574999809265137,0.9574999809265137,0,0,0.9531914893617022,0.7889385223388672
50,100,100,100,0,0,100,0.5939619541168213,0.9516667127609253,0.9574089050292969,0.9516667127609253,0.9516667127609253,0,0,0.9574468085106383,0.5830161571502686
