round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,36,36,0,0,36,0.691129207611084,0.4768518805503845,0.46335697174072266,0.4768518805503845,0.4768518805503845,0,0,0.46335697399527187,0.5124950408935547
1,93,71,65,6,0,71,0.6886207461357117,0.48591548204421997,0.46335697174072266,0.48591548204421997,0.48591548204421997,0,0,0.46335697399527187,0.5065875053405762
2,93,56,53,3,0,56,0.688327431678772,0.4732142984867096,0.46335703134536743,0.4732142984867096,0.4732142984867096,0,0,0.46335697399527187,0.4989337921142578
3,97,57,54,3,0,57,0.6872764229774475,0.46929824352264404,0.46335703134536743,0.46929824352264404,0.46929824352264404,0,0,0.46335697399527187,0.6306519508361816
4,84,52,46,6,0,52,0.6875410676002502,0.4503205120563507,0.46335697174072266,0.4503205120563507,0.4503205120563507,0,0,0.46335697399527187,0.47664713859558105
5,81,25,15,10,0,25,0.6845104694366455,0.49000003933906555,0.46335697174072266,0.49000003933906555,0.49000003933906555,0,0,0.46335697399527187,0.29055237770080566
6,74,52,44,8,0,52,0.6843865513801575,0.45673078298568726,0.46335697174072266,0.45673078298568726,0.45673078298568726,0,0,0.46335697399527187,0.4873783588409424
7,73,64,52,12,0,64,0.6825469732284546,0.4661458134651184,0.46335697174072266,0.4661458134651184,0.4661458134651184,0,0,0.46335697399527187,0.6271898746490479
8,70,46,34,12,0,46,0.6821962594985962,0.4637681245803833,0.46335694193840027,0.4637681245803833,0.4637681245803833,0,0,0.46335697399527187,0.5947856903076172
9,67,21,15,6,0,21,0.678840160369873,0.5000000596046448,0.46335697174072266,0.5000000596046448,0.5000000596046448,0,0,0.46335697399527187,0.2796669006347656
10,64,29,13,16,0,29,0.6854297518730164,0.43103447556495667,0.46335697174072266,0.43103447556495667,0.43103447556495667,0,0,0.46335697399527187,0.5040700435638428
11,57,11,0,11,0,11,0.6854737997055054,0.42424246668815613,0.46335697174072266,0.42424246668815613,0.42424246668815613,0,0,0.46335697399527187,0.2910304069519043
12,54,47,31,16,0,47,0.6793799996376038,0.46099284291267395,0.4633569121360779,0.46099284291267395,0.46099284291267395,0,0,0.46335697399527187,0.8331480026245117
13,56,41,22,19,0,41,0.679997444152832,0.45121949911117554,0.46335694193840027,0.45121949911117554,0.45121949911117554,0,0,0.46335697399527187,0.6229181289672852
14,54,22,0,22,0,22,0.6826643943786621,0.4772726893424988,0.46335697174072266,0.4772726893424988,0.4772726893424988,0,0,0.46335697399527187,0.4715299606323242
15,48,48,23,25,0,48,0.677971363067627,0.4739583432674408,0.46335697174072266,0.4739583432674408,0.4739583432674408,0,0,0.46335697399527187,0.6016740798950195
16,44,25,3,22,0,25,0.6815545558929443,0.46666663885116577,0.46335697174072266,0.46666663885116577,0.46666663885116577,0,0,0.46335697399527187,0.8509261608123779
17,42,29,15,14,0,29,0.6801280975341797,0.4252873361110687,0.46335697174072266,0.4252873361110687,0.4252873361110687,0,0,0.46335697399527187,0.48816633224487305
18,46,25,7,18,0,25,0.6784049868583679,0.4766666293144226,0.46335697174072266,0.4766666293144226,0.4766666293144226,0,0,0.46335697399527187,0.5619301795959473
19,58,61,32,29,0,61,0.6741107702255249,0.4890710413455963,0.46335703134536743,0.4890710413455963,0.4890710413455963,0,0,0.46335697399527187,0.8824717998504639
20,46,43,16,27,0,43,0.6770357489585876,0.47480618953704834,0.4634339511394501,0.47480618953704834,0.47480618953704834,0,0,0.46335697399527187,0.7255334854125977
21,39,22,0,22,0,22,0.677071750164032,0.5189394354820251,0.46335697174072266,0.5189394354820251,0.5189394354820251,0,0,0.46335697399527187,3.576148748397827
