round,n_client_req,n_new_updates,n_ontime_updates,n_delayed_updates,n_malicious_updates,n_benign_updates,client_avg_loss_avg,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,100,100,0,36,64,0.6926560401916504,0.47999998927116394,0.46335697174072266,0.46484375,0.46484375,0.5069444179534912,0.46335697174072266,0.46335697399527187,0.3879382610321045
1,100,100,100,0,30,70,0.6896354556083679,0.5049999952316284,0.46335697174072266,0.49880948662757874,0.49880948662757874,0.519444465637207,0.46335697174072266,0.46335697399527187,0.3540768623352051
2,100,100,100,0,20,80,0.6891874670982361,0.4833333492279053,0.46335697174072266,0.4854166507720947,0.4854166507720947,0.4750000536441803,0.46335697174072266,0.46335697399527187,0.2656846046447754
3,100,100,100,0,37,63,0.6908353567123413,0.4841666519641876,0.46335697174072266,0.4497354328632355,0.4497354328632355,0.542792797088623,0.46335694193840027,0.46335697399527187,0.3393533229827881
4,100,100,100,0,24,76,0.6874231100082397,0.4841666519641876,0.46335697174072266,0.4725876748561859,0.4725876748561859,0.5208333134651184,0.46335697174072266,0.46335697399527187,0.3336293697357178
5,100,100,100,0,24,76,0.68499755859375,0.5058333277702332,0.46335697174072266,0.49013158679008484,0.49013158679008484,0.5555555820465088,0.46335697174072266,0.46335697399527187,0.3713083267211914
6,100,100,100,0,31,69,0.6887591481208801,0.4724999964237213,0.46335697174072266,0.46014490723609924,0.46014490723609924,0.5,0.46335697174072266,0.46335697399527187,0.3245878219604492
7,100,100,100,0,27,73,0.685880720615387,0.4808333218097687,0.46335697174072266,0.465753436088562,0.465753436088562,0.5216049551963806,0.46335697174072266,0.46335697399527187,0.3146529197692871
8,100,100,100,0,39,61,0.6877719163894653,0.502500057220459,0.46335697174072266,0.48770493268966675,0.48770493268966675,0.5256409645080566,0.46335700154304504,0.46335697399527187,0.4431333541870117
9,100,100,100,0,35,65,0.6860003471374512,0.5000000596046448,0.46335697174072266,0.48076921701431274,0.48076921701431274,0.535714328289032,0.46335700154304504,0.46335697399527187,0.3776259422302246
10,100,100,100,0,33,67,0.684073805809021,0.5058333277702332,0.4634137451648712,0.49378108978271484,0.49378108978271484,0.5303030014038086,0.46335697174072266,0.46335697399527187,0.3285987377166748
11,100,100,100,0,27,73,0.6827825307846069,0.48249995708465576,0.46361708641052246,0.465753436088562,0.465753436088562,0.5277777314186096,0.46335697174072266,0.46335697399527187,0.2535545825958252
12,100,100,100,0,30,70,0.6823402643203735,0.49666664004325867,0.4646524488925934,0.47380954027175903,0.47380954027175903,0.550000011920929,0.46335697174072266,0.46382978723404256,0.32396650314331055
13,100,100,100,0,34,66,0.6847367882728577,0.49000000953674316,0.46726712584495544,0.4595959484577179,0.4595959484577179,0.5490195751190186,0.46339869499206543,0.46477541371158393,0.3445720672607422
14,100,100,100,0,34,66,0.6853225231170654,0.4858332872390747,0.47400474548339844,0.4570706784725189,0.4570706784725189,0.5416666865348816,0.4636490046977997,0.4690307328605201,0.3039538860321045
15,100,100,100,0,36,64,0.6858624219894409,0.518333375453949,0.48490309715270996,0.5078125,0.5078125,0.5370370745658875,0.4657210111618042,0.47801418439716314,0.5747621059417725
16,100,100,100,0,28,72,0.6784628033638,0.53083336353302,0.5028652548789978,0.5266203284263611,0.5266203284263611,0.5416666269302368,0.46833840012550354,0.4988179669030733,0.33686327934265137
17,100,100,100,0,31,69,0.6794872283935547,0.5600000619888306,0.5283309817314148,0.5676328539848328,0.5676328539848328,0.5430107712745667,0.47520777583122253,0.5219858156028369,0.37218379974365234
18,100,100,100,0,35,65,0.6819237470626831,0.5824999809265137,0.5554657578468323,0.6000000238418579,0.6000000238418579,0.550000011920929,0.4897129535675049,0.556501182033097,0.398714542388916
19,100,100,100,0,31,69,0.6766965389251709,0.59416663646698,0.5851631164550781,0.6413043737411499,0.6413043737411499,0.48924732208251953,0.5178067684173584,0.5995271867612293,0.33236026763916016
20,100,100,100,0,28,72,0.6774471402168274,0.6208333373069763,0.6262364387512207,0.6770833134651184,0.6770833134651184,0.4761904776096344,0.5382809638977051,0.6401891252955083,0.478848934173584
21,100,100,100,0,27,73,0.6729367971420288,0.6408332586288452,0.664212703704834,0.7123287916183472,0.7123287916183472,0.4475308656692505,0.5833640098571777,0.6822695035460993,0.519357442855835
22,100,100,100,0,26,74,0.6723891496658325,0.6724998950958252,0.7064633369445801,0.7759009003639221,0.7759009003639221,0.37820515036582947,0.6321877241134644,0.7177304964539007,0.32035279273986816
23,100,100,100,0,28,72,0.6705818176269531,0.6516666412353516,0.7381796836853027,0.766203761100769,0.766203761100769,0.357142835855484,0.6728976964950562,0.7508274231678487,0.5050985813140869
24,100,100,100,0,26,74,0.6652659773826599,0.6808333396911621,0.765583872795105,0.8074324131011963,0.8074324131011963,0.3205128014087677,0.7041825652122498,0.7782505910165485,0.38834285736083984
25,100,100,100,0,36,64,0.6764785647392273,0.6341667175292969,0.7846524119377136,0.8268229365348816,0.8268229365348816,0.2916666567325592,0.7401891350746155,0.7933806146572104,0.5670392513275146
26,100,100,100,0,28,72,0.6662719249725342,0.700833261013031,0.8082315921783447,0.8749999403953552,0.8749999403953552,0.2529761791229248,0.7583923935890198,0.8146572104018912,0.32587242126464844
27,100,100,100,0,30,70,0.6702226400375366,0.67083340883255,0.8325815796852112,0.860714316368103,0.860714316368103,0.22777777910232544,0.7850906252861023,0.8449172576832151,0.41586971282958984
28,100,100,100,0,33,67,0.670168399810791,0.674166738986969,0.8482080101966858,0.89552241563797,0.89552241563797,0.22474747896194458,0.8056594133377075,0.8600472813238771,0.3782799243927002
29,100,100,100,0,31,69,0.6691513657569885,0.6816667318344116,0.867054283618927,0.8925121426582336,0.8925121426582336,0.21236558258533478,0.8278654217720032,0.873758865248227,0.3635749816894531
30,100,100,100,0,37,63,0.6788022518157959,0.6349999904632568,0.8825579881668091,0.9087302088737488,0.9087302088737488,0.1689189225435257,0.8548207879066467,0.8879432624113475,0.4319770336151123
31,100,100,100,0,36,64,0.6762346029281616,0.6399999856948853,0.8945531249046326,0.9153645634651184,0.9153645634651184,0.15046295523643494,0.8688600063323975,0.9035460992907801,0.47073841094970703
32,100,100,100,0,37,63,0.6751005053520203,0.6324999928474426,0.9040614366531372,0.9179893732070923,0.9179893732070923,0.14639639854431152,0.8822566866874695,0.9111111111111111,0.4169609546661377
33,100,100,100,0,32,68,0.6674349904060364,0.6641666889190674,0.9135507941246033,0.9264705181121826,0.9264705181121826,0.1067708358168602,0.8935874700546265,0.91725768321513,0.43004488945007324
34,100,100,100,0,26,74,0.6566139459609985,0.7333333492279053,0.9245815873146057,0.9459459185600281,0.9459459185600281,0.12820513546466827,0.9087833762168884,0.9271867612293144,0.37053370475769043
35,100,100,100,0,30,70,0.6611894965171814,0.6899999976158142,0.9312340617179871,0.9452380537986755,0.9452380537986755,0.09444446116685867,0.917966902256012,0.9356973995271868,0.34296584129333496
36,100,100,100,0,29,71,0.6639837026596069,0.6916666626930237,0.9377304911613464,0.9424883127212524,0.9424883127212524,0.07758620381355286,0.925915002822876,0.941371158392435,0.33518457412719727
