round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,benign_client_train_acc_avg,benign_client_test_acc_avg,malicious_client_train_acc_avg,malicious_client_test_acc_avg,accuracy_score,aggregator_time
0,100,56,"tensor([0.7009, 0.6890, 0.6881, 0.7051, 0.6867, 0.6989, 0.6966, 0.6849, 0.6827,
        0.6863, 0.6875, 0.6987, 0.6837, 0.6845, 0.6879, 0.6900, 0.6988, 0.6846,
        0.6894, 0.6846, 0.6859, 0.6988, 0.6812, 0.7020, 0.6847, 0.6965, 0.6860,
        0.6816, 0.6842, 0.6803, 0.6840, 0.6966, 0.7029, 0.6897, 0.6851, 0.6975,
        0.6840, 0.6909, 0.6856, 0.6994, 0.6869, 0.6853, 0.6837, 0.6948, 0.6850,
        0.6876, 0.6855, 0.6877, 0.6977, 0.6890, 0.6954, 0.6905, 0.6826, 0.6892,
        0.6838, 0.6866])",44,"tensor([0.4167, 0.8333, 1.0000, 0.1667, 0.9167, 0.3333, 0.5833, 0.9167, 1.0000,
        0.7500, 0.9167, 0.3333, 0.8333, 0.8333, 0.7500, 0.9167, 0.5000, 0.9167,
        0.7500, 0.8333, 0.9167, 0.5833, 0.8333, 0.3333, 0.6667, 0.5833, 0.7500,
        0.9167, 1.0000, 1.0000, 0.9167, 0.5000, 0.2500, 0.8333, 1.0000, 0.4167,
        0.8333, 0.6667, 0.8333, 0.5000, 0.8333, 0.8333, 0.8333, 0.5833, 0.9167,
        0.8333, 1.0000, 0.8333, 0.5833, 0.8333, 0.4167, 0.6667, 1.0000, 0.9167,
        0.8333, 0.9167])","tensor([0.5991, 0.8553, 0.8704, 0.7035, 0.8738, 0.5948, 0.5797, 0.8203, 0.8407,
        0.8336, 0.8572, 0.6156, 0.8000, 0.8369, 0.8837, 0.8747, 0.6009, 0.8071,
        0.8799, 0.8180, 0.8695, 0.5953, 0.8109, 0.6596, 0.7877, 0.5783, 0.8322,
        0.7579, 0.8648, 0.7839, 0.8265, 0.5801, 0.6336, 0.8818, 0.8217, 0.6643,
        0.7967, 0.8723, 0.8496, 0.6085, 0.8671, 0.7749, 0.8217, 0.5858, 0.7891,
        0.8199, 0.8288, 0.8515, 0.5957, 0.8236, 0.5962, 0.8747, 0.7305, 0.8799,
        0.7508, 0.8681])",0.7440475821495056,0.7692671418190002,0.8645833134651184,0.8645833134651184,0.4427083432674408,0.6119385361671448,0.7995271867612294,0.12770438194274902
1,98,68,"tensor([0.6853, 0.6870, 0.6810, 0.6812, 0.6838, 0.6842, 0.6993, 0.6875, 0.6832,
        0.6884, 0.6877, 0.6839, 0.6869, 0.6805, 0.6866, 0.7040, 0.6857, 0.6860,
        0.6998, 0.6884, 0.6834, 0.6834, 0.6838, 0.6795, 0.6824, 0.6868, 0.7016,
        0.7006, 0.7005, 0.6882, 0.6831, 0.6840, 0.7034, 0.6988, 0.6812, 0.7005,
        0.6837, 0.6844, 0.6995, 0.6858, 0.6838, 0.7030, 0.6987, 0.6970, 0.6868,
        0.7021, 0.6829, 0.6873, 0.6796, 0.6959, 0.6827, 0.6976, 0.6818, 0.6836,
        0.6824, 0.6838, 0.6893, 0.6823, 0.6868, 0.6831, 0.6855, 0.6869, 0.6879,
        0.6831, 0.6996, 0.6867, 0.7022, 0.7006])",74,"tensor([1.0000, 0.8333, 0.9167, 1.0000, 0.8333, 0.9167, 0.3333, 0.9167, 1.0000,
        0.9167, 0.7500, 1.0000, 1.0000, 1.0000, 0.8333, 0.1667, 0.9167, 1.0000,
        0.3333, 0.7500, 0.8333, 0.9167, 1.0000, 1.0000, 1.0000, 0.9167, 0.3333,
        0.1667, 0.2500, 0.8333, 1.0000, 1.0000, 0.0833, 0.5833, 1.0000, 0.5000,
        0.8333, 0.8333, 0.4167, 0.9167, 1.0000, 0.1667, 0.4167, 0.4167, 0.9167,
        0.3333, 1.0000, 0.9167, 1.0000, 0.5000, 0.9167, 0.4167, 1.0000, 1.0000,
        1.0000, 0.8333, 0.8333, 0.9167, 0.9167, 1.0000, 0.9167, 0.8333, 0.9167,
        0.9167, 0.3333, 1.0000, 0.1667, 0.5000])","tensor([0.8785, 0.8340, 0.8478, 0.8856, 0.8974, 0.8804, 0.7418, 0.9173, 0.8993,
        0.9191, 0.8752, 0.8974, 0.9158, 0.8057, 0.9111, 0.7291, 0.8846, 0.9111,
        0.6917, 0.9087, 0.8714, 0.8648, 0.8610, 0.8596, 0.9116, 0.9121, 0.6709,
        0.7352, 0.7007, 0.9026, 0.9083, 0.8809, 0.7381, 0.6634, 0.8539, 0.6742,
        0.8303, 0.8563, 0.6936, 0.9173, 0.9087, 0.7017, 0.6478, 0.6690, 0.9097,
        0.6723, 0.8775, 0.9130, 0.8482, 0.6553, 0.8979, 0.6175, 0.8307, 0.8837,
        0.8714, 0.8965, 0.9069, 0.8548, 0.8955, 0.8851, 0.9111, 0.9064, 0.9144,
        0.9054, 0.6605, 0.9097, 0.7409, 0.6790])",0.7634804844856262,0.8310040831565857,0.9285714030265808,0.9285714030265808,0.3377193212509155,0.6885654330253601,0.8567375886524823,0.11730146408081055
2,91,69,"tensor([0.6878, 0.6830, 0.6835, 0.7021, 0.6827, 0.6993, 0.6802, 0.7027, 0.6856,
        0.6846, 0.6829, 0.6843, 0.7017, 0.6832, 0.7012, 0.6813, 0.6829, 0.7048,
        0.7007, 0.7018, 0.7008, 0.7012, 0.6872, 0.6833, 0.7024, 0.6954, 0.7051,
        0.6973, 0.6825, 0.6825, 0.6811, 0.6815, 0.6815, 0.6822, 0.6822, 0.6840,
        0.6982, 0.6834, 0.6787, 0.6857, 0.6829, 0.6772, 0.7002, 0.7009, 0.6982,
        0.6883, 0.6812, 0.6977, 0.6974, 0.7003, 0.6795, 0.6857, 0.7015, 0.6862,
        0.7017, 0.6998, 0.6806, 0.6856, 0.6832, 0.7022, 0.6798, 0.6842, 0.6828,
        0.6849, 0.6815, 0.7006, 0.7053, 0.6845, 0.6841])",96,"tensor([0.8333, 0.9167, 1.0000, 0.1667, 1.0000, 0.5833, 1.0000, 0.3333, 0.9167,
        0.9167, 0.9167, 0.9167, 0.2500, 1.0000, 0.3333, 0.8333, 1.0000, 0.1667,
        0.3333, 0.3333, 0.3333, 0.5000, 0.9167, 1.0000, 0.3333, 0.5833, 0.0833,
        0.4167, 1.0000, 0.8333, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.4167, 0.8333, 0.9167, 0.9167, 0.9167, 1.0000, 0.4167, 0.4167, 0.5833,
        0.7500, 0.9167, 0.5000, 0.6667, 0.4167, 1.0000, 0.8333, 0.3333, 0.8333,
        0.4167, 0.3333, 0.9167, 1.0000, 1.0000, 0.3333, 1.0000, 0.9167, 1.0000,
        0.8333, 1.0000, 0.2500, 0.0000, 0.9167, 0.8333])","tensor([0.8771, 0.9017, 0.8946, 0.7631, 0.9404, 0.7291, 0.9366, 0.7787, 0.9437,
        0.9333, 0.9371, 0.9366, 0.7031, 0.9139, 0.7002, 0.9248, 0.9106, 0.8033,
        0.7300, 0.7489, 0.7674, 0.7281, 0.9485, 0.9381, 0.7154, 0.7267, 0.7693,
        0.7541, 0.9409, 0.9300, 0.9338, 0.9442, 0.8879, 0.9324, 0.9196, 0.9428,
        0.7489, 0.9348, 0.8931, 0.9437, 0.9291, 0.9182, 0.7560, 0.7702, 0.7106,
        0.9508, 0.8790, 0.7225, 0.6865, 0.7362, 0.9239, 0.9461, 0.7830, 0.9305,
        0.7631, 0.7139, 0.9031, 0.9423, 0.8960, 0.7735, 0.8846, 0.9409, 0.9404,
        0.9447, 0.9191, 0.7475, 0.7674, 0.9102, 0.9040])",0.7113527059555054,0.853626549243927,0.93452388048172,0.93452388048172,0.3641975224018097,0.7443305850028992,0.8874704491725768,0.1964704990386963
3,88,80,"tensor([0.7031, 0.6829, 0.7024, 0.6797, 0.6800, 0.6817, 0.7010, 0.6839, 0.6842,
        0.6827, 0.7023, 0.6804, 0.6805, 0.6825, 0.7007, 0.6784, 0.7014, 0.6813,
        0.6802, 0.6804, 0.7001, 0.6792, 0.6811, 0.6764, 0.7033, 0.6849, 0.6855,
        0.6826, 0.6817, 0.7008, 0.6817, 0.6834, 0.6824, 0.7023, 0.6854, 0.6800,
        0.6816, 0.6814, 0.6989, 0.6835, 0.6800, 0.6813, 0.7028, 0.6871, 0.6838,
        0.6837, 0.6812, 0.7025, 0.7052, 0.6809, 0.6847, 0.6844, 0.7054, 0.7002,
        0.6799, 0.6842, 0.7035, 0.6984, 0.6822, 0.7016, 0.6865, 0.6834, 0.6838,
        0.6812, 0.7056, 0.7058, 0.6809, 0.7033, 0.6803, 0.6849, 0.6780, 0.6827,
        0.6801, 0.6831, 0.7073, 0.6795, 0.7010, 0.6817, 0.6837, 0.6826])",104,"tensor([0.0833, 0.8333, 0.2500, 0.9167, 1.0000, 0.9167, 0.3333, 0.9167, 0.9167,
        0.9167, 0.3333, 1.0000, 1.0000, 1.0000, 0.3333, 1.0000, 0.3333, 0.9167,
        0.9167, 0.9167, 0.3333, 1.0000, 0.9167, 1.0000, 0.2500, 0.8333, 0.9167,
        1.0000, 1.0000, 0.5000, 0.9167, 1.0000, 0.8333, 0.2500, 0.9167, 0.9167,
        1.0000, 1.0000, 0.4167, 0.9167, 1.0000, 1.0000, 0.2500, 0.8333, 0.9167,
        1.0000, 0.9167, 0.4167, 0.3333, 0.9167, 1.0000, 0.8333, 0.0833, 0.4167,
        0.9167, 1.0000, 0.2500, 0.4167, 1.0000, 0.2500, 0.9167, 0.9167, 1.0000,
        0.8333, 0.0833, 0.1667, 1.0000, 0.0833, 1.0000, 0.9167, 0.9167, 0.9167,
        1.0000, 0.9167, 0.0833, 1.0000, 0.2500, 1.0000, 0.9167, 0.9167])","tensor([0.7797, 0.9494, 0.7924, 0.9187, 0.9191, 0.9168, 0.7702, 0.9541, 0.9541,
        0.9182, 0.7636, 0.9522, 0.9418, 0.9409, 0.7574, 0.9499, 0.7697, 0.9470,
        0.9499, 0.9343, 0.7981, 0.9395, 0.9456, 0.9002, 0.8378, 0.9518, 0.9513,
        0.9485, 0.9395, 0.8213, 0.9461, 0.9589, 0.9466, 0.8142, 0.9404, 0.9480,
        0.9485, 0.9518, 0.7470, 0.9485, 0.9400, 0.9475, 0.7797, 0.9574, 0.9537,
        0.9456, 0.8983, 0.7551, 0.8076, 0.9158, 0.9508, 0.9404, 0.8482, 0.7702,
        0.9489, 0.9428, 0.7939, 0.7896, 0.9319, 0.7688, 0.9508, 0.9532, 0.9522,
        0.9314, 0.7991, 0.8038, 0.9442, 0.8019, 0.9541, 0.9281, 0.9447, 0.9050,
        0.9537, 0.9508, 0.8052, 0.9480, 0.7792, 0.9475, 0.9461, 0.9106])",0.7416667342185974,0.8957387804985046,0.9434523582458496,0.9434523582458496,0.2708333432674408,0.7897359728813171,0.9243498817966903,0.16857504844665527
4,92,92,"tensor([0.6861, 0.6967, 0.6899, 0.7033, 0.6822, 0.6838, 0.6813, 0.7022, 0.6784,
        0.6806, 0.7051, 0.6844, 0.6814, 0.7070, 0.6794, 0.7013, 0.6814, 0.6792,
        0.6835, 0.6793, 0.6809, 0.6800, 0.6811, 0.7045, 0.6813, 0.7057, 0.6770,
        0.6829, 0.6777, 0.6834, 0.7056, 0.7033, 0.6783, 0.6816, 0.6794, 0.6792,
        0.7005, 0.6835, 0.6809, 0.6814, 0.6775, 0.6787, 0.6799, 0.6802, 0.6775,
        0.6807, 0.6793, 0.7030, 0.7022, 0.6781, 0.6831, 0.7049, 0.6820, 0.6844,
        0.7077, 0.6794, 0.6800, 0.6777, 0.6787, 0.6786, 0.6819, 0.6774, 0.6872,
        0.7050, 0.6794, 0.6811, 0.7031, 0.7030, 0.7048, 0.6757, 0.7014, 0.6802,
        0.6812, 0.7046, 0.6792, 0.6777, 0.7051, 0.7034, 0.6828, 0.6796, 0.6817,
        0.6801, 0.6795, 0.6995, 0.7002, 0.6786, 0.6793, 0.6809, 0.7023, 0.6814,
        0.6815, 0.6847])",104,"tensor([0.8333, 0.5000, 0.9167, 0.3333, 0.9167, 0.9167, 0.9167, 0.3333, 1.0000,
        0.9167, 0.1667, 1.0000, 1.0000, 0.0833, 0.9167, 0.2500, 0.9167, 1.0000,
        1.0000, 1.0000, 1.0000, 0.9167, 0.9167, 0.0833, 1.0000, 0.2500, 1.0000,
        1.0000, 1.0000, 1.0000, 0.1667, 0.4167, 1.0000, 0.9167, 1.0000, 1.0000,
        0.2500, 0.9167, 1.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.3333, 0.2500, 0.9167, 1.0000, 0.1667, 0.9167, 0.9167,
        0.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 0.8333,
        0.0833, 0.9167, 1.0000, 0.1667, 0.0833, 0.0833, 1.0000, 0.3333, 1.0000,
        0.9167, 0.2500, 1.0000, 1.0000, 0.2500, 0.2500, 0.9167, 1.0000, 1.0000,
        0.9167, 1.0000, 0.4167, 0.3333, 1.0000, 1.0000, 0.9167, 0.3333, 0.9167,
        1.0000, 0.8333])","tensor([0.8199, 0.6090, 0.8738, 0.7196, 0.8827, 0.8969, 0.9092, 0.8028, 0.9291,
        0.9669, 0.8251, 0.9712, 0.9645, 0.8936, 0.9565, 0.8761, 0.9645, 0.9617,
        0.9683, 0.9655, 0.9664, 0.9664, 0.9574, 0.8307, 0.9513, 0.8270, 0.9636,
        0.9697, 0.9641, 0.9664, 0.8553, 0.8194, 0.9650, 0.9688, 0.9660, 0.9262,
        0.8199, 0.9508, 0.9650, 0.9678, 0.9556, 0.9608, 0.9626, 0.9622, 0.9239,
        0.9660, 0.9645, 0.8322, 0.8501, 0.9645, 0.9674, 0.8473, 0.9603, 0.9693,
        0.8624, 0.9655, 0.9650, 0.9556, 0.9593, 0.9631, 0.9626, 0.9641, 0.9674,
        0.8388, 0.9693, 0.9716, 0.8118, 0.8161, 0.8463, 0.9447, 0.8350, 0.9579,
        0.9645, 0.8652, 0.9593, 0.9669, 0.8128, 0.8303, 0.9641, 0.9560, 0.9735,
        0.9645, 0.9707, 0.8208, 0.8288, 0.9541, 0.9608, 0.9579, 0.8634, 0.9697,
        0.9603, 0.9730])",0.7590579986572266,0.9183059930801392,0.9646465182304382,0.9646465182304382,0.23717950284481049,0.8246045708656311,0.9517730496453901,0.18355202674865723
5,91,41,"tensor([0.6842, 0.6862, 0.6997, 0.6869, 0.7021, 0.6814, 0.7045, 0.6811, 0.6768,
        0.6797, 0.6768, 0.6760, 0.6774, 0.6767, 0.7032, 0.6758, 0.7047, 0.6789,
        0.6804, 0.6735, 0.6796, 0.6809, 0.6777, 0.6772, 0.6799, 0.6796, 0.6794,
        0.6770, 0.6825, 0.7037, 0.7086, 0.6762, 0.7104, 0.6780, 0.6800, 0.6824,
        0.6773, 0.6773, 0.6784, 0.6772, 0.7078])",154,"tensor([0.8333, 1.0000, 0.4167, 0.9167, 0.3333, 1.0000, 0.2500, 0.9167, 0.9167,
        1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.3333, 1.0000, 0.0833, 1.0000,
        0.9167, 1.0000, 1.0000, 0.9167, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 0.9167, 0.1667, 0.0000, 0.9167, 0.0000, 1.0000, 1.0000, 0.9167,
        1.0000, 1.0000, 0.9167, 1.0000, 0.0833])","tensor([0.8213, 0.9130, 0.6738, 0.9031, 0.7853, 0.9447, 0.8922, 0.9792, 0.9778,
        0.9759, 0.9726, 0.9660, 0.9773, 0.9716, 0.9116, 0.9631, 0.8761, 0.9707,
        0.9787, 0.9716, 0.9745, 0.9754, 0.9636, 0.9674, 0.9749, 0.9745, 0.9726,
        0.9792, 0.9749, 0.8865, 0.9026, 0.9678, 0.9135, 0.9660, 0.9797, 0.9797,
        0.9726, 0.9749, 0.9759, 0.9579, 0.9092])",0.7967479825019836,0.9407023191452026,0.96875,0.96875,0.18518519401550293,0.8612029552459717,0.9654846335697399,0.08263444900512695
6,84,53,"tensor([0.7007, 0.6884, 0.6850, 0.6831, 0.6823, 0.6789, 0.6776, 0.7050, 0.6773,
        0.6771, 0.6732, 0.6770, 0.6777, 0.6808, 0.7067, 0.6770, 0.6781, 0.7075,
        0.7076, 0.6784, 0.6791, 0.6804, 0.6752, 0.7080, 0.6766, 0.7092, 0.6778,
        0.6804, 0.6781, 0.6751, 0.7041, 0.6793, 0.6771, 0.6753, 0.6746, 0.6720,
        0.7086, 0.6775, 0.6756, 0.6765, 0.6750, 0.6757, 0.6739, 0.6786, 0.6767,
        0.7073, 0.7042, 0.7087, 0.6741, 0.7080, 0.6737, 0.6798, 0.7071])",185,"tensor([0.1667, 0.9167, 0.9167, 1.0000, 0.9167, 1.0000, 0.9167, 0.2500, 1.0000,
        1.0000, 1.0000, 0.8333, 1.0000, 1.0000, 0.0833, 1.0000, 0.9167, 0.0833,
        0.0833, 1.0000, 1.0000, 1.0000, 1.0000, 0.1667, 1.0000, 0.0833, 1.0000,
        1.0000, 0.9167, 1.0000, 0.1667, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000,
        0.0833, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.9167, 1.0000,
        0.0833, 0.2500, 0.1667, 1.0000, 0.0000, 1.0000, 1.0000, 0.0833])","tensor([0.5948, 0.8478, 0.9087, 0.9385, 0.9149, 0.9787, 0.9844, 0.9437, 0.9768,
        0.9820, 0.9801, 0.9835, 0.9820, 0.9816, 0.9111, 0.9825, 0.9816, 0.9163,
        0.9017, 0.9806, 0.9830, 0.9835, 0.9574, 0.9243, 0.9764, 0.9329, 0.9825,
        0.9825, 0.9811, 0.9801, 0.9272, 0.9839, 0.9825, 0.9792, 0.9820, 0.9816,
        0.9319, 0.9820, 0.9801, 0.9825, 0.9820, 0.9830, 0.9787, 0.9820, 0.9825,
        0.9343, 0.9447, 0.9518, 0.9820, 0.9139, 0.9811, 0.9820, 0.9385])",0.7531446814537048,0.9548061490058899,0.978632390499115,0.978632390499115,0.1250000149011612,0.9047957062721252,0.9787234042553191,0.10930275917053223
7,86,36,"tensor([0.6844, 0.6867, 0.6798, 0.6785, 0.7076, 0.6790, 0.6756, 0.6747, 0.6725,
        0.6781, 0.6762, 0.6771, 0.6724, 0.6763, 0.6756, 0.7108, 0.6716, 0.6728,
        0.6749, 0.7088, 0.7037, 0.6780, 0.6773, 0.6749, 0.6752, 0.6755, 0.6725,
        0.6728, 0.6786, 0.7136, 0.6741, 0.7092, 0.6748, 0.6767, 0.7107, 0.6698])",235,"tensor([1.0000, 0.8333, 1.0000, 1.0000, 0.0000, 0.9167, 1.0000, 0.9167, 1.0000,
        0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.0833, 1.0000, 0.9167,
        1.0000, 0.1667, 0.2500, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.0000, 1.0000, 0.0000, 1.0000, 0.9167, 0.0000, 1.0000])","tensor([0.8723, 0.8723, 0.9801, 0.9626, 0.9508, 0.9773, 0.9868, 0.9858, 0.9849,
        0.9787, 0.9820, 0.9863, 0.9806, 0.9872, 0.9872, 0.9579, 0.9835, 0.9868,
        0.9868, 0.9522, 0.9504, 0.9872, 0.9858, 0.9863, 0.9816, 0.9797, 0.9825,
        0.9825, 0.9858, 0.9608, 0.9849, 0.9574, 0.9811, 0.9849, 0.9664, 0.9863])",0.8009259700775146,0.9718282222747803,0.9770114421844482,0.9770114421844482,0.0714285746216774,0.956568717956543,0.9825059101654846,0.06963014602661133
8,74,68,"tensor([0.6993, 0.6854, 0.6834, 0.6855, 0.6843, 0.7035, 0.7023, 0.6798, 0.6742,
        0.6765, 0.7052, 0.7052, 0.6739, 0.6776, 0.6769, 0.6720, 0.6753, 0.6739,
        0.6742, 0.7122, 0.7208, 0.6765, 0.7154, 0.6696, 0.6739, 0.6719, 0.6741,
        0.6757, 0.6697, 0.6739, 0.6779, 0.6698, 0.6736, 0.7099, 0.6758, 0.6771,
        0.6717, 0.7122, 0.6769, 0.6725, 0.7116, 0.7073, 0.6704, 0.7156, 0.6735,
        0.6726, 0.6721, 0.6706, 0.6731, 0.6722, 0.6769, 0.7125, 0.6716, 0.6763,
        0.7143, 0.6761, 0.6774, 0.7119, 0.7132, 0.6732, 0.7105, 0.6725, 0.6721,
        0.7148, 0.6731, 0.6756, 0.6708, 0.6737])",241,"tensor([0.4167, 0.8333, 0.9167, 0.9167, 1.0000, 0.0833, 0.1667, 1.0000, 1.0000,
        1.0000, 0.1667, 0.1667, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 0.0000, 0.0000, 0.9167, 0.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 1.0000, 0.9167, 1.0000, 1.0000, 0.1667, 1.0000, 1.0000,
        1.0000, 0.0833, 0.9167, 1.0000, 0.0833, 0.0000, 1.0000, 0.0000, 1.0000,
        0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000, 0.0000, 1.0000, 0.9167,
        0.0000, 1.0000, 1.0000, 0.0000, 0.0000, 1.0000, 0.0000, 1.0000, 1.0000,
        0.0000, 1.0000, 0.9167, 1.0000, 1.0000])","tensor([0.5811, 0.8520, 0.8894, 0.8988, 0.9220, 0.8402, 0.8312, 0.9669, 0.9660,
        0.9797, 0.9442, 0.9617, 0.9839, 0.9872, 0.9877, 0.9882, 0.9915, 0.9910,
        0.9844, 0.9560, 0.9664, 0.9939, 0.9735, 0.9901, 0.9830, 0.9915, 0.9853,
        0.9835, 0.9844, 0.9901, 0.9872, 0.9882, 0.9849, 0.9622, 0.9901, 0.9868,
        0.9849, 0.9693, 0.9839, 0.9853, 0.9650, 0.9707, 0.9915, 0.9759, 0.9891,
        0.9882, 0.9896, 0.9858, 0.9901, 0.9891, 0.9891, 0.9598, 0.9905, 0.9853,
        0.9707, 0.9910, 0.9901, 0.9773, 0.9735, 0.9872, 0.9669, 0.9939, 0.9896,
        0.9730, 0.9920, 0.9844, 0.9905, 0.9920])",0.7279411554336548,0.966166079044342,0.9829932451248169,0.9829932451248169,0.07017543166875839,0.9325618743896484,0.984869976359338,0.17448925971984863
9,77,82,"tensor([0.6906, 0.6796, 0.6782, 0.7041, 0.6741, 0.6756, 0.6665, 0.6729, 0.7155,
        0.6704, 0.7133, 0.6723, 0.6664, 0.6705, 0.7140, 0.6741, 0.6760, 0.6708,
        0.7118, 0.7159, 0.7123, 0.7112, 0.6727, 0.7119, 0.6723, 0.6763, 0.6694,
        0.6684, 0.6704, 0.7169, 0.6727, 0.6695, 0.6719, 0.6693, 0.6656, 0.6740,
        0.7170, 0.6721, 0.7140, 0.7074, 0.6706, 0.6714, 0.6671, 0.7136, 0.6742,
        0.7110, 0.7124, 0.6699, 0.6734, 0.7145, 0.7131, 0.6769, 0.6696, 0.6733,
        0.6763, 0.6737, 0.7133, 0.6694, 0.6699, 0.6748, 0.6698, 0.7129, 0.7122,
        0.6693, 0.7171, 0.6667, 0.7091, 0.7134, 0.6736, 0.6666, 0.6701, 0.7150,
        0.6730, 0.6697, 0.6726, 0.7142, 0.6706, 0.7145, 0.6725, 0.7124, 0.6705,
        0.6686])",236,"tensor([0.8333, 1.0000, 0.9167, 0.1667, 0.9167, 1.0000, 1.0000, 1.0000, 0.0000,
        1.0000, 0.0833, 1.0000, 1.0000, 1.0000, 0.0000, 1.0000, 0.9167, 1.0000,
        0.0000, 0.0000, 0.0833, 0.1667, 1.0000, 0.1667, 1.0000, 1.0000, 1.0000,
        1.0000, 1.0000, 0.0000, 0.9167, 1.0000, 1.0000, 1.0000, 1.0000, 1.0000,
        0.0000, 1.0000, 0.0000, 0.0833, 1.0000, 1.0000, 1.0000, 0.0000, 1.0000,
        0.0000, 0.0833, 1.0000, 1.0000, 0.0833, 0.0000, 1.0000, 1.0000, 0.9167,
        1.0000, 1.0000, 0.0833, 1.0000, 1.0000, 1.0000, 1.0000, 0.0833, 0.0000,
        1.0000, 0.0000, 1.0000, 0.0833, 0.0833, 1.0000, 1.0000, 1.0000, 0.0833,
        1.0000, 1.0000, 0.9167, 0.0000, 1.0000, 0.0833, 0.9167, 0.0000, 1.0000,
        1.0000])","tensor([0.8799, 0.9768, 0.9660, 0.9191, 0.9825, 0.9853, 0.9915, 0.9905, 0.9636,
        0.9901, 0.9669, 0.9905, 0.9939, 0.9863, 0.9801, 0.9924, 0.9853, 0.9896,
        0.9778, 0.9797, 0.9787, 0.9678, 0.9924, 0.9792, 0.9924, 0.9896, 0.9896,
        0.9887, 0.9905, 0.9797, 0.9929, 0.9868, 0.9853, 0.9924, 0.9920, 0.9915,
        0.9768, 0.9915, 0.9745, 0.9740, 0.9929, 0.9934, 0.9920, 0.9768, 0.9891,
        0.9783, 0.9716, 0.9868, 0.9920, 0.9806, 0.9697, 0.9896, 0.9839, 0.9896,
        0.9858, 0.9896, 0.9754, 0.9939, 0.9924, 0.9858, 0.9905, 0.9716, 0.9754,
        0.9934, 0.9674, 0.9891, 0.9626, 0.9811, 0.9920, 0.9915, 0.9920, 0.9655,
        0.9924, 0.9920, 0.9920, 0.9820, 0.9853, 0.9778, 0.9858, 0.9664, 0.9934,
        0.9896])",0.6666666865348816,0.9821022748947144,0.9861111044883728,0.9861111044883728,0.0505952425301075,0.9721547365188599,0.9867612293144208,0.279660701751709
