round,client_req,new_updates,avg_loss,queue_size,client_train_acc,client_test_acc,client_train_acc_avg,client_test_acc_avg,accuracy_score,aggregator_time
0,10,6,"[1.382181167602539, 1.3679786026477814, 1.373536467552185, 1.3794043958187103, 1.3857151865959167, 1.369062215089798]",4,"[0.47619047619047616, 0.49206349206349204, 0.6587301587301587, 0.4523809523809524, 0.3968253968253968, 0.48412698412698413]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.49338624338624343,0.4633569739952719,0.46335697399527187,0.01675868034362793
1,10,10,"[1.373248040676117, 1.353847473859787, 1.4033494293689728, 1.3754903078079224, 1.3930486738681793, 1.3621157705783844, 1.370698243379593, 1.3927192091941833, 1.372859001159668, 1.3934825658798218]",4,"[0.5079365079365079, 0.46825396825396826, 0.5396825396825397, 0.4444444444444444, 0.5793650793650794, 0.4523809523809524, 0.46825396825396826, 0.5634920634920635, 0.3968253968253968, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5007936507936508,0.463356973995272,0.46335697399527187,0.10008907318115234
2,9,5,"[1.3535149693489075, 1.3480674922466278, 1.3462798297405243, 1.3993953466415405, 1.3547389209270477]",8,"[0.48412698412698413, 0.5079365079365079, 0.5, 0.5793650793650794, 0.5317460317460317]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187]",0.5206349206349207,0.4633569739952719,0.46335697399527187,0.011200904846191406
3,9,7,"[1.4044823050498962, 1.3412179052829742, 1.3366263806819916, 1.3294320106506348, 1.3368640840053558, 1.3487781584262848, 1.3412381410598755]",10,"[0.5238095238095238, 0.4523809523809524, 0.47619047619047616, 0.46825396825396826, 0.5158730158730159, 0.4603174603174603, 0.48412698412698413]","[0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46382978723404256]",0.4829931972789116,0.4635596082404593,0.46335697399527187,0.012961149215698242
4,9,8,"[1.3813373446464539, 1.3798331320285797, 1.3367175161838531, 1.4275801479816437, 1.3410859405994415, 1.4489097595214844, 1.3339632451534271, 1.3207561671733856]",11,"[0.5396825396825397, 0.4444444444444444, 0.46825396825396826, 0.5793650793650794, 0.4523809523809524, 0.5079365079365079, 0.48412698412698413, 0.5079365079365079]","[0.46335697399527187, 0.46335697399527187, 0.46382978723404256, 0.46335697399527187, 0.49267139479905436, 0.46335697399527187, 0.48936170212765956, 0.47423167848699765]",0.498015873015873,0.4716903073286052,0.466193853427896,0.05022907257080078
5,9,10,"[1.3304398357868195, 1.3324808180332184, 1.319977045059204, 1.3068956136703491, 1.3095606863498688, 1.3274243772029877, 1.3182458877563477, 1.3160772919654846, 1.3326994478702545, 1.304434210062027]",10,"[0.5, 0.47619047619047616, 0.48412698412698413, 0.5238095238095238, 0.5158730158730159, 0.47619047619047616, 0.5714285714285714, 0.5476190476190477, 0.5, 0.5555555555555556]","[0.46335697399527187, 0.47848699763593383, 0.4761229314420804, 0.5144208037825059, 0.5163120567375886, 0.5437352245862884, 0.518676122931442, 0.5210401891252955, 0.5385342789598109, 0.509692671394799]",0.515079365079365,0.5080378250591016,0.5115839243498818,0.02496790885925293
6,8,8,"[1.3544380068778992, 1.359877109527588, 1.3564471304416656, 1.4623262584209442, 1.2990484237670898, 1.313159167766571, 1.4592158794403076, 1.4754070341587067]",10,"[0.6111111111111112, 0.46825396825396826, 0.49206349206349204, 0.5238095238095238, 0.6428571428571429, 0.5952380952380952, 0.5317460317460317, 0.42063492063492064]","[0.46335697399527187, 0.46335697399527187, 0.46335697399527187, 0.4652482269503546, 0.6397163120567376, 0.6713947990543735, 0.466193853427896, 0.4699763593380615]",0.5357142857142857,0.5128250591016549,0.4699763593380615,0.025988101959228516
7,10,9,"[1.3387319147586823, 1.4636646807193756, 1.2869539856910706, 1.4559197425842285, 1.3047846555709839, 1.3114656209945679, 1.4416121244430542, 1.310586392879486, 1.3207512199878693]",11,"[0.5, 0.5, 0.6428571428571429, 0.47619047619047616, 0.5634920634920635, 0.5952380952380952, 0.5317460317460317, 0.5793650793650794, 0.5396825396825397]","[0.48652482269503544, 0.46335697399527187, 0.6226950354609929, 0.46382978723404256, 0.5219858156028369, 0.5560283687943263, 0.46335697399527187, 0.5196217494089834, 0.5583924349881797]",0.5476190476190477,0.5173102180194379,0.5111111111111111,0.03245687484741211
8,10,9,"[1.3548328578472137, 1.3770298659801483, 1.4748498797416687, 1.470602422952652, 1.30799600481987, 1.4714495539665222, 1.3143247663974762, 1.3173007369041443, 1.3046899735927582]",12,"[0.48412698412698413, 0.36507936507936506, 0.49206349206349204, 0.5079365079365079, 0.6111111111111112, 0.47619047619047616, 0.5952380952380952, 0.6349206349206349, 0.5873015873015873]","[0.46335697399527187, 0.46335697399527187, 0.47044917257683216, 0.4666666666666667, 0.6562647754137115, 0.4690307328605201, 0.675177304964539, 0.6614657210401891, 0.6444444444444445]",0.5282186948853616,0.5522458628841609,0.5971631205673759,0.08024120330810547
9,8,11,"[1.4233531951904297, 1.2923331558704376, 1.3078490793704987, 1.2874919176101685, 1.2944115698337555, 1.3063497245311737, 1.2973538041114807, 1.4811018407344818, 1.483854055404663, 1.2819218039512634, 1.2880241572856903]",9,"[0.5634920634920635, 0.6031746031746031, 0.626984126984127, 0.6904761904761905, 0.7301587301587301, 0.6507936507936508, 0.7857142857142857, 0.5158730158730159, 0.5634920634920635, 0.7222222222222222, 0.7777777777777778]","[0.46335697399527187, 0.6212765957446809, 0.6548463356973995, 0.715839243498818, 0.7092198581560284, 0.7219858156028369, 0.7380614657210401, 0.48983451536643025, 0.49030732860520093, 0.7115839243498818, 0.7200945626477542]",0.6572871572871573,0.6396733290350313,0.6893617021276596,0.0371859073638916
10,9,8,"[1.4625376462936401, 1.2730575501918793, 1.3143773078918457, 1.2741213142871857, 1.2965518236160278, 1.4794498085975647, 1.4767569303512573, 1.2855425477027893]",10,"[0.5317460317460317, 0.746031746031746, 0.7619047619047619, 0.8174603174603174, 0.8095238095238095, 0.42063492063492064, 0.5, 0.8095238095238095]","[0.466193853427896, 0.7877068557919622, 0.8184397163120567, 0.7891252955082743, 0.807565011820331, 0.5498817966903073, 0.5475177304964539, 0.798581560283688]",0.6746031746031745,0.6956264775413712,0.7810874704491726,0.041162967681884766
11,10,8,"[1.3533330857753754, 1.3149212300777435, 1.250965803861618, 1.2657439708709717, 1.502199411392212, 1.2578104436397552, 1.4865365326404572, 1.2718293964862823]",12,"[0.42063492063492064, 0.6111111111111112, 0.8809523809523809, 0.8095238095238095, 0.31746031746031744, 0.8412698412698413, 0.35714285714285715, 0.8968253968253969]","[0.46477541371158393, 0.5361702127659574, 0.8614657210401891, 0.8652482269503546, 0.6907801418439716, 0.8624113475177305, 0.667612293144208, 0.8704491725768322]",0.6418650793650794,0.7273640661938534,0.8359338061465721,0.06247520446777344
12,7,8,"[1.2917497158050537, 1.3132001757621765, 1.3167491555213928, 1.3316037356853485, 1.2446571290493011, 1.5461354553699493, 1.2704704701900482, 1.5077790915966034]",11,"[0.6349206349206349, 0.5714285714285714, 0.5238095238095238, 0.5238095238095238, 0.8968253968253969, 0.2698412698412698, 0.9285714285714286, 0.29365079365079366]","[0.6132387706855792, 0.5446808510638298, 0.542789598108747, 0.583451536643026, 0.8983451536643026, 0.775886524822695, 0.9111111111111111, 0.741371158392435]",0.5803571428571428,0.7013593380614657,0.75177304964539,0.02848196029663086
13,9,9,"[1.4998136460781097, 1.284337967634201, 1.5162794888019562, 1.265528917312622, 1.4853171706199646, 1.2843809127807617, 1.4750300645828247, 1.5102978348731995, 1.2836917638778687]",11,"[0.3412698412698413, 0.9126984126984127, 0.2857142857142857, 0.8174603174603174, 0.4444444444444444, 0.8253968253968254, 0.47619047619047616, 0.40476190476190477, 0.8650793650793651]","[0.6023640661938534, 0.8841607565011821, 0.7139479905437353, 0.8208037825059101, 0.6354609929078014, 0.8557919621749409, 0.6104018912529551, 0.6501182033096927, 0.8534278959810875]",0.5970017636684304,0.7362752823745731,0.7276595744680852,0.06420183181762695
14,9,9,"[1.3140779435634613, 1.4553657174110413, 1.2600064277648926, 1.4994854927062988, 1.5109998881816864, 1.272955447435379, 1.2692282497882843, 1.2852004766464233, 1.2876395881175995]",11,"[0.5238095238095238, 0.5, 0.8809523809523809, 0.3888888888888889, 0.3968253968253968, 0.8492063492063492, 0.8015873015873016, 0.8650793650793651, 0.7857142857142857]","[0.5191489361702127, 0.4666666666666667, 0.8633569739952719, 0.6505910165484634, 0.6349881796690308, 0.8141843971631205, 0.798581560283688, 0.8241134751773049, 0.8193853427895981]",0.665784832451499,0.7101129498292619,0.7981087470449173,0.03924107551574707
15,8,6,"[1.4679560363292694, 1.249968409538269, 1.2758506536483765, 1.5052250921726227, 1.498614639043808, 1.2777154445648193]",13,"[0.5634920634920635, 0.9047619047619048, 0.8650793650793651, 0.29365079365079366, 0.2698412698412698, 0.8809523809523809]","[0.5702127659574469, 0.8685579196217494, 0.8851063829787233, 0.7087470449172577, 0.7096926713947991, 0.8874704491725768]",0.6296296296296297,0.771631205673759,0.8023640661938535,0.04653477668762207
16,7,10,"[1.2710367739200592, 1.2500522136688232, 1.258943796157837, 1.493748664855957, 1.2594587206840515, 1.2669511139392853, 1.2673325538635254, 1.4883590042591095, 1.265093594789505, 1.482361912727356]",10,"[0.8809523809523809, 0.9365079365079365, 0.9047619047619048, 0.35714285714285715, 0.7698412698412699, 0.8412698412698413, 0.8492063492063492, 0.31746031746031744, 0.8492063492063492, 0.3968253968253968]","[0.8699763593380615, 0.902127659574468, 0.866193853427896, 0.6973995271867612, 0.881323877068558, 0.8775413711583925, 0.8832151300236407, 0.699290780141844, 0.8808510638297873, 0.6808510638297872]",0.7103174603174602,0.8238770685579195,0.8657210401891253,0.04385685920715332
